Table KMeans_Ray_stats
Descriptive Statistics for Kmeans on Ray Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| ray-client | 13.68 | 7.03 | 11.78 | 1.78 | 0.05 | 1.75 |
| ray-head | 6.88 | 1.83 | 6.92 | 1.53 | 0.00 | 1.53 |
| ray-worker-1 | 128.16 | 36.16 | 112.75 | 4.31 | 0.35 | 4.43 |
| ray-worker-2 | 179.02 | 57.39 | 202.28 | 4.82 | 0.84 | 5.24 |
| ray-worker-3 | 113.89 | 26.04 | 110.99 | 4.26 | 0.34 | 4.37 |
| ray-worker-4 | 191.03 | 31.05 | 201.99 | 5.08 | 0.53 | 5.25 |
| ray-worker-5 | 186.33 | 43.78 | 202.22 | 5.05 | 0.64 | 5.32 |
| ray-client | 14.76 | 8.33 | 12.12 | 1.80 | 0.06 | 1.77 |
| ray-head | 6.72 | 1.45 | 6.40 | 1.53 | 0.00 | 1.53 |
| ray-worker-1 | 185.68 | 52.24 | 202.10 | 5.15 | 0.67 | 5.44 |
| ray-worker-2 | 119.73 | 32.21 | 113.25 | 4.15 | 0.29 | 4.22 |
| ray-worker-3 | 192.34 | 36.05 | 203.16 | 5.34 | 0.50 | 5.53 |
| ray-worker-4 | 191.49 | 35.00 | 202.19 | 5.00 | 0.52 | 5.18 |
| ray-worker-5 | 127.47 | 39.44 | 112.31 | 4.18 | 0.29 | 4.28 |
| ray-client | 15.12 | 7.63 | 12.41 | 1.77 | 0.06 | 1.76 |
| ray-head | 6.84 | 1.45 | 6.59 | 1.53 | 0.00 | 1.53 |
| ray-worker-1 | 133.43 | 36.52 | 114.44 | 4.27 | 0.24 | 4.33 |
| ray-worker-2 | 192.52 | 34.69 | 202.88 | 5.14 | 0.51 | 5.33 |
| ray-worker-3 | 124.81 | 33.00 | 111.74 | 4.30 | 0.27 | 4.37 |
| ray-worker-4 | 186.84 | 50.22 | 202.66 | 4.95 | 0.68 | 5.18 |
| ray-worker-5 | 192.14 | 35.06 | 202.78 | 5.19 | 0.50 | 5.35 |
| ray-client | 13.96 | 6.03 | 12.26 | 1.87 | 0.07 | 1.85 |
| ray-head | 6.68 | 1.53 | 6.39 | 1.54 | 0.00 | 1.54 |
| ray-worker-1 | 130.26 | 35.27 | 113.64 | 4.33 | 0.29 | 4.41 |
| ray-worker-2 | 190.27 | 40.13 | 201.78 | 4.83 | 0.62 | 5.10 |
| ray-worker-3 | 123.30 | 31.68 | 112.12 | 4.34 | 0.31 | 4.45 |
| ray-worker-4 | 182.54 | 54.14 | 201.99 | 4.93 | 0.74 | 5.15 |
| ray-worker-5 | 190.40 | 37.99 | 201.74 | 5.02 | 0.62 | 5.30 |
| ray-client | 14.32 | 7.30 | 12.63 | 1.91 | 0.09 | 1.91 |
| ray-head | 6.81 | 1.61 | 6.96 | 1.54 | 0.00 | 1.54 |
| ray-worker-1 | 184.89 | 55.19 | 203.00 | 5.17 | 0.76 | 5.45 |
| ray-worker-2 | 132.66 | 37.23 | 126.25 | 4.02 | 0.33 | 4.14 |
| ray-worker-3 | 119.47 | 35.91 | 112.11 | 4.32 | 0.32 | 4.40 |
| ray-worker-4 | 187.28 | 42.49 | 202.04 | 5.09 | 0.62 | 5.38 |
| ray-worker-5 | 190.87 | 39.81 | 203.26 | 5.01 | 0.61 | 5.24 |


Note. CPU = Central Processing Unit; Mem = Memory.
