Table ReadFilterWrite_Dask_stats
Descriptive Statistics for Readfilterwrite on Dask Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| dask-notebook | 0.00 | 0.00 | 0.00 | 0.09 | 0.00 | 0.09 |
| dask-scheduler | 4.99 | 3.65 | 3.40 | 0.21 | 0.08 | 0.26 |
| dask-worker-1 | 53.73 | 49.03 | 52.47 | 1.27 | 1.26 | 0.61 |
| dask-worker-2 | 21.60 | 26.89 | 6.73 | 0.71 | 0.25 | 0.82 |
| dask-worker-3 | 123.24 | 102.50 | 172.04 | 3.10 | 1.62 | 3.56 |
| dask-worker-4 | 70.75 | 61.23 | 80.55 | 4.13 | 1.30 | 3.44 |
| dask-worker-5 | 70.32 | 56.49 | 96.47 | 3.24 | 0.92 | 2.85 |
| dask-notebook | 0.00 | 0.00 | 0.00 | 0.09 | 0.00 | 0.09 |
| dask-scheduler | 7.29 | 3.85 | 5.50 | 0.25 | 0.00 | 0.25 |
| dask-worker-1 | 92.92 | 14.76 | 85.37 | 1.27 | 0.58 | 1.17 |
| dask-worker-2 | 95.68 | 13.70 | 96.03 | 1.85 | 0.73 | 1.74 |
| dask-worker-3 | 142.18 | 12.09 | 145.79 | 2.21 | 0.28 | 2.36 |
| dask-worker-4 | 170.11 | 19.14 | 168.50 | 4.28 | 0.72 | 4.09 |
| dask-worker-5 | 91.91 | 15.73 | 83.15 | 3.32 | 0.33 | 3.19 |
| dask-notebook | 0.00 | 0.00 | 0.00 | 0.09 | 0.00 | 0.09 |
| dask-scheduler | 4.66 | 0.65 | 4.62 | 0.25 | 0.00 | 0.25 |
| dask-worker-1 | 75.29 | 44.99 | 95.83 | 1.33 | 0.16 | 1.34 |
| dask-worker-2 | 74.45 | 45.94 | 90.92 | 1.61 | 0.24 | 1.72 |
| dask-worker-3 | 130.90 | 84.49 | 164.70 | 2.19 | 0.25 | 2.23 |
| dask-worker-4 | 116.50 | 63.35 | 116.50 | 3.50 | 0.49 | 3.56 |
| dask-worker-5 | 73.15 | 44.40 | 88.59 | 2.91 | 0.34 | 2.89 |
| dask-notebook | 0.00 | 0.01 | 0.00 | 0.09 | 0.00 | 0.09 |
| dask-scheduler | 4.91 | 0.54 | 4.68 | 0.25 | 0.00 | 0.25 |
| dask-worker-1 | 112.75 | 1.59 | 112.00 | 4.09 | 0.58 | 4.37 |
| dask-worker-2 | 44.42 | 57.88 | 11.59 | 1.74 | 0.81 | 1.27 |
| dask-worker-3 | 175.05 | 37.60 | 194.92 | 5.73 | 1.62 | 6.32 |
| dask-worker-4 | 199.38 | 5.71 | 196.55 | 5.67 | 0.44 | 5.46 |
| dask-worker-5 | 113.44 | 1.24 | 113.18 | 3.86 | 0.17 | 3.82 |
| dask-notebook | 0.55 | 0.95 | 0.00 | 0.09 | 0.00 | 0.09 |
| dask-scheduler | 5.31 | 0.52 | 5.22 | 0.26 | 0.00 | 0.26 |
| dask-worker-1 | 110.58 | 2.37 | 111.88 | 3.65 | 0.54 | 3.44 |
| dask-worker-2 | 110.70 | 1.62 | 111.44 | 3.29 | 0.31 | 3.13 |
| dask-worker-3 | 194.51 | 3.61 | 196.41 | 6.03 | 1.15 | 5.45 |
| dask-worker-4 | 150.02 | 44.90 | 137.30 | 3.90 | 0.76 | 3.64 |
| dask-worker-5 | 87.71 | 42.25 | 109.03 | 3.76 | 1.21 | 4.44 |


Note. CPU = Central Processing Unit; Mem = Memory.
