Table meta_Books_stats
Descriptive Statistics for Meta on Books Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| spark-master | 11.49 | 36.89 | 1.44 | 0.84 | 0.03 | 0.84 |
| spark-worker-1 | 64.94 | 70.44 | 15.63 | 2.91 | 0.93 | 2.97 |
| spark-worker-2 | 71.45 | 74.91 | 16.67 | 2.81 | 0.74 | 3.09 |
| spark-worker-3 | 75.16 | 76.68 | 20.25 | 3.86 | 1.18 | 4.48 |
| spark-worker-4 | 66.85 | 75.21 | 17.13 | 2.78 | 0.84 | 3.00 |
| spark-worker-5 | 64.88 | 73.72 | 16.71 | 2.82 | 0.73 | 3.09 |
| spark-master | 12.48 | 36.37 | 2.78 | 0.83 | 0.02 | 0.84 |
| spark-worker-1 | 67.96 | 68.76 | 18.93 | 3.18 | 0.95 | 3.58 |
| spark-worker-2 | 60.17 | 70.66 | 16.30 | 2.90 | 1.08 | 3.43 |
| spark-worker-3 | 68.19 | 78.31 | 15.52 | 3.71 | 1.37 | 3.13 |
| spark-worker-4 | 56.38 | 69.88 | 15.44 | 3.18 | 1.33 | 3.39 |
| spark-worker-5 | 66.03 | 69.13 | 17.47 | 2.90 | 0.80 | 3.30 |
| spark-master | 15.42 | 32.76 | 1.98 | 0.85 | 0.04 | 0.86 |
| spark-worker-1 | 68.36 | 76.54 | 16.40 | 3.21 | 1.29 | 2.94 |
| spark-worker-2 | 76.05 | 79.00 | 17.51 | 2.93 | 0.96 | 3.19 |
| spark-worker-3 | 70.68 | 75.23 | 17.30 | 3.20 | 1.04 | 3.56 |
| spark-worker-4 | 63.56 | 77.85 | 15.97 | 2.66 | 0.78 | 3.04 |
| spark-worker-5 | 80.55 | 80.12 | 16.19 | 2.93 | 0.89 | 3.34 |
| spark-master | 11.00 | 36.90 | 0.74 | 0.87 | 0.02 | 0.87 |
| spark-worker-1 | 67.71 | 75.30 | 14.90 | 2.47 | 0.68 | 2.66 |
| spark-worker-2 | 71.60 | 67.88 | 48.33 | 2.85 | 0.80 | 3.23 |
| spark-worker-3 | 71.77 | 74.99 | 14.64 | 3.27 | 0.94 | 3.72 |
| spark-worker-4 | 69.01 | 71.66 | 16.47 | 2.67 | 0.75 | 2.79 |
| spark-worker-5 | 65.81 | 76.09 | 15.53 | 2.55 | 0.72 | 2.54 |
| spark-master | 9.52 | 32.92 | 0.76 | 0.87 | 0.02 | 0.88 |
| spark-worker-1 | 57.85 | 71.58 | 16.06 | 2.72 | 0.90 | 3.37 |
| spark-worker-2 | 69.31 | 77.38 | 16.16 | 3.45 | 1.27 | 3.93 |
| spark-worker-3 | 55.69 | 72.30 | 15.73 | 3.16 | 1.09 | 3.09 |
| spark-worker-4 | 67.63 | 78.09 | 15.37 | 3.11 | 1.26 | 3.12 |
| spark-worker-5 | 68.92 | 77.39 | 15.44 | 2.99 | 1.30 | 2.79 |
| spark-master | 45.71 | 31.11 | 38.23 | 0.98 | 0.05 | 0.99 |
| spark-worker-1 | 81.52 | 40.81 | 68.36 | 1.31 | 0.34 | 1.50 |
| spark-worker-2 | 92.99 | 45.79 | 93.69 | 1.26 | 0.33 | 1.44 |
| spark-worker-3 | 97.67 | 46.60 | 94.63 | 1.37 | 0.28 | 1.44 |
| spark-worker-4 | 94.84 | 51.25 | 88.55 | 1.30 | 0.30 | 1.46 |
| spark-worker-5 | 89.56 | 46.78 | 100.82 | 1.30 | 0.32 | 1.45 |
| spark-master | 52.43 | 34.93 | 53.92 | 1.01 | 0.05 | 1.02 |
| spark-worker-1 | 94.82 | 52.88 | 97.07 | 1.29 | 0.33 | 1.46 |
| spark-worker-2 | 87.36 | 46.82 | 89.05 | 1.30 | 0.32 | 1.47 |
| spark-worker-3 | 99.76 | 50.24 | 100.00 | 1.43 | 0.33 | 1.58 |
| spark-worker-4 | 100.89 | 54.46 | 88.79 | 1.20 | 0.28 | 1.31 |
| spark-worker-5 | 85.08 | 47.15 | 63.44 | 1.30 | 0.32 | 1.47 |
| spark-master | 52.89 | 36.92 | 49.45 | 0.98 | 0.04 | 0.99 |
| spark-worker-1 | 77.14 | 41.08 | 70.21 | 1.25 | 0.25 | 1.36 |
| spark-worker-2 | 86.33 | 44.73 | 87.31 | 1.31 | 0.31 | 1.48 |
| spark-worker-3 | 75.02 | 41.12 | 60.44 | 1.63 | 0.34 | 1.77 |
| spark-worker-4 | 79.91 | 44.00 | 60.25 | 1.21 | 0.26 | 1.28 |
| spark-worker-5 | 81.40 | 43.73 | 72.29 | 1.38 | 0.34 | 1.59 |
| spark-master | 47.93 | 33.36 | 45.72 | 0.91 | 0.05 | 0.92 |
| spark-worker-1 | 89.33 | 41.52 | 81.03 | 1.23 | 0.29 | 1.32 |
| spark-worker-2 | 96.42 | 39.52 | 98.31 | 1.27 | 0.29 | 1.34 |
| spark-worker-3 | 96.89 | 43.27 | 85.55 | 1.30 | 0.31 | 1.39 |
| spark-worker-4 | 94.05 | 42.10 | 88.92 | 1.27 | 0.32 | 1.44 |
| spark-worker-5 | 88.74 | 40.18 | 83.51 | 1.20 | 0.29 | 1.33 |
| spark-master | 53.29 | 40.46 | 41.01 | 0.91 | 0.04 | 0.92 |
| spark-worker-1 | 80.86 | 40.46 | 84.88 | 1.29 | 0.28 | 1.40 |
| spark-worker-2 | 84.53 | 43.28 | 85.55 | 1.37 | 0.34 | 1.54 |
| spark-worker-3 | 96.79 | 36.34 | 98.90 | 1.24 | 0.24 | 1.33 |
| spark-worker-4 | 83.58 | 47.60 | 76.72 | 1.23 | 0.26 | 1.34 |
| spark-worker-5 | 87.81 | 47.49 | 88.40 | 1.33 | 0.30 | 1.45 |


Note. CPU = Central Processing Unit; Mem = Memory.
