Table meta_Clothing_stats
Descriptive Statistics for Meta on Clothing Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| spark-master | 1.21 | 1.23 | 0.78 | 0.86 | 0.00 | 0.86 |
| spark-worker-1 | 79.10 | 77.14 | 17.09 | 4.10 | 0.19 | 4.27 |
| spark-worker-2 | 82.22 | 74.25 | 20.33 | 3.97 | 0.12 | 3.90 |
| spark-worker-3 | 85.90 | 65.70 | 93.12 | 4.61 | 0.01 | 4.62 |
| spark-worker-4 | 74.60 | 80.65 | 16.56 | 5.20 | 0.43 | 5.34 |
| spark-worker-5 | 73.24 | 78.34 | 16.49 | 4.00 | 0.88 | 3.75 |
| spark-master | 5.99 | 22.21 | 0.83 | 0.86 | 0.00 | 0.86 |
| spark-worker-1 | 69.91 | 61.77 | 53.93 | 3.76 | 0.12 | 3.68 |
| spark-worker-2 | 70.33 | 68.67 | 35.72 | 4.22 | 0.04 | 4.24 |
| spark-worker-3 | 77.22 | 70.82 | 57.05 | 5.87 | 0.05 | 5.88 |
| spark-worker-4 | 80.67 | 83.04 | 16.50 | 4.78 | 0.20 | 4.90 |
| spark-worker-5 | 73.74 | 59.72 | 67.48 | 4.10 | 0.46 | 4.38 |
| spark-master | 2.81 | 5.34 | 1.17 | 0.88 | 0.00 | 0.88 |
| spark-worker-1 | 76.42 | 80.04 | 16.80 | 7.61 | 0.33 | 7.67 |
| spark-worker-2 | 79.60 | 80.09 | 18.07 | 4.15 | 0.15 | 4.06 |
| spark-worker-3 | 84.25 | 65.82 | 93.27 | 4.31 | 0.01 | 4.31 |
| spark-worker-4 | 78.89 | 77.88 | 26.00 | 3.28 | 0.27 | 3.09 |
| spark-worker-5 | 78.49 | 77.92 | 18.09 | 4.70 | 0.78 | 5.17 |
| spark-master | 2.76 | 8.23 | 0.99 | 0.88 | 0.00 | 0.88 |
| spark-worker-1 | 74.14 | 80.83 | 16.05 | 3.25 | 0.21 | 3.40 |
| spark-worker-2 | 80.37 | 71.89 | 55.49 | 4.43 | 0.71 | 4.88 |
| spark-worker-3 | 76.38 | 67.81 | 60.39 | 3.77 | 0.01 | 3.78 |
| spark-worker-4 | 74.39 | 80.95 | 16.48 | 4.72 | 0.79 | 5.26 |
| spark-worker-5 | 77.73 | 81.04 | 17.79 | 3.90 | 0.05 | 3.91 |
| spark-master | 8.53 | 27.42 | 0.62 | 0.89 | 0.00 | 0.89 |
| spark-worker-1 | 78.45 | 64.60 | 91.74 | 4.73 | 1.21 | 5.44 |
| spark-worker-2 | 79.44 | 72.24 | 63.81 | 5.39 | 0.12 | 5.43 |
| spark-worker-3 | 82.01 | 60.92 | 81.72 | 5.15 | 0.05 | 5.17 |
| spark-worker-4 | 77.10 | 80.89 | 19.69 | 4.42 | 0.01 | 4.42 |
| spark-worker-5 | 76.37 | 76.74 | 29.14 | 4.40 | 0.01 | 4.40 |
| spark-master | 25.86 | 15.55 | 21.46 | 1.07 | 0.03 | 1.08 |
| spark-worker-1 | 58.85 | 39.34 | 47.22 | 1.54 | 0.01 | 1.54 |
| spark-worker-2 | 63.19 | 33.80 | 56.76 | 1.49 | 0.02 | 1.50 |
| spark-worker-3 | 71.45 | 41.77 | 58.98 | 1.74 | 0.01 | 1.75 |
| spark-worker-4 | 74.98 | 44.32 | 49.97 | 1.61 | 0.11 | 1.69 |
| spark-worker-5 | 78.33 | 43.24 | 54.08 | 1.61 | 0.11 | 1.66 |
| spark-master | 32.23 | 19.08 | 31.59 | 1.09 | 0.03 | 1.10 |
| spark-worker-1 | 71.72 | 54.98 | 38.14 | 1.59 | 0.02 | 1.59 |
| spark-worker-2 | 66.55 | 55.12 | 36.15 | 1.62 | 0.11 | 1.70 |
| spark-worker-3 | 61.00 | 41.22 | 44.90 | 1.80 | 0.11 | 1.87 |
| spark-worker-4 | 55.22 | 42.83 | 40.33 | 1.53 | 0.01 | 1.53 |
| spark-worker-5 | 71.90 | 48.98 | 49.20 | 1.65 | 0.10 | 1.73 |
| spark-master | 35.44 | 23.58 | 35.51 | 1.04 | 0.02 | 1.04 |
| spark-worker-1 | 56.08 | 37.55 | 49.32 | 1.82 | 0.31 | 1.98 |
| spark-worker-2 | 65.32 | 49.57 | 46.21 | 1.63 | 0.11 | 1.71 |
| spark-worker-3 | 52.89 | 30.31 | 43.99 | 1.82 | 0.01 | 1.82 |
| spark-worker-4 | 53.69 | 42.62 | 43.28 | 1.58 | 0.01 | 1.59 |
| spark-worker-5 | 68.34 | 41.79 | 52.63 | 1.65 | 0.01 | 1.65 |
| spark-master | 30.11 | 19.22 | 25.02 | 1.10 | 0.02 | 1.10 |
| spark-worker-1 | 49.29 | 18.24 | 43.54 | 1.68 | 0.01 | 1.68 |
| spark-worker-2 | 55.69 | 17.53 | 51.80 | 1.65 | 0.11 | 1.72 |
| spark-worker-3 | 50.65 | 21.42 | 49.17 | 1.78 | 0.10 | 1.84 |
| spark-worker-4 | 56.52 | 14.77 | 51.88 | 1.53 | 0.09 | 1.58 |
| spark-worker-5 | 55.73 | 19.89 | 47.18 | 1.57 | 0.01 | 1.57 |
| spark-master | 39.69 | 19.62 | 34.14 | 1.01 | 0.03 | 1.02 |
| spark-worker-1 | 47.34 | 25.65 | 44.21 | 1.54 | 0.10 | 1.63 |
| spark-worker-2 | 47.22 | 24.81 | 35.48 | 1.62 | 0.01 | 1.63 |
| spark-worker-3 | 44.30 | 18.38 | 40.27 | 1.56 | 0.01 | 1.56 |
| spark-worker-4 | 45.86 | 14.67 | 44.70 | 1.49 | 0.09 | 1.57 |
| spark-worker-5 | 55.39 | 28.50 | 48.92 | 1.63 | 0.11 | 1.72 |


Note. CPU = Central Processing Unit; Mem = Memory.
