Table meta_Electronics_stats
Descriptive Statistics for Meta on Electronics Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| spark-master | 10.12 | 24.84 | 0.84 | 0.86 | 0.00 | 0.86 |
| spark-worker-1 | 69.73 | 72.25 | 32.77 | 4.28 | 0.00 | 4.28 |
| spark-worker-2 | 66.90 | 72.88 | 21.86 | 4.16 | 0.00 | 4.16 |
| spark-worker-3 | 37.14 | 61.20 | 13.87 | 4.62 | 0.00 | 4.62 |
| spark-worker-4 | 53.69 | 65.13 | 14.10 | 5.40 | 0.00 | 5.40 |
| spark-worker-5 | 38.20 | 61.98 | 13.79 | 5.16 | 0.00 | 5.16 |
| spark-master | 6.50 | 15.76 | 0.60 | 0.88 | 0.01 | 0.87 |
| spark-worker-1 | 58.93 | 77.41 | 14.47 | 3.94 | 0.00 | 3.94 |
| spark-worker-2 | 73.59 | 74.93 | 19.11 | 4.24 | 0.00 | 4.24 |
| spark-worker-3 | 29.91 | 60.93 | 13.21 | 5.88 | 0.00 | 5.88 |
| spark-worker-4 | 36.05 | 63.00 | 13.23 | 4.90 | 0.00 | 4.90 |
| spark-worker-5 | 45.99 | 63.78 | 14.20 | 4.41 | 0.00 | 4.41 |
| spark-master | 12.56 | 34.62 | 0.86 | 0.88 | 0.00 | 0.88 |
| spark-worker-1 | 44.63 | 75.54 | 13.75 | 7.68 | 0.00 | 7.68 |
| spark-worker-2 | 88.31 | 84.00 | 26.89 | 4.39 | 0.00 | 4.39 |
| spark-worker-3 | 96.24 | 78.10 | 92.35 | 4.33 | 0.00 | 4.33 |
| spark-worker-4 | 49.84 | 72.20 | 15.04 | 3.69 | 0.01 | 3.69 |
| spark-worker-5 | 58.95 | 69.93 | 26.26 | 5.18 | 0.00 | 5.17 |
| spark-master | 17.14 | 46.75 | 0.58 | 0.90 | 0.00 | 0.89 |
| spark-worker-1 | 87.41 | 75.66 | 65.19 | 3.41 | 0.00 | 3.41 |
| spark-worker-2 | 98.20 | 79.47 | 106.90 | 4.89 | 0.00 | 4.89 |
| spark-worker-3 | 79.63 | 67.92 | 76.45 | 3.79 | 0.00 | 3.79 |
| spark-worker-4 | 57.37 | 76.66 | 13.84 | 5.27 | 0.00 | 5.27 |
| spark-worker-5 | 55.52 | 77.53 | 13.89 | 3.92 | 0.01 | 3.92 |
| spark-master | 12.86 | 34.20 | 0.74 | 0.90 | 0.00 | 0.90 |
| spark-worker-1 | 78.25 | 80.44 | 38.50 | 6.20 | 0.03 | 6.20 |
| spark-worker-2 | 35.14 | 58.97 | 14.46 | 5.44 | 0.01 | 5.43 |
| spark-worker-3 | 56.56 | 85.77 | 14.22 | 5.17 | 0.00 | 5.17 |
| spark-worker-4 | 64.15 | 57.19 | 52.97 | 4.44 | 0.00 | 4.44 |
| spark-worker-5 | 67.05 | 72.53 | 25.59 | 4.42 | 0.02 | 4.42 |
| spark-master | 51.95 | 28.65 | 48.84 | 1.19 | 0.03 | 1.19 |
| spark-worker-1 | 37.48 | 11.16 | 33.58 | 1.54 | 0.00 | 1.54 |
| spark-worker-2 | 36.38 | 10.35 | 33.66 | 1.51 | 0.00 | 1.51 |
| spark-worker-3 | 41.19 | 14.19 | 36.60 | 1.75 | 0.00 | 1.75 |
| spark-worker-4 | 45.14 | 16.20 | 40.23 | 1.72 | 0.00 | 1.72 |
| spark-worker-5 | 47.53 | 13.47 | 44.95 | 1.72 | 0.00 | 1.72 |
| spark-master | 28.71 | 11.22 | 31.79 | 1.20 | 0.04 | 1.20 |
| spark-worker-1 | 55.34 | 24.61 | 44.80 | 1.61 | 0.00 | 1.61 |
| spark-worker-2 | 49.67 | 18.38 | 40.41 | 1.72 | 0.00 | 1.72 |
| spark-worker-3 | 41.20 | 8.17 | 42.24 | 1.91 | 0.00 | 1.91 |
| spark-worker-4 | 56.65 | 25.31 | 44.23 | 1.54 | 0.00 | 1.54 |
| spark-worker-5 | 65.33 | 36.55 | 51.93 | 1.75 | 0.00 | 1.75 |
| spark-master | 43.73 | 20.16 | 43.66 | 1.15 | 0.03 | 1.15 |
| spark-worker-1 | 22.79 | 12.64 | 22.30 | 2.13 | 0.01 | 2.13 |
| spark-worker-2 | 41.86 | 24.25 | 48.32 | 1.73 | 0.00 | 1.73 |
| spark-worker-3 | 28.27 | 20.50 | 25.96 | 1.83 | 0.00 | 1.83 |
| spark-worker-4 | 36.41 | 22.09 | 31.25 | 1.59 | 0.00 | 1.59 |
| spark-worker-5 | 40.13 | 26.18 | 46.53 | 1.67 | 0.00 | 1.67 |
| spark-master | 42.97 | 17.76 | 37.65 | 1.18 | 0.03 | 1.18 |
| spark-worker-1 | 47.25 | 21.52 | 39.56 | 1.69 | 0.00 | 1.70 |
| spark-worker-2 | 26.31 | 5.87 | 27.66 | 1.75 | 0.00 | 1.75 |
| spark-worker-3 | 30.65 | 6.34 | 31.25 | 1.92 | 0.02 | 1.93 |
| spark-worker-4 | 45.42 | 23.28 | 39.87 | 1.60 | 0.00 | 1.60 |
| spark-worker-5 | 26.60 | 2.09 | 26.50 | 1.58 | 0.00 | 1.58 |
| spark-master | 43.40 | 25.63 | 38.66 | 1.11 | 0.04 | 1.12 |
| spark-worker-1 | 48.74 | 17.70 | 43.34 | 1.64 | 0.00 | 1.64 |
| spark-worker-2 | 58.00 | 28.27 | 48.69 | 1.64 | 0.00 | 1.65 |
| spark-worker-3 | 38.60 | 16.13 | 30.91 | 1.57 | 0.00 | 1.57 |
| spark-worker-4 | 43.96 | 16.69 | 46.08 | 1.58 | 0.00 | 1.58 |
| spark-worker-5 | 48.20 | 15.74 | 42.69 | 1.72 | 0.00 | 1.72 |


Note. CPU = Central Processing Unit; Mem = Memory.
