Table meta_Toys_stats
Descriptive Statistics for Meta on Toys Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| spark-master | 1.12 | 0.85 | 0.84 | 0.76 | 0.25 | 0.88 |
| spark-worker-1 | 57.10 | 81.36 | 17.89 | 4.21 | 2.62 | 5.53 |
| spark-worker-2 | 51.57 | 84.29 | 14.30 | 3.39 | 2.05 | 4.41 |
| spark-worker-3 | 56.31 | 77.36 | 19.95 | 3.55 | 2.16 | 4.62 |
| spark-worker-4 | 51.41 | 84.05 | 14.25 | 4.13 | 2.56 | 5.41 |
| spark-worker-5 | 50.57 | 83.03 | 13.73 | 3.98 | 2.47 | 5.21 |
| spark-master | 22.44 | 43.77 | 0.58 | 0.92 | 0.00 | 0.92 |
| spark-worker-1 | 90.97 | 87.66 | 91.22 | 5.04 | 0.00 | 5.04 |
| spark-worker-2 | 90.95 | 88.10 | 90.18 | 4.25 | 0.00 | 4.25 |
| spark-worker-3 | 92.95 | 91.26 | 92.81 | 5.89 | 0.00 | 5.89 |
| spark-worker-4 | 89.49 | 87.50 | 84.90 | 4.95 | 0.00 | 4.95 |
| spark-worker-5 | 96.17 | 84.03 | 95.94 | 4.42 | 0.00 | 4.42 |
| spark-master | 0.64 | 0.60 | 0.30 | 0.90 | 0.00 | 0.90 |
| spark-worker-1 | 66.27 | 91.68 | 13.56 | 7.93 | 0.01 | 7.94 |
| spark-worker-2 | 67.36 | 93.28 | 13.53 | 4.41 | 0.00 | 4.41 |
| spark-worker-3 | 67.81 | 93.20 | 14.35 | 4.69 | 0.00 | 4.69 |
| spark-worker-4 | 68.06 | 94.67 | 13.49 | 4.00 | 0.00 | 4.00 |
| spark-worker-5 | 67.98 | 94.39 | 13.52 | 5.62 | 0.00 | 5.62 |
| spark-master | 3.93 | 6.82 | 0.60 | 0.77 | 0.25 | 0.90 |
| spark-worker-1 | 52.19 | 81.09 | 13.54 | 3.90 | 2.40 | 5.10 |
| spark-worker-2 | 51.14 | 80.21 | 13.51 | 3.77 | 2.30 | 4.92 |
| spark-worker-3 | 54.37 | 77.76 | 16.53 | 3.74 | 2.28 | 4.88 |
| spark-worker-4 | 52.99 | 83.06 | 13.39 | 4.06 | 2.51 | 5.32 |
