Table review_Books_stats
Descriptive Statistics for Review on Books Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| spark-master | 5.02 | 10.24 | 1.73 | 0.85 | 0.02 | 0.85 |
| spark-worker-1 | 80.72 | 78.20 | 30.78 | 4.61 | 1.62 | 5.52 |
| spark-worker-2 | 75.64 | 75.06 | 22.67 | 5.33 | 2.43 | 6.88 |
| spark-worker-3 | 65.49 | 68.71 | 17.05 | 4.34 | 1.32 | 5.11 |
| spark-worker-4 | 79.36 | 77.59 | 28.04 | 4.55 | 1.71 | 5.57 |
| spark-worker-5 | 75.85 | 77.54 | 16.62 | 4.39 | 1.77 | 5.01 |
| spark-master | 13.78 | 37.40 | 1.01 | 0.75 | 0.09 | 0.78 |
| spark-worker-1 | 64.92 | 74.30 | 16.96 | 5.16 | 2.12 | 6.30 |
| spark-worker-2 | 67.47 | 80.66 | 17.52 | 4.77 | 1.87 | 5.80 |
| spark-worker-3 | 67.90 | 71.04 | 25.75 | 4.47 | 1.75 | 5.43 |
| spark-worker-4 | 68.64 | 77.32 | 17.12 | 4.90 | 2.05 | 6.05 |
| spark-worker-5 | 75.44 | 80.60 | 17.13 | 4.65 | 1.83 | 5.56 |
| spark-master | 3.30 | 3.51 | 2.06 | 0.77 | 0.02 | 0.78 |
| spark-worker-1 | 78.83 | 67.48 | 72.43 | 5.49 | 1.70 | 6.25 |
| spark-worker-2 | 77.79 | 79.35 | 15.49 | 5.10 | 1.57 | 5.80 |
| spark-worker-3 | 74.04 | 74.47 | 28.03 | 4.17 | 1.34 | 4.66 |
| spark-worker-4 | 72.08 | 79.41 | 15.30 | 4.51 | 1.57 | 5.46 |
| spark-worker-5 | 69.82 | 75.84 | 16.41 | 4.69 | 1.48 | 5.43 |
| spark-master | 5.29 | 10.13 | 2.07 | 0.79 | 0.01 | 0.80 |
| spark-worker-1 | 67.44 | 71.52 | 18.81 | 4.48 | 1.20 | 4.95 |
| spark-worker-2 | 83.22 | 72.77 | 84.09 | 5.41 | 1.73 | 6.27 |
| spark-worker-3 | 81.66 | 73.82 | 64.89 | 4.03 | 1.32 | 4.59 |
| spark-worker-4 | 82.75 | 76.72 | 32.87 | 4.18 | 1.32 | 4.81 |
| spark-worker-5 | 77.96 | 74.74 | 37.87 | 5.77 | 1.82 | 6.59 |
| spark-master | 12.13 | 32.56 | 1.19 | 0.77 | 0.03 | 0.78 |
| spark-worker-1 | 79.85 | 79.13 | 23.00 | 4.18 | 1.73 | 5.42 |
| spark-worker-2 | 78.53 | 75.61 | 30.93 | 5.70 | 2.40 | 7.12 |
| spark-worker-3 | 83.07 | 80.46 | 17.20 | 5.35 | 2.09 | 6.44 |
| spark-worker-4 | 80.28 | 80.61 | 18.89 | 4.69 | 1.57 | 5.37 |
| spark-worker-5 | 78.19 | 78.83 | 19.34 | 4.37 | 1.88 | 5.38 |
| spark-master | 34.50 | 37.78 | 21.16 | 0.94 | 0.03 | 0.94 |
| spark-worker-1 | 111.42 | 67.67 | 112.92 | 1.95 | 0.57 | 2.02 |
| spark-worker-2 | 105.29 | 62.86 | 102.29 | 1.73 | 0.73 | 1.74 |
| spark-worker-3 | 113.67 | 68.63 | 129.52 | 2.08 | 0.62 | 2.06 |
| spark-worker-4 | 107.15 | 69.97 | 113.92 | 2.24 | 0.67 | 2.55 |
| spark-worker-5 | 110.90 | 67.56 | 118.03 | 2.18 | 0.58 | 2.44 |
| spark-master | 40.22 | 43.81 | 20.27 | 0.93 | 0.03 | 0.94 |
| spark-worker-1 | 111.55 | 70.61 | 120.42 | 1.97 | 0.53 | 2.27 |
| spark-worker-2 | 112.84 | 65.84 | 105.81 | 2.27 | 0.64 | 2.57 |
