Table review_Clothing_stats
Descriptive Statistics for Review on Clothing Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| spark-master | 1.25 | 1.32 | 0.87 | 0.79 | 0.00 | 0.79 |
| spark-worker-1 | 81.97 | 79.41 | 22.43 | 7.74 | 0.79 | 8.03 |
| spark-worker-2 | 77.76 | 61.91 | 77.17 | 6.48 | 0.32 | 6.54 |
| spark-worker-3 | 81.65 | 76.02 | 24.96 | 7.60 | 0.54 | 7.72 |
| spark-worker-4 | 81.07 | 77.10 | 27.06 | 7.15 | 0.74 | 7.19 |
| spark-worker-5 | 85.60 | 83.91 | 18.45 | 6.94 | 0.75 | 7.15 |
| spark-master | 1.89 | 1.77 | 1.36 | 0.78 | 0.00 | 0.78 |
| spark-worker-1 | 97.20 | 74.60 | 85.72 | 7.57 | 0.83 | 7.79 |
| spark-worker-2 | 89.52 | 80.60 | 53.22 | 7.20 | 0.74 | 7.31 |
| spark-worker-3 | 84.95 | 68.23 | 85.45 | 6.76 | 0.60 | 6.97 |
| spark-worker-4 | 91.06 | 77.58 | 74.07 | 7.78 | 0.86 | 7.83 |
| spark-worker-5 | 91.56 | 72.17 | 85.62 | 6.90 | 0.90 | 7.41 |
| spark-master | 2.34 | 4.68 | 0.92 | 0.81 | 0.00 | 0.81 |
| spark-worker-1 | 83.77 | 79.59 | 32.90 | 5.61 | 0.67 | 5.35 |
| spark-worker-2 | 89.06 | 87.32 | 16.04 | 7.82 | 0.67 | 8.14 |
| spark-worker-3 | 96.51 | 82.77 | 88.89 | 6.53 | 0.91 | 6.57 |
| spark-worker-4 | 83.04 | 73.08 | 62.39 | 7.70 | 1.18 | 8.09 |
| spark-worker-5 | 86.50 | 71.19 | 74.40 | 7.59 | 0.68 | 7.87 |
| spark-master | 1.52 | 2.63 | 0.66 | 0.79 | 0.00 | 0.79 |
| spark-worker-1 | 90.90 | 81.96 | 34.60 | 7.33 | 1.05 | 7.57 |
| spark-worker-2 | 92.73 | 77.13 | 91.70 | 8.33 | 0.59 | 8.52 |
| spark-worker-3 | 99.86 | 81.54 | 140.11 | 8.03 | 0.63 | 8.24 |
| spark-worker-4 | 80.02 | 79.13 | 29.15 | 7.61 | 0.90 | 7.87 |
| spark-worker-5 | 86.67 | 78.24 | 42.35 | 7.66 | 0.63 | 8.00 |
| spark-master | 19.03 | 26.43 | 3.92 | 0.99 | 0.01 | 0.98 |
| spark-worker-1 | 99.46 | 60.23 | 99.28 | 2.66 | 0.10 | 2.67 |
| spark-worker-2 | 98.18 | 56.20 | 92.18 | 2.98 | 0.04 | 2.99 |
| spark-worker-3 | 109.33 | 57.58 | 118.98 | 2.69 | 0.04 | 2.68 |
| spark-worker-4 | 116.37 | 53.42 | 112.56 | 2.64 | 0.04 | 2.62 |
| spark-worker-5 | 110.14 | 58.91 | 106.74 | 2.46 | 0.04 | 2.44 |
| spark-master | 18.28 | 26.58 | 5.23 | 0.97 | 0.03 | 0.96 |
| spark-worker-1 | 91.67 | 59.38 | 88.17 | 2.40 | 0.03 | 2.39 |
| spark-worker-2 | 111.69 | 60.99 | 108.50 | 2.60 | 0.03 | 2.58 |
| spark-worker-3 | 100.07 | 54.39 | 95.55 | 2.66 | 0.08 | 2.68 |
| spark-worker-4 | 89.33 | 55.40 | 87.30 | 2.57 | 0.03 | 2.58 |
| spark-worker-5 | 87.75 | 56.43 | 81.71 | 2.55 | 0.04 | 2.53 |
| spark-master | 12.34 | 14.70 | 4.60 | 1.01 | 0.02 | 1.00 |
| spark-worker-1 | 96.92 | 67.01 | 116.15 | 2.60 | 0.04 | 2.58 |
| spark-worker-2 | 126.73 | 57.84 | 131.83 | 2.53 | 0.03 | 2.51 |
| spark-worker-3 | 98.93 | 58.86 | 109.75 | 2.62 | 0.03 | 2.60 |
| spark-worker-4 | 104.28 | 65.84 | 128.45 | 2.67 | 0.10 | 2.69 |
| spark-worker-5 | 100.20 | 61.35 | 111.11 | 2.69 | 0.08 | 2.69 |
| spark-master | 12.95 | 18.80 | 3.37 | 0.87 | 0.01 | 0.87 |
| spark-worker-1 | 111.15 | 66.50 | 108.69 | 2.71 | 0.08 | 2.73 |
| spark-worker-2 | 106.97 | 66.83 | 111.59 | 2.65 | 0.05 | 2.66 |
| spark-worker-3 | 94.01 | 66.33 | 87.28 | 2.43 | 0.03 | 2.42 |
| spark-worker-4 | 104.11 | 63.38 | 105.09 | 2.60 | 0.03 | 2.59 |
| spark-worker-5 | 110.88 | 57.52 | 119.60 | 2.68 | 0.08 | 2.68 |
| spark-master | 12.27 | 16.53 | 4.25 | 0.93 | 0.02 | 0.92 |
| spark-worker-1 | 113.25 | 66.06 | 137.82 | 2.76 | 0.09 | 2.77 |
| spark-worker-2 | 79.87 | 69.18 | 57.69 | 2.37 | 0.04 | 2.36 |
| spark-worker-3 | 117.12 | 65.82 | 134.38 | 3.23 | 0.03 | 3.22 |
| spark-worker-4 | 89.06 | 60.74 | 92.27 | 2.62 | 0.04 | 2.62 |
| spark-worker-5 | 97.66 | 64.41 | 104.61 | 2.48 | 0.08 | 2.49 |


Note. CPU = Central Processing Unit; Mem = Memory.
