Table review_Home_stats
Descriptive Statistics for Review on Home Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| --------- | ------------ | ----------- | -------------- | ------------- | ------------ | --------------- |
| spark-master | 1.38 | 1.59 | 1.00 | 0.88 | 0.00 | 0.88 |
| spark-worker-1 | 87.56 | 83.59 | 24.05 | 8.17 | 0.37 | 8.22 |
| spark-worker-2 | 85.41 | 75.83 | 54.36 | 9.35 | 0.22 | 9.43 |
| spark-worker-3 | 74.89 | 65.28 | 70.97 | 8.88 | 0.38 | 8.87 |
| spark-worker-4 | 83.18 | 59.97 | 83.98 | 8.18 | 0.26 | 8.16 |
| spark-worker-5 | 83.95 | 72.29 | 88.97 | 8.94 | 0.36 | 9.02 |
| spark-master | 1.34 | 1.54 | 0.75 | 0.80 | 0.00 | 0.80 |
| spark-worker-1 | 78.96 | 71.10 | 53.05 | 8.98 | 0.12 | 8.98 |
| spark-worker-2 | 73.80 | 59.10 | 78.16 | 7.53 | 0.45 | 7.42 |
| spark-worker-3 | 77.34 | 66.93 | 66.59 | 8.52 | 0.27 | 8.42 |
| spark-worker-4 | 89.15 | 75.55 | 83.72 | 8.73 | 0.36 | 8.83 |
| spark-worker-5 | 85.01 | 73.01 | 64.95 | 8.91 | 0.37 | 9.09 |
| spark-master | 1.36 | 1.74 | 0.58 | 0.79 | 0.00 | 0.79 |
| spark-worker-1 | 89.51 | 79.31 | 49.55 | 9.16 | 0.33 | 9.18 |
| spark-worker-2 | 81.64 | 75.72 | 24.10 | 8.96 | 0.39 | 9.05 |
| spark-worker-3 | 90.48 | 79.15 | 80.06 | 8.64 | 0.57 | 8.73 |
| spark-worker-4 | 86.74 | 66.04 | 85.91 | 9.28 | 0.17 | 9.30 |
| spark-worker-5 | 89.93 | 70.12 | 90.51 | 8.77 | 0.25 | 8.82 |
| spark-master | 1.70 | 3.59 | 0.80 | 0.82 | 0.00 | 0.82 |
| spark-worker-1 | 81.01 | 73.32 | 62.78 | 8.64 | 0.52 | 8.87 |
| spark-worker-2 | 89.52 | 78.71 | 64.84 | 9.25 | 0.30 | 9.45 |
| spark-worker-3 | 90.37 | 83.45 | 23.93 | 8.54 | 0.43 | 8.59 |
| spark-worker-4 | 89.70 | 81.59 | 43.02 | 9.38 | 0.14 | 9.39 |
| spark-worker-5 | 89.22 | 81.42 | 30.05 | 9.22 | 0.33 | 9.27 |
| spark-master | 1.31 | 1.52 | 0.79 | 0.81 | 0.00 | 0.81 |
| spark-worker-1 | 87.66 | 73.82 | 82.06 | 9.24 | 0.28 | 9.35 |
| spark-worker-2 | 95.56 | 81.90 | 90.23 | 9.45 | 0.20 | 9.56 |
| spark-worker-3 | 81.79 | 67.05 | 83.97 | 9.13 | 0.16 | 9.13 |
