timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_135039,8896faf2c28a,spark-worker-3,173.77%,553.2MiB / 10GiB,5.40%,698MB / 580MB,0B / 0B,59
20250617_135039,bd3eccc510a1,spark-worker-2,174.54%,331.9MiB / 10GiB,3.24%,698MB / 576MB,0B / 0B,59
20250617_135039,72ea5f833e39,spark-worker-1,187.82%,386.6MiB / 10GiB,3.78%,601MB / 583MB,0B / 0B,59
20250617_135039,d9db3658c991,spark-worker-4,188.47%,386.9MiB / 10GiB,3.78%,400MB / 632MB,0B / 0B,59
20250617_135039,ec39dfa29337,spark-worker-5,171.86%,398.8MiB / 10GiB,3.89%,637MB / 590MB,0B / 0B,60
20250617_135039,82e8dc373feb,spark-master,120.64%,784.7MiB / 4GiB,19.16%,63.8MB / 147MB,0B / 0B,117
20250617_135047,8896faf2c28a,spark-worker-3,171.98%,693MiB / 10GiB,6.77%,698MB / 580MB,0B / 0B,78
20250617_135047,bd3eccc510a1,spark-worker-2,185.36%,498.5MiB / 10GiB,4.87%,698MB / 576MB,0B / 0B,78
20250617_135047,72ea5f833e39,spark-worker-1,34.37%,500.9MiB / 10GiB,4.89%,601MB / 583MB,0B / 0B,77
20250617_135047,d9db3658c991,spark-worker-4,194.14%,641.2MiB / 10GiB,6.26%,400MB / 632MB,0B / 0B,80
20250617_135047,ec39dfa29337,spark-worker-5,31.95%,485.1MiB / 10GiB,4.74%,637MB / 590MB,0B / 0B,78
20250617_135047,82e8dc373feb,spark-master,19.92%,902.3MiB / 4GiB,22.03%,63.9MB / 147MB,0B / 0B,137
20250617_135055,8896faf2c28a,spark-worker-3,163.78%,845.9MiB / 10GiB,8.26%,699MB / 581MB,0B / 0B,95
20250617_135055,bd3eccc510a1,spark-worker-2,146.18%,635.2MiB / 10GiB,6.20%,699MB / 576MB,0B / 0B,93
20250617_135055,72ea5f833e39,spark-worker-1,116.78%,676.8MiB / 10GiB,6.61%,601MB / 583MB,0B / 0B,95
20250617_135055,d9db3658c991,spark-worker-4,155.12%,728.9MiB / 10GiB,7.12%,401MB / 633MB,0B / 0B,95
20250617_135055,ec39dfa29337,spark-worker-5,166.09%,710.2MiB / 10GiB,6.94%,638MB / 590MB,0B / 0B,94
20250617_135055,82e8dc373feb,spark-master,112.87%,961.4MiB / 4GiB,23.47%,65.5MB / 151MB,0B / 0B,202
20250617_135101,8896faf2c28a,spark-worker-3,93.04%,1.054GiB / 10GiB,10.54%,700MB / 581MB,0B / 0B,119
20250617_135101,bd3eccc510a1,spark-worker-2,111.14%,843.9MiB / 10GiB,8.24%,699MB / 577MB,0B / 0B,117
20250617_135101,72ea5f833e39,spark-worker-1,99.49%,848.3MiB / 10GiB,8.28%,602MB / 583MB,0B / 0B,119
20250617_135101,d9db3658c991,spark-worker-4,133.49%,1010MiB / 10GiB,9.86%,402MB / 634MB,0B / 0B,119
20250617_135101,ec39dfa29337,spark-worker-5,122.61%,880.8MiB / 10GiB,8.60%,638MB / 591MB,0B / 0B,118
20250617_135101,82e8dc373feb,spark-master,90.11%,979.6MiB / 4GiB,23.92%,67MB / 154MB,0B / 0B,268
20250617_135109,8896faf2c28a,spark-worker-3,143.08%,1.375GiB / 10GiB,13.75%,702MB / 582MB,0B / 0B,150
20250617_135109,bd3eccc510a1,spark-worker-2,155.64%,1.132GiB / 10GiB,11.32%,701MB / 578MB,0B / 0B,152
20250617_135109,72ea5f833e39,spark-worker-1,64.77%,1.151GiB / 10GiB,11.51%,603MB / 585MB,0B / 0B,149
20250617_135109,d9db3658c991,spark-worker-4,117.37%,1.225GiB / 10GiB,12.25%,404MB / 635MB,0B / 0B,152
20250617_135109,ec39dfa29337,spark-worker-5,160.55%,1.079GiB / 10GiB,10.79%,640MB / 592MB,0B / 0B,150
20250617_135109,82e8dc373feb,spark-master,37.24%,984MiB / 4GiB,24.02%,69MB / 159MB,0B / 0B,294
20250617_135117,8896faf2c28a,spark-worker-3,126.23%,1.396GiB / 10GiB,13.96%,704MB / 583MB,0B / 0B,180
20250617_135117,bd3eccc510a1,spark-worker-2,111.80%,1.152GiB / 10GiB,11.52%,703MB / 578MB,0B / 0B,180
20250617_135117,72ea5f833e39,spark-worker-1,119.38%,1.185GiB / 10GiB,11.85%,604MB / 585MB,0B / 0B,180
20250617_135117,d9db3658c991,spark-worker-4,84.84%,1.235GiB / 10GiB,12.35%,406MB / 635MB,0B / 0B,180
20250617_135117,ec39dfa29337,spark-worker-5,118.58%,1.311GiB / 10GiB,13.11%,641MB / 592MB,0B / 0B,181
20250617_135117,82e8dc373feb,spark-master,68.21%,1003MiB / 4GiB,24.49%,71.3MB / 164MB,0B / 0B,337
20250617_135125,8896faf2c28a,spark-worker-3,79.63%,1.403GiB / 10GiB,14.03%,705MB / 583MB,0B / 0B,180
20250617_135125,bd3eccc510a1,spark-worker-2,63.55%,1.248GiB / 10GiB,12.48%,704MB / 579MB,0B / 0B,180
20250617_135125,72ea5f833e39,spark-worker-1,51.86%,1.237GiB / 10GiB,12.37%,606MB / 586MB,0B / 0B,180
20250617_135125,d9db3658c991,spark-worker-4,72.23%,1.241GiB / 10GiB,12.41%,407MB / 636MB,0B / 0B,180
20250617_135125,ec39dfa29337,spark-worker-5,54.44%,1.335GiB / 10GiB,13.35%,644MB / 593MB,0B / 0B,181
20250617_135125,82e8dc373feb,spark-master,45.27%,1008MiB / 4GiB,24.60%,74.8MB / 173MB,0B / 0B,340
20250617_135131,8896faf2c28a,spark-worker-3,86.75%,1.401GiB / 10GiB,14.01%,706MB / 584MB,0B / 0B,180
20250617_135131,bd3eccc510a1,spark-worker-2,106.63%,1.276GiB / 10GiB,12.76%,706MB / 580MB,0B / 0B,180
20250617_135131,72ea5f833e39,spark-worker-1,113.41%,1.247GiB / 10GiB,12.47%,607MB / 587MB,0B / 0B,180
20250617_135131,d9db3658c991,spark-worker-4,92.26%,1.248GiB / 10GiB,12.48%,408MB / 637MB,0B / 0B,180
20250617_135131,ec39dfa29337,spark-worker-5,110.31%,1.346GiB / 10GiB,13.46%,645MB / 594MB,0B / 0B,181
20250617_135131,82e8dc373feb,spark-master,73.73%,1011MiB / 4GiB,24.68%,77.3MB / 179MB,0B / 0B,340
20250617_135139,8896faf2c28a,spark-worker-3,157.64%,1.408GiB / 10GiB,14.08%,708MB / 585MB,0B / 0B,180
20250617_135139,bd3eccc510a1,spark-worker-2,105.37%,1.284GiB / 10GiB,12.84%,707MB / 580MB,0B / 0B,180
20250617_135139,72ea5f833e39,spark-worker-1,157.45%,1.254GiB / 10GiB,12.54%,608MB / 587MB,0B / 0B,180
20250617_135139,d9db3658c991,spark-worker-4,149.60%,1.262GiB / 10GiB,12.62%,410MB / 637MB,0B / 0B,180
20250617_135139,ec39dfa29337,spark-worker-5,117.18%,1.357GiB / 10GiB,13.57%,646MB / 594MB,0B / 0B,181
20250617_135139,82e8dc373feb,spark-master,12.13%,1013MiB / 4GiB,24.73%,79.8MB / 185MB,0B / 0B,339
20250617_135147,8896faf2c28a,spark-worker-3,72.17%,1.417GiB / 10GiB,14.17%,744MB / 620MB,0B / 0B,178
20250617_135147,bd3eccc510a1,spark-worker-2,61.86%,1.298GiB / 10GiB,12.98%,708MB / 624MB,0B / 0B,178
20250617_135147,72ea5f833e39,spark-worker-1,71.52%,1.319GiB / 10GiB,13.19%,643MB / 624MB,0B / 0B,178
20250617_135147,d9db3658c991,spark-worker-4,61.14%,1.372GiB / 10GiB,13.72%,450MB / 675MB,0B / 0B,178
20250617_135147,ec39dfa29337,spark-worker-5,91.81%,1.397GiB / 10GiB,13.97%,718MB / 623MB,0B / 0B,179
20250617_135147,82e8dc373feb,spark-master,70.96%,1013MiB / 4GiB,24.74%,81.9MB / 190MB,0B / 0B,339
20250617_135154,8896faf2c28a,spark-worker-3,142.48%,1.42GiB / 10GiB,14.20%,746MB / 623MB,0B / 0B,177
20250617_135154,bd3eccc510a1,spark-worker-2,136.21%,1.3GiB / 10GiB,13.00%,711MB / 626MB,0B / 0B,178
20250617_135154,72ea5f833e39,spark-worker-1,53.13%,1.48GiB / 10GiB,14.80%,646MB / 626MB,0B / 0B,178
20250617_135154,d9db3658c991,spark-worker-4,122.50%,1.446GiB / 10GiB,14.46%,453MB / 677MB,0B / 0B,178
20250617_135154,ec39dfa29337,spark-worker-5,134.58%,1.398GiB / 10GiB,13.98%,721MB / 625MB,0B / 0B,178
20250617_135154,82e8dc373feb,spark-master,29.36%,1010MiB / 4GiB,24.67%,84.5MB / 196MB,0B / 0B,338
20250617_135201,8896faf2c28a,spark-worker-3,116.52%,1.43GiB / 10GiB,14.30%,781MB / 641MB,0B / 0B,176
20250617_135201,bd3eccc510a1,spark-worker-2,126.95%,1.43GiB / 10GiB,14.30%,712MB / 651MB,0B / 0B,177
20250617_135201,72ea5f833e39,spark-worker-1,98.73%,1.487GiB / 10GiB,14.87%,677MB / 645MB,0B / 0B,177
20250617_135201,d9db3658c991,spark-worker-4,152.66%,1.458GiB / 10GiB,14.58%,494MB / 694MB,0B / 0B,177
20250617_135201,ec39dfa29337,spark-worker-5,101.07%,1.448GiB / 10GiB,14.48%,722MB / 650MB,0B / 0B,178
20250617_135201,82e8dc373feb,spark-master,50.31%,1018MiB / 4GiB,24.86%,86.9MB / 202MB,0B / 0B,338
20250617_135209,8896faf2c28a,spark-worker-3,96.22%,1.439GiB / 10GiB,14.39%,792MB / 651MB,0B / 0B,174
20250617_135209,bd3eccc510a1,spark-worker-2,81.63%,1.434GiB / 10GiB,14.34%,713MB / 663MB,0B / 0B,177
20250617_135209,72ea5f833e39,spark-worker-1,96.91%,1.494GiB / 10GiB,14.94%,693MB / 655MB,0B / 0B,177
20250617_135209,d9db3658c991,spark-worker-4,47.54%,1.462GiB / 10GiB,14.62%,505MB / 704MB,0B / 0B,176
20250617_135209,ec39dfa29337,spark-worker-5,45.68%,1.437GiB / 10GiB,14.37%,738MB / 659MB,0B / 0B,174
20250617_135209,82e8dc373feb,spark-master,25.38%,1023MiB / 4GiB,24.99%,89.5MB / 208MB,0B / 0B,338
20250617_135217,8896faf2c28a,spark-worker-3,60.44%,1.445GiB / 10GiB,14.45%,802MB / 657MB,0B / 0B,175
20250617_135217,bd3eccc510a1,spark-worker-2,49.66%,1.439GiB / 10GiB,14.39%,720MB / 669MB,0B / 0B,177
20250617_135217,72ea5f833e39,spark-worker-1,52.53%,1.502GiB / 10GiB,15.02%,700MB / 661MB,0B / 0B,177
20250617_135217,d9db3658c991,spark-worker-4,37.79%,1.464GiB / 10GiB,14.64%,514MB / 710MB,0B / 0B,175
20250617_135217,ec39dfa29337,spark-worker-5,37.92%,1.467GiB / 10GiB,14.67%,739MB / 666MB,0B / 0B,177
20250617_135217,82e8dc373feb,spark-master,3.63%,1015MiB / 4GiB,24.78%,92.2MB / 215MB,0B / 0B,337
20250617_135224,8896faf2c28a,spark-worker-3,36.40%,1.439GiB / 10GiB,14.39%,803MB / 657MB,0B / 0B,176
20250617_135224,bd3eccc510a1,spark-worker-2,22.86%,1.44GiB / 10GiB,14.40%,721MB / 670MB,0B / 0B,177
20250617_135224,72ea5f833e39,spark-worker-1,37.23%,1.505GiB / 10GiB,15.05%,700MB / 661MB,0B / 0B,176
20250617_135224,d9db3658c991,spark-worker-4,22.63%,1.464GiB / 10GiB,14.64%,515MB / 710MB,0B / 0B,176
20250617_135224,ec39dfa29337,spark-worker-5,31.50%,1.458GiB / 10GiB,14.58%,739MB / 666MB,0B / 0B,177
20250617_135224,82e8dc373feb,spark-master,58.04%,1015MiB / 4GiB,24.79%,93.3MB / 217MB,0B / 0B,334
20250617_135231,8896faf2c28a,spark-worker-3,125.02%,1.445GiB / 10GiB,14.45%,803MB / 657MB,0B / 0B,175
20250617_135231,bd3eccc510a1,spark-worker-2,81.03%,1.444GiB / 10GiB,14.44%,721MB / 670MB,0B / 0B,169
20250617_135231,72ea5f833e39,spark-worker-1,130.85%,1.511GiB / 10GiB,15.11%,701MB / 661MB,0B / 0B,170
20250617_135231,d9db3658c991,spark-worker-4,82.61%,1.473GiB / 10GiB,14.73%,515MB / 710MB,0B / 0B,171
20250617_135231,ec39dfa29337,spark-worker-5,135.92%,1.465GiB / 10GiB,14.65%,740MB / 667MB,0B / 0B,171
20250617_135231,82e8dc373feb,spark-master,5.22%,1019MiB / 4GiB,24.89%,94MB / 219MB,0B / 0B,335
20250617_135239,8896faf2c28a,spark-worker-3,36.08%,1.53GiB / 10GiB,15.30%,1.04GB / 843MB,0B / 0B,174
20250617_135239,bd3eccc510a1,spark-worker-2,56.28%,1.496GiB / 10GiB,14.96%,915MB / 863MB,0B / 0B,177
