timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_004722,8896faf2c28a,spark-worker-3,26.83%,1.531GiB / 10GiB,15.31%,37.6GB / 50.1GB,0B / 0B,176
20250618_004722,bd3eccc510a1,spark-worker-2,33.24%,1.598GiB / 10GiB,15.98%,71.3GB / 33.3GB,0B / 0B,176
20250618_004722,72ea5f833e39,spark-worker-1,24.20%,1.41GiB / 10GiB,14.10%,24.9GB / 41GB,0B / 0B,176
20250618_004722,d9db3658c991,spark-worker-4,49.32%,1.366GiB / 10GiB,13.66%,36.5GB / 43.3GB,0B / 0B,176
20250618_004722,ec39dfa29337,spark-worker-5,43.08%,1.493GiB / 10GiB,14.93%,32.4GB / 32.1GB,0B / 0B,177
20250618_004722,82e8dc373feb,spark-master,20.47%,972.7MiB / 4GiB,23.75%,1.82GB / 4.63GB,0B / 0B,364
20250618_004729,8896faf2c28a,spark-worker-3,29.36%,1.544GiB / 10GiB,15.44%,37.6GB / 50.1GB,0B / 0B,174
20250618_004729,bd3eccc510a1,spark-worker-2,41.32%,1.599GiB / 10GiB,15.99%,71.3GB / 33.3GB,0B / 0B,176
20250618_004729,72ea5f833e39,spark-worker-1,44.21%,1.411GiB / 10GiB,14.11%,24.9GB / 41GB,0B / 0B,175
20250618_004729,d9db3658c991,spark-worker-4,30.94%,1.368GiB / 10GiB,13.68%,36.5GB / 43.3GB,0B / 0B,175
20250618_004729,ec39dfa29337,spark-worker-5,58.72%,1.495GiB / 10GiB,14.95%,32.4GB / 32.1GB,0B / 0B,177
20250618_004729,82e8dc373feb,spark-master,65.79%,976.7MiB / 4GiB,23.85%,1.83GB / 4.64GB,0B / 0B,363
20250618_004737,8896faf2c28a,spark-worker-3,40.27%,1.546GiB / 10GiB,15.46%,37.6GB / 50.1GB,0B / 0B,176
20250618_004737,bd3eccc510a1,spark-worker-2,34.08%,1.601GiB / 10GiB,16.01%,71.3GB / 33.3GB,0B / 0B,176
20250618_004737,72ea5f833e39,spark-worker-1,31.38%,1.413GiB / 10GiB,14.13%,24.9GB / 41GB,0B / 0B,176
20250618_004737,d9db3658c991,spark-worker-4,34.83%,1.37GiB / 10GiB,13.70%,36.5GB / 43.3GB,0B / 0B,176
20250618_004737,ec39dfa29337,spark-worker-5,34.33%,1.496GiB / 10GiB,14.96%,32.4GB / 32.1GB,0B / 0B,177
20250618_004737,82e8dc373feb,spark-master,26.04%,999.7MiB / 4GiB,24.41%,1.83GB / 4.65GB,0B / 0B,364
20250618_004745,8896faf2c28a,spark-worker-3,75.81%,1.547GiB / 10GiB,15.47%,37.6GB / 50.1GB,0B / 0B,176
20250618_004745,bd3eccc510a1,spark-worker-2,32.71%,1.602GiB / 10GiB,16.02%,71.3GB / 33.3GB,0B / 0B,174
20250618_004745,72ea5f833e39,spark-worker-1,117.99%,1.418GiB / 10GiB,14.18%,24.9GB / 41GB,0B / 0B,176
20250618_004745,d9db3658c991,spark-worker-4,77.04%,1.371GiB / 10GiB,13.71%,36.5GB / 43.3GB,0B / 0B,176
20250618_004745,ec39dfa29337,spark-worker-5,128.90%,1.501GiB / 10GiB,15.01%,32.4GB / 32.1GB,0B / 0B,177
20250618_004745,82e8dc373feb,spark-master,17.29%,999.9MiB / 4GiB,24.41%,1.83GB / 4.65GB,0B / 0B,364
20250618_004752,8896faf2c28a,spark-worker-3,61.06%,1.574GiB / 10GiB,15.74%,37.8GB / 50.1GB,0B / 0B,176
20250618_004752,bd3eccc510a1,spark-worker-2,91.66%,1.617GiB / 10GiB,16.17%,71.4GB / 33.4GB,0B / 0B,176
