timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_142348,8896faf2c28a,spark-worker-3,25.96%,1.831GiB / 10GiB,18.31%,3.06GB / 2.34GB,0B / 0B,176
20250617_142348,bd3eccc510a1,spark-worker-2,34.01%,1.727GiB / 10GiB,17.27%,2.44GB / 2.45GB,0B / 0B,177
20250617_142348,72ea5f833e39,spark-worker-1,40.89%,2.119GiB / 10GiB,21.19%,2.44GB / 2.43GB,0B / 0B,177
20250617_142348,d9db3658c991,spark-worker-4,31.25%,1.595GiB / 10GiB,15.95%,2.16GB / 2.5GB,0B / 0B,176
20250617_142348,ec39dfa29337,spark-worker-5,54.88%,1.663GiB / 10GiB,16.63%,2.8GB / 2.4GB,0B / 0B,177
20250617_142348,82e8dc373feb,spark-master,43.66%,1.116GiB / 4GiB,27.90%,503MB / 1.29GB,0B / 0B,340
20250617_142356,8896faf2c28a,spark-worker-3,61.30%,1.83GiB / 10GiB,18.30%,3.08GB / 2.37GB,0B / 0B,177
20250617_142356,bd3eccc510a1,spark-worker-2,72.15%,1.729GiB / 10GiB,17.29%,2.44GB / 2.48GB,0B / 0B,177
20250617_142356,72ea5f833e39,spark-worker-1,18.29%,2.129GiB / 10GiB,21.29%,2.48GB / 2.46GB,0B / 0B,177
20250617_142356,d9db3658c991,spark-worker-4,63.19%,1.586GiB / 10GiB,15.86%,2.2GB / 2.53GB,0B / 0B,176
20250617_142356,ec39dfa29337,spark-worker-5,19.83%,1.665GiB / 10GiB,16.65%,2.83GB / 2.43GB,0B / 0B,177
20250617_142356,82e8dc373feb,spark-master,63.85%,1.135GiB / 4GiB,28.37%,506MB / 1.3GB,0B / 0B,340
20250617_142403,8896faf2c28a,spark-worker-3,18.25%,1.83GiB / 10GiB,18.30%,3.1GB / 2.38GB,0B / 0B,177
20250617_142403,bd3eccc510a1,spark-worker-2,48.32%,1.73GiB / 10GiB,17.30%,2.46GB / 2.48GB,0B / 0B,177
20250617_142403,72ea5f833e39,spark-worker-1,22.30%,2.13GiB / 10GiB,21.30%,2.48GB / 2.47GB,0B / 0B,176
20250617_142403,d9db3658c991,spark-worker-4,51.72%,1.587GiB / 10GiB,15.87%,2.22GB / 2.54GB,0B / 0B,176
20250617_142403,ec39dfa29337,spark-worker-5,71.88%,1.666GiB / 10GiB,16.66%,2.84GB / 2.44GB,0B / 0B,177
20250617_142403,82e8dc373feb,spark-master,24.52%,1.149GiB / 4GiB,28.72%,509MB / 1.31GB,0B / 0B,340
20250617_142410,8896faf2c28a,spark-worker-3,29.53%,1.832GiB / 10GiB,18.32%,3.11GB / 2.39GB,0B / 0B,177
20250617_142410,bd3eccc510a1,spark-worker-2,48.77%,1.731GiB / 10GiB,17.31%,2.47GB / 2.49GB,0B / 0B,177
20250617_142410,72ea5f833e39,spark-worker-1,26.37%,2.133GiB / 10GiB,21.33%,2.49GB / 2.48GB,0B / 0B,176
20250617_142410,d9db3658c991,spark-worker-4,30.03%,1.589GiB / 10GiB,15.89%,2.23GB / 2.54GB,0B / 0B,176
20250617_142410,ec39dfa29337,spark-worker-5,46.53%,1.667GiB / 10GiB,16.67%,2.84GB / 2.45GB,0B / 0B,177
20250617_142410,82e8dc373feb,spark-master,22.67%,1.181GiB / 4GiB,29.52%,512MB / 1.32GB,0B / 0B,340
20250617_142418,8896faf2c28a,spark-worker-3,6.30%,1.833GiB / 10GiB,18.33%,3.11GB / 2.39GB,0B / 0B,177
20250617_142418,bd3eccc510a1,spark-worker-2,6.03%,1.732GiB / 10GiB,17.32%,2.47GB / 2.5GB,0B / 0B,177
20250617_142418,72ea5f833e39,spark-worker-1,6.11%,2.133GiB / 10GiB,21.33%,2.5GB / 2.48GB,0B / 0B,176
20250617_142418,d9db3658c991,spark-worker-4,5.87%,1.589GiB / 10GiB,15.89%,2.23GB / 2.55GB,0B / 0B,176
20250617_142418,ec39dfa29337,spark-worker-5,7.54%,1.668GiB / 10GiB,16.68%,2.84GB / 2.45GB,0B / 0B,177
20250617_142418,82e8dc373feb,spark-master,63.94%,1.19GiB / 4GiB,29.75%,515MB / 1.33GB,0B / 0B,340
