timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_143409,8896faf2c28a,spark-worker-3,26.13%,1.943GiB / 10GiB,19.43%,3.7GB / 3.07GB,0B / 0B,176
20250617_143409,bd3eccc510a1,spark-worker-2,24.99%,1.75GiB / 10GiB,17.50%,3.19GB / 3.18GB,0B / 0B,176
20250617_143409,72ea5f833e39,spark-worker-1,35.68%,1.697GiB / 10GiB,16.97%,3.17GB / 3.16GB,0B / 0B,176
20250617_143409,d9db3658c991,spark-worker-4,25.35%,1.601GiB / 10GiB,16.01%,2.98GB / 3.21GB,0B / 0B,176
20250617_143409,ec39dfa29337,spark-worker-5,28.75%,1.581GiB / 10GiB,15.81%,3.74GB / 3.09GB,0B / 0B,177
20250617_143409,82e8dc373feb,spark-master,40.24%,1.236GiB / 4GiB,30.90%,679MB / 1.76GB,0B / 0B,341
20250617_143416,8896faf2c28a,spark-worker-3,52.38%,1.945GiB / 10GiB,19.45%,3.71GB / 3.07GB,0B / 0B,176
20250617_143416,bd3eccc510a1,spark-worker-2,27.59%,1.752GiB / 10GiB,17.52%,3.19GB / 3.18GB,0B / 0B,176
20250617_143416,72ea5f833e39,spark-worker-1,25.60%,1.698GiB / 10GiB,16.98%,3.17GB / 3.16GB,0B / 0B,176
20250617_143416,d9db3658c991,spark-worker-4,23.09%,1.602GiB / 10GiB,16.02%,2.98GB / 3.22GB,0B / 0B,176
20250617_143416,ec39dfa29337,spark-worker-5,20.38%,1.582GiB / 10GiB,15.82%,3.75GB / 3.09GB,0B / 0B,177
20250617_143416,82e8dc373feb,spark-master,23.96%,1.248GiB / 4GiB,31.19%,681MB / 1.77GB,0B / 0B,341
20250617_143423,8896faf2c28a,spark-worker-3,34.64%,1.947GiB / 10GiB,19.47%,3.71GB / 3.07GB,0B / 0B,176
20250617_143423,bd3eccc510a1,spark-worker-2,37.22%,1.754GiB / 10GiB,17.54%,3.19GB / 3.18GB,0B / 0B,176
20250617_143423,72ea5f833e39,spark-worker-1,37.67%,1.7GiB / 10GiB,17.00%,3.17GB / 3.16GB,0B / 0B,176
20250617_143423,d9db3658c991,spark-worker-4,40.26%,1.605GiB / 10GiB,16.05%,2.98GB / 3.22GB,0B / 0B,176
20250617_143423,ec39dfa29337,spark-worker-5,46.80%,1.584GiB / 10GiB,15.84%,3.75GB / 3.09GB,0B / 0B,177
20250617_143423,82e8dc373feb,spark-master,36.37%,1.257GiB / 4GiB,31.42%,684MB / 1.78GB,0B / 0B,341
20250617_143431,8896faf2c28a,spark-worker-3,113.78%,1.989GiB / 10GiB,19.89%,3.76GB / 3.11GB,0B / 0B,176
20250617_143431,bd3eccc510a1,spark-worker-2,15.35%,1.756GiB / 10GiB,17.56%,3.19GB / 3.24GB,0B / 0B,176
20250617_143431,72ea5f833e39,spark-worker-1,112.92%,1.687GiB / 10GiB,16.87%,3.23GB / 3.21GB,0B / 0B,176
20250617_143431,d9db3658c991,spark-worker-4,107.38%,1.603GiB / 10GiB,16.03%,3.06GB / 3.27GB,0B / 0B,176
20250617_143431,ec39dfa29337,spark-worker-5,102.56%,1.586GiB / 10GiB,15.86%,3.8GB / 3.13GB,0B / 0B,177
20250617_143431,82e8dc373feb,spark-master,25.01%,1.266GiB / 4GiB,31.65%,686MB / 1.78GB,0B / 0B,341
20250617_143439,8896faf2c28a,spark-worker-3,29.85%,1.959GiB / 10GiB,19.59%,3.79GB / 3.13GB,0B / 0B,176
20250617_143439,bd3eccc510a1,spark-worker-2,84.15%,1.757GiB / 10GiB,17.57%,3.2GB / 3.25GB,0B / 0B,176
20250617_143439,72ea5f833e39,spark-worker-1,33.75%,1.688GiB / 10GiB,16.88%,3.24GB / 3.22GB,0B / 0B,176
20250617_143439,d9db3658c991,spark-worker-4,98.80%,1.604GiB / 10GiB,16.04%,3.07GB / 3.27GB,0B / 0B,174
20250617_143439,ec39dfa29337,spark-worker-5,30.92%,1.588GiB / 10GiB,15.88%,3.8GB / 3.15GB,0B / 0B,177
20250617_143439,82e8dc373feb,spark-master,34.88%,1.271GiB / 4GiB,31.78%,688MB / 1.79GB,0B / 0B,341
20250617_143446,8896faf2c28a,spark-worker-3,24.41%,1.961GiB / 10GiB,19.61%,3.8GB / 3.14GB,0B / 0B,176
20250617_143446,bd3eccc510a1,spark-worker-2,29.18%,1.759GiB / 10GiB,17.59%,3.21GB / 3.26GB,0B / 0B,176
20250617_143446,72ea5f833e39,spark-worker-1,26.02%,1.689GiB / 10GiB,16.89%,3.24GB / 3.23GB,0B / 0B,176
20250617_143446,d9db3658c991,spark-worker-4,28.93%,1.605GiB / 10GiB,16.05%,3.08GB / 3.28GB,0B / 0B,176
20250617_143446,ec39dfa29337,spark-worker-5,38.28%,1.589GiB / 10GiB,15.89%,3.82GB / 3.16GB,0B / 0B,177
20250617_143446,82e8dc373feb,spark-master,23.60%,1.273GiB / 4GiB,31.83%,690MB / 1.79GB,0B / 0B,341
20250617_143453,8896faf2c28a,spark-worker-3,97.01%,1.962GiB / 10GiB,19.62%,3.81GB / 3.14GB,0B / 0B,176
20250617_143453,bd3eccc510a1,spark-worker-2,97.06%,1.761GiB / 10GiB,17.61%,3.21GB / 3.27GB,0B / 0B,174
20250617_143453,72ea5f833e39,spark-worker-1,109.89%,1.695GiB / 10GiB,16.95%,3.25GB / 3.23GB,0B / 0B,175
20250617_143453,d9db3658c991,spark-worker-4,115.81%,1.611GiB / 10GiB,16.11%,3.09GB / 3.28GB,0B / 0B,175
20250617_143453,ec39dfa29337,spark-worker-5,84.56%,1.59GiB / 10GiB,15.90%,3.82GB / 3.16GB,0B / 0B,175
20250617_143453,82e8dc373feb,spark-master,12.20%,1.28GiB / 4GiB,32.00%,693MB / 1.8GB,0B / 0B,341
20250617_143501,8896faf2c28a,spark-worker-3,77.00%,1.961GiB / 10GiB,19.61%,3.82GB / 3.16GB,0B / 0B,176
20250617_143501,bd3eccc510a1,spark-worker-2,96.74%,1.759GiB / 10GiB,17.59%,3.24GB / 3.28GB,0B / 0B,176
20250617_143501,72ea5f833e39,spark-worker-1,109.52%,1.698GiB / 10GiB,16.98%,3.26GB / 3.25GB,0B / 0B,176
20250617_143501,d9db3658c991,spark-worker-4,65.33%,1.611GiB / 10GiB,16.11%,3.11GB / 3.29GB,0B / 0B,176
20250617_143501,ec39dfa29337,spark-worker-5,122.09%,1.589GiB / 10GiB,15.89%,3.84GB / 3.18GB,0B / 0B,177
20250617_143501,82e8dc373feb,spark-master,10.27%,1.289GiB / 4GiB,32.21%,695MB / 1.81GB,0B / 0B,341
20250617_143509,8896faf2c28a,spark-worker-3,28.74%,1.964GiB / 10GiB,19.64%,3.83GB / 3.17GB,0B / 0B,176
20250617_143509,bd3eccc510a1,spark-worker-2,73.95%,1.761GiB / 10GiB,17.61%,3.25GB / 3.29GB,0B / 0B,176
20250617_143509,72ea5f833e39,spark-worker-1,26.40%,1.699GiB / 10GiB,16.99%,3.27GB / 3.26GB,0B / 0B,176
20250617_143509,d9db3658c991,spark-worker-4,26.38%,1.612GiB / 10GiB,16.12%,3.13GB / 3.31GB,0B / 0B,176
20250617_143509,ec39dfa29337,spark-worker-5,40.81%,1.592GiB / 10GiB,15.92%,3.84GB / 3.19GB,0B / 0B,177
20250617_143509,82e8dc373feb,spark-master,15.59%,1.299GiB / 4GiB,32.47%,698MB / 1.81GB,0B / 0B,341
