timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_135802,8896faf2c28a,spark-worker-3,5.01%,1.769GiB / 10GiB,17.69%,1.65GB / 1.18GB,0B / 0B,175
20250617_135802,bd3eccc510a1,spark-worker-2,4.03%,1.517GiB / 10GiB,15.17%,1.28GB / 1.26GB,0B / 0B,176
20250617_135802,72ea5f833e39,spark-worker-1,4.09%,1.562GiB / 10GiB,15.62%,1.09GB / 1.26GB,0B / 0B,176
20250617_135802,d9db3658c991,spark-worker-4,9.52%,1.789GiB / 10GiB,17.89%,1.05GB / 1.28GB,0B / 0B,175
20250617_135802,ec39dfa29337,spark-worker-5,4.88%,1.716GiB / 10GiB,17.16%,1.44GB / 1.23GB,0B / 0B,176
20250617_135802,82e8dc373feb,spark-master,13.94%,1.305GiB / 4GiB,32.62%,218MB / 545MB,0B / 0B,337
20250617_135809,8896faf2c28a,spark-worker-3,5.61%,1.77GiB / 10GiB,17.70%,1.65GB / 1.18GB,0B / 0B,176
20250617_135809,bd3eccc510a1,spark-worker-2,9.91%,1.517GiB / 10GiB,15.17%,1.28GB / 1.26GB,0B / 0B,176
20250617_135809,72ea5f833e39,spark-worker-1,8.61%,1.562GiB / 10GiB,15.62%,1.1GB / 1.26GB,0B / 0B,175
20250617_135809,d9db3658c991,spark-worker-4,20.88%,1.789GiB / 10GiB,17.89%,1.05GB / 1.28GB,0B / 0B,176
20250617_135809,ec39dfa29337,spark-worker-5,4.33%,1.715GiB / 10GiB,17.15%,1.44GB / 1.23GB,0B / 0B,176
20250617_135809,82e8dc373feb,spark-master,8.01%,1.314GiB / 4GiB,32.85%,219MB / 549MB,0B / 0B,337
20250617_135817,8896faf2c28a,spark-worker-3,49.40%,1.77GiB / 10GiB,17.70%,1.66GB / 1.19GB,0B / 0B,176
20250617_135817,bd3eccc510a1,spark-worker-2,8.43%,1.517GiB / 10GiB,15.17%,1.28GB / 1.26GB,0B / 0B,176
20250617_135817,72ea5f833e39,spark-worker-1,54.06%,1.563GiB / 10GiB,15.63%,1.11GB / 1.27GB,0B / 0B,176
20250617_135817,d9db3658c991,spark-worker-4,45.63%,1.79GiB / 10GiB,17.90%,1.06GB / 1.29GB,0B / 0B,176
20250617_135817,ec39dfa29337,spark-worker-5,46.30%,1.716GiB / 10GiB,17.16%,1.45GB / 1.24GB,0B / 0B,177
20250617_135817,82e8dc373feb,spark-master,5.95%,1.329GiB / 4GiB,33.22%,220MB / 552MB,0B / 0B,339
20250617_135825,8896faf2c28a,spark-worker-3,10.67%,1.77GiB / 10GiB,17.70%,1.66GB / 1.19GB,0B / 0B,176
20250617_135825,bd3eccc510a1,spark-worker-2,23.59%,1.518GiB / 10GiB,15.18%,1.3GB / 1.27GB,0B / 0B,175
20250617_135825,72ea5f833e39,spark-worker-1,7.04%,1.562GiB / 10GiB,15.62%,1.11GB / 1.27GB,0B / 0B,173
20250617_135825,d9db3658c991,spark-worker-4,10.62%,1.789GiB / 10GiB,17.89%,1.06GB / 1.29GB,0B / 0B,173
20250617_135825,ec39dfa29337,spark-worker-5,6.39%,1.716GiB / 10GiB,17.16%,1.46GB / 1.24GB,0B / 0B,174
20250617_135825,82e8dc373feb,spark-master,6.87%,1.332GiB / 4GiB,33.29%,221MB / 556MB,0B / 0B,337
20250617_135832,8896faf2c28a,spark-worker-3,3.81%,1.77GiB / 10GiB,17.70%,1.66GB / 1.19GB,0B / 0B,175
20250617_135832,bd3eccc510a1,spark-worker-2,3.76%,1.518GiB / 10GiB,15.18%,1.3GB / 1.27GB,0B / 0B,176
20250617_135832,72ea5f833e39,spark-worker-1,10.40%,1.563GiB / 10GiB,15.63%,1.11GB / 1.27GB,0B / 0B,176
20250617_135832,d9db3658c991,spark-worker-4,3.76%,1.79GiB / 10GiB,17.90%,1.06GB / 1.29GB,0B / 0B,176
