timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_083703,8896faf2c28a,spark-worker-3,0.14%,534.6MiB / 10GiB,5.22%,3.14GB / 7.48GB,0B / 0B,72
20250618_083703,bd3eccc510a1,spark-worker-2,20.12%,624.2MiB / 10GiB,6.10%,5.28GB / 7.58GB,0B / 0B,72
20250618_083703,72ea5f833e39,spark-worker-1,0.19%,545.1MiB / 10GiB,5.32%,9.8GB / 6.73GB,0B / 0B,72
20250618_083703,d9db3658c991,spark-worker-4,0.15%,602.6MiB / 10GiB,5.88%,8.6GB / 6.95GB,0B / 0B,72
20250618_083703,ec39dfa29337,spark-worker-5,128.78%,615.8MiB / 10GiB,6.01%,9.11GB / 6.96GB,0B / 0B,76
20250618_083703,82e8dc373feb,spark-master,31.01%,731.7MiB / 4GiB,17.86%,155MB / 385MB,0B / 0B,106
20250618_083710,8896faf2c28a,spark-worker-3,170.75%,688.3MiB / 10GiB,6.72%,3.14GB / 7.48GB,0B / 0B,80
20250618_083710,bd3eccc510a1,spark-worker-2,159.40%,693.8MiB / 10GiB,6.78%,5.28GB / 7.58GB,0B / 0B,80
20250618_083710,72ea5f833e39,spark-worker-1,176.99%,662MiB / 10GiB,6.46%,9.8GB / 6.73GB,0B / 0B,79
20250618_083710,d9db3658c991,spark-worker-4,154.39%,720.4MiB / 10GiB,7.04%,8.6GB / 6.95GB,0B / 0B,79
20250618_083710,ec39dfa29337,spark-worker-5,163.78%,788.8MiB / 10GiB,7.70%,9.11GB / 6.96GB,0B / 0B,81
20250618_083710,82e8dc373feb,spark-master,134.80%,809MiB / 4GiB,19.75%,155MB / 386MB,0B / 0B,126
20250618_083718,8896faf2c28a,spark-worker-3,189.51%,859.5MiB / 10GiB,8.39%,3.14GB / 7.48GB,0B / 0B,105
20250618_083718,bd3eccc510a1,spark-worker-2,172.48%,945.4MiB / 10GiB,9.23%,5.28GB / 7.58GB,0B / 0B,105
20250618_083718,72ea5f833e39,spark-worker-1,190.04%,927.9MiB / 10GiB,9.06%,9.8GB / 6.73GB,0B / 0B,106
20250618_083718,d9db3658c991,spark-worker-4,174.00%,926.1MiB / 10GiB,9.04%,8.6GB / 6.95GB,0B / 0B,106
20250618_083718,ec39dfa29337,spark-worker-5,177.83%,999.4MiB / 10GiB,9.76%,9.11GB / 6.96GB,0B / 0B,106
20250618_083718,82e8dc373feb,spark-master,70.53%,836.1MiB / 4GiB,20.41%,157MB / 389MB,0B / 0B,240
20250618_083725,8896faf2c28a,spark-worker-3,160.94%,1002MiB / 10GiB,9.78%,3.14GB / 7.48GB,0B / 0B,152
20250618_083725,bd3eccc510a1,spark-worker-2,178.87%,1.123GiB / 10GiB,11.23%,5.28GB / 7.58GB,0B / 0B,152
20250618_083725,72ea5f833e39,spark-worker-1,187.10%,1.108GiB / 10GiB,11.08%,9.8GB / 6.73GB,0B / 0B,151
20250618_083725,d9db3658c991,spark-worker-4,202.21%,1.212GiB / 10GiB,12.12%,8.6GB / 6.95GB,0B / 0B,151
20250618_083725,ec39dfa29337,spark-worker-5,182.61%,1.147GiB / 10GiB,11.47%,9.11GB / 6.96GB,0B / 0B,151
20250618_083725,82e8dc373feb,spark-master,23.20%,860MiB / 4GiB,21.00%,158MB / 392MB,0B / 0B,289
