timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_145242,8896faf2c28a,spark-worker-3,46.92%,2.653GiB / 10GiB,26.53%,6.27GB / 5.49GB,0B / 0B,176
20250617_145242,bd3eccc510a1,spark-worker-2,98.72%,2.951GiB / 10GiB,29.51%,4.75GB / 5.81GB,0B / 0B,176
20250617_145242,72ea5f833e39,spark-worker-1,46.78%,2.367GiB / 10GiB,23.67%,4.54GB / 5.66GB,0B / 0B,176
20250617_145242,d9db3658c991,spark-worker-4,40.67%,2.6GiB / 10GiB,26.00%,6.3GB / 5.58GB,0B / 0B,176
20250617_145242,ec39dfa29337,spark-worker-5,42.43%,2.417GiB / 10GiB,24.17%,7.42GB / 5.29GB,0B / 0B,177
20250617_145242,82e8dc373feb,spark-master,87.82%,997.3MiB / 4GiB,24.35%,913MB / 2.39GB,0B / 0B,343
20250617_145249,8896faf2c28a,spark-worker-3,159.77%,2.654GiB / 10GiB,26.54%,6.27GB / 5.49GB,0B / 0B,175
20250617_145249,bd3eccc510a1,spark-worker-2,64.79%,2.941GiB / 10GiB,29.41%,4.75GB / 5.81GB,0B / 0B,176
20250617_145249,72ea5f833e39,spark-worker-1,160.51%,2.376GiB / 10GiB,23.76%,4.54GB / 5.66GB,0B / 0B,176
20250617_145249,d9db3658c991,spark-worker-4,151.42%,2.601GiB / 10GiB,26.01%,6.3GB / 5.58GB,0B / 0B,176
20250617_145249,ec39dfa29337,spark-worker-5,157.52%,2.42GiB / 10GiB,24.20%,7.42GB / 5.29GB,0B / 0B,176
20250617_145249,82e8dc373feb,spark-master,3.23%,1000MiB / 4GiB,24.43%,915MB / 2.39GB,0B / 0B,343
20250617_145257,8896faf2c28a,spark-worker-3,154.23%,2.696GiB / 10GiB,26.96%,6.35GB / 5.52GB,0B / 0B,170
20250617_145257,bd3eccc510a1,spark-worker-2,0.38%,2.944GiB / 10GiB,29.44%,4.75GB / 5.87GB,0B / 0B,173
