timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_145650,8896faf2c28a,spark-worker-3,33.56%,2.683GiB / 10GiB,26.83%,8.56GB / 7.04GB,0B / 0B,176
20250617_145650,bd3eccc510a1,spark-worker-2,0.26%,2.954GiB / 10GiB,29.54%,5.39GB / 7.62GB,0B / 0B,173
20250617_145650,72ea5f833e39,spark-worker-1,12.60%,2.655GiB / 10GiB,26.55%,5.31GB / 7.43GB,0B / 0B,171
20250617_145650,d9db3658c991,spark-worker-4,28.19%,2.611GiB / 10GiB,26.11%,8.44GB / 7.12GB,0B / 0B,177
20250617_145650,ec39dfa29337,spark-worker-5,34.03%,2.439GiB / 10GiB,24.39%,9.81GB / 6.78GB,0B / 0B,177
20250617_145650,82e8dc373feb,spark-master,11.84%,1.014GiB / 4GiB,25.36%,948MB / 2.47GB,0B / 0B,336
20250617_145657,8896faf2c28a,spark-worker-3,68.60%,2.676GiB / 10GiB,26.76%,8.56GB / 7.05GB,0B / 0B,176
20250617_145657,bd3eccc510a1,spark-worker-2,62.78%,2.952GiB / 10GiB,29.52%,5.39GB / 7.62GB,0B / 0B,176
20250617_145657,72ea5f833e39,spark-worker-1,63.58%,2.652GiB / 10GiB,26.52%,5.31GB / 7.43GB,0B / 0B,176
20250617_145657,d9db3658c991,spark-worker-4,64.46%,2.612GiB / 10GiB,26.12%,8.45GB / 7.12GB,0B / 0B,177
20250617_145657,ec39dfa29337,spark-worker-5,57.30%,2.44GiB / 10GiB,24.40%,9.81GB / 6.78GB,0B / 0B,177
20250617_145657,82e8dc373feb,spark-master,7.94%,1.028GiB / 4GiB,25.69%,950MB / 2.48GB,0B / 0B,343
20250617_145704,8896faf2c28a,spark-worker-3,198.36%,2.699GiB / 10GiB,26.99%,8.61GB / 7.08GB,0B / 0B,175
20250617_145704,bd3eccc510a1,spark-worker-2,198.38%,2.986GiB / 10GiB,29.86%,5.44GB / 7.66GB,0B / 0B,173
20250617_145704,72ea5f833e39,spark-worker-1,197.54%,2.675GiB / 10GiB,26.75%,5.36GB / 7.47GB,0B / 0B,176
20250617_145704,d9db3658c991,spark-worker-4,0.23%,2.615GiB / 10GiB,26.15%,8.45GB / 7.17GB,0B / 0B,175
20250617_145704,ec39dfa29337,spark-worker-5,200.78%,2.473GiB / 10GiB,24.73%,9.86GB / 6.82GB,0B / 0B,174
20250617_145704,82e8dc373feb,spark-master,0.43%,1.029GiB / 4GiB,25.74%,951MB / 2.48GB,0B / 0B,342
20250617_145712,8896faf2c28a,spark-worker-3,38.62%,2.683GiB / 10GiB,26.83%,8.61GB / 7.1GB,0B / 0B,176
20250617_145712,bd3eccc510a1,spark-worker-2,58.43%,2.953GiB / 10GiB,29.53%,5.44GB / 7.68GB,0B / 0B,175
20250617_145712,72ea5f833e39,spark-worker-1,76.93%,2.677GiB / 10GiB,26.77%,5.37GB / 7.48GB,0B / 0B,175
20250617_145712,d9db3658c991,spark-worker-4,24.79%,2.616GiB / 10GiB,26.16%,8.45GB / 7.18GB,0B / 0B,176
20250617_145712,ec39dfa29337,spark-worker-5,24.37%,2.548GiB / 10GiB,25.48%,9.91GB / 6.82GB,0B / 0B,176
20250617_145712,82e8dc373feb,spark-master,49.26%,1.026GiB / 4GiB,25.64%,953MB / 2.48GB,0B / 0B,343
20250617_145720,8896faf2c28a,spark-worker-3,137.35%,2.684GiB / 10GiB,26.84%,8.61GB / 7.1GB,0B / 0B,173
20250617_145720,bd3eccc510a1,spark-worker-2,185.77%,2.955GiB / 10GiB,29.55%,5.44GB / 7.68GB,0B / 0B,170
20250617_145720,72ea5f833e39,spark-worker-1,176.33%,2.677GiB / 10GiB,26.77%,5.37GB / 7.48GB,0B / 0B,174
20250617_145720,d9db3658c991,spark-worker-4,164.64%,2.617GiB / 10GiB,26.17%,8.45GB / 7.18GB,0B / 0B,172
20250617_145720,ec39dfa29337,spark-worker-5,170.04%,2.566GiB / 10GiB,25.66%,9.91GB / 6.82GB,0B / 0B,172
20250617_145720,82e8dc373feb,spark-master,1.57%,1.026GiB / 4GiB,25.66%,953MB / 2.49GB,0B / 0B,340
20250617_145728,8896faf2c28a,spark-worker-3,199.44%,2.687GiB / 10GiB,26.87%,8.71GB / 7.19GB,0B / 0B,159
20250617_145728,bd3eccc510a1,spark-worker-2,196.36%,3.04GiB / 10GiB,30.40%,5.54GB / 7.77GB,0B / 0B,165
20250617_145728,72ea5f833e39,spark-worker-1,200.11%,2.701GiB / 10GiB,27.01%,5.46GB / 7.57GB,0B / 0B,163
20250617_145728,d9db3658c991,spark-worker-4,196.21%,2.691GiB / 10GiB,26.91%,8.54GB / 7.28GB,0B / 0B,166
20250617_145728,ec39dfa29337,spark-worker-5,199.20%,2.685GiB / 10GiB,26.85%,10GB / 6.92GB,0B / 0B,170
20250617_145728,82e8dc373feb,spark-master,4.41%,1.025GiB / 4GiB,25.63%,954MB / 2.49GB,0B / 0B,329
20250617_145734,8896faf2c28a,spark-worker-3,167.31%,2.688GiB / 10GiB,26.88%,8.76GB / 7.22GB,0B / 0B,164
20250617_145734,bd3eccc510a1,spark-worker-2,138.56%,2.959GiB / 10GiB,29.59%,5.54GB / 7.81GB,0B / 0B,167
20250617_145734,72ea5f833e39,spark-worker-1,174.00%,2.659GiB / 10GiB,26.59%,5.51GB / 7.6GB,0B / 0B,167
20250617_145734,d9db3658c991,spark-worker-4,184.88%,2.618GiB / 10GiB,26.18%,8.54GB / 7.32GB,0B / 0B,167
20250617_145734,ec39dfa29337,spark-worker-5,170.44%,2.751GiB / 10GiB,27.51%,10.1GB / 6.94GB,0B / 0B,172
20250617_145734,82e8dc373feb,spark-master,0.94%,1.026GiB / 4GiB,25.64%,954MB / 2.49GB,0B / 0B,330
20250617_145742,8896faf2c28a,spark-worker-3,82.44%,2.687GiB / 10GiB,26.87%,8.76GB / 7.22GB,0B / 0B,153
20250617_145742,bd3eccc510a1,spark-worker-2,8.45%,2.958GiB / 10GiB,29.58%,5.54GB / 7.81GB,0B / 0B,154
20250617_145742,72ea5f833e39,spark-worker-1,8.67%,2.658GiB / 10GiB,26.58%,5.51GB / 7.6GB,0B / 0B,153
20250617_145742,d9db3658c991,spark-worker-4,8.48%,2.617GiB / 10GiB,26.17%,8.55GB / 7.32GB,0B / 0B,155
20250617_145742,ec39dfa29337,spark-worker-5,8.46%,2.75GiB / 10GiB,27.50%,10.1GB / 6.94GB,0B / 0B,159
20250617_145742,82e8dc373feb,spark-master,0.74%,1.025GiB / 4GiB,25.62%,955MB / 2.49GB,0B / 0B,319
20250617_145750,8896faf2c28a,spark-worker-3,56.17%,2.687GiB / 10GiB,26.87%,8.76GB / 7.22GB,0B / 0B,149
20250617_145750,bd3eccc510a1,spark-worker-2,8.84%,2.956GiB / 10GiB,29.56%,5.54GB / 7.81GB,0B / 0B,133
20250617_145750,72ea5f833e39,spark-worker-1,8.81%,2.655GiB / 10GiB,26.55%,5.51GB / 7.6GB,0B / 0B,128
20250617_145750,d9db3658c991,spark-worker-4,8.89%,2.615GiB / 10GiB,26.15%,8.55GB / 7.32GB,0B / 0B,131
20250617_145750,ec39dfa29337,spark-worker-5,8.77%,2.748GiB / 10GiB,27.48%,10.1GB / 6.94GB,0B / 0B,137
