timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_152251,8896faf2c28a,spark-worker-3,102.33%,2.647GiB / 10GiB,26.47%,18.7GB / 15.2GB,0B / 0B,176
20250617_152251,bd3eccc510a1,spark-worker-2,98.88%,2.585GiB / 10GiB,25.85%,16.4GB / 16GB,0B / 0B,175
20250617_152251,72ea5f833e39,spark-worker-1,36.71%,2.708GiB / 10GiB,27.08%,16GB / 15.7GB,0B / 0B,176
20250617_152251,d9db3658c991,spark-worker-4,108.71%,2.554GiB / 10GiB,25.54%,15.1GB / 16.2GB,0B / 0B,172
20250617_152251,ec39dfa29337,spark-worker-5,119.69%,2.541GiB / 10GiB,25.41%,14.9GB / 16.1GB,0B / 0B,172
20250617_152251,82e8dc373feb,spark-master,15.26%,1.092GiB / 4GiB,27.29%,1.14GB / 2.95GB,0B / 0B,338
20250617_152259,8896faf2c28a,spark-worker-3,163.84%,2.648GiB / 10GiB,26.48%,18.7GB / 15.2GB,0B / 0B,176
20250617_152259,bd3eccc510a1,spark-worker-2,159.29%,2.586GiB / 10GiB,25.86%,16.4GB / 16GB,0B / 0B,176
20250617_152259,72ea5f833e39,spark-worker-1,166.59%,2.711GiB / 10GiB,27.11%,16GB / 15.7GB,0B / 0B,176
20250617_152259,d9db3658c991,spark-worker-4,172.73%,2.556GiB / 10GiB,25.56%,15.1GB / 16.2GB,0B / 0B,176
20250617_152259,ec39dfa29337,spark-worker-5,170.91%,2.543GiB / 10GiB,25.43%,14.9GB / 16.1GB,0B / 0B,177
20250617_152259,82e8dc373feb,spark-master,3.16%,1.092GiB / 4GiB,27.31%,1.14GB / 2.95GB,0B / 0B,344
20250617_152306,8896faf2c28a,spark-worker-3,198.57%,2.709GiB / 10GiB,27.09%,18.7GB / 15.3GB,0B / 0B,172
20250617_152306,bd3eccc510a1,spark-worker-2,195.48%,2.632GiB / 10GiB,26.32%,16.4GB / 16GB,0B / 0B,172
20250617_152306,72ea5f833e39,spark-worker-1,194.91%,2.76GiB / 10GiB,27.60%,16GB / 15.7GB,0B / 0B,174
20250617_152306,d9db3658c991,spark-worker-4,194.47%,2.582GiB / 10GiB,25.82%,15.2GB / 16.3GB,0B / 0B,177
20250617_152306,ec39dfa29337,spark-worker-5,197.06%,2.601GiB / 10GiB,26.01%,15GB / 16.2GB,0B / 0B,175
20250617_152306,82e8dc373feb,spark-master,0.48%,1.092GiB / 4GiB,27.30%,1.14GB / 2.95GB,0B / 0B,342
20250617_152313,8896faf2c28a,spark-worker-3,54.47%,2.909GiB / 10GiB,29.09%,18.7GB / 15.3GB,0B / 0B,173
20250617_152313,bd3eccc510a1,spark-worker-2,47.49%,2.59GiB / 10GiB,25.90%,16.4GB / 16GB,0B / 0B,174
20250617_152313,72ea5f833e39,spark-worker-1,54.78%,2.761GiB / 10GiB,27.61%,16GB / 15.7GB,0B / 0B,176
20250617_152313,d9db3658c991,spark-worker-4,56.92%,2.548GiB / 10GiB,25.48%,15.2GB / 16.3GB,0B / 0B,175
20250617_152313,ec39dfa29337,spark-worker-5,96.63%,2.587GiB / 10GiB,25.87%,15GB / 16.2GB,0B / 0B,176
20250617_152313,82e8dc373feb,spark-master,26.79%,1.092GiB / 4GiB,27.30%,1.14GB / 2.96GB,0B / 0B,342
20250617_152321,8896faf2c28a,spark-worker-3,162.19%,2.91GiB / 10GiB,29.10%,18.7GB / 15.3GB,0B / 0B,172
20250617_152321,bd3eccc510a1,spark-worker-2,161.07%,2.59GiB / 10GiB,25.90%,16.4GB / 16GB,0B / 0B,171
20250617_152321,72ea5f833e39,spark-worker-1,33.07%,2.761GiB / 10GiB,27.61%,16GB / 15.7GB,0B / 0B,175
20250617_152321,d9db3658c991,spark-worker-4,180.10%,2.551GiB / 10GiB,25.51%,15.2GB / 16.3GB,0B / 0B,174
20250617_152321,ec39dfa29337,spark-worker-5,177.19%,2.588GiB / 10GiB,25.88%,15GB / 16.2GB,0B / 0B,177
20250617_152321,82e8dc373feb,spark-master,3.55%,1.092GiB / 4GiB,27.30%,1.14GB / 2.96GB,0B / 0B,339
20250617_152329,8896faf2c28a,spark-worker-3,143.80%,2.913GiB / 10GiB,29.13%,18.7GB / 15.3GB,0B / 0B,159
20250617_152329,bd3eccc510a1,spark-worker-2,140.60%,2.594GiB / 10GiB,25.94%,16.4GB / 16GB,0B / 0B,156
20250617_152329,72ea5f833e39,spark-worker-1,150.73%,2.767GiB / 10GiB,27.67%,16GB / 15.7GB,0B / 0B,169
20250617_152329,d9db3658c991,spark-worker-4,161.51%,2.553GiB / 10GiB,25.53%,15.2GB / 16.3GB,0B / 0B,158
20250617_152329,ec39dfa29337,spark-worker-5,148.35%,2.59GiB / 10GiB,25.90%,15GB / 16.2GB,0B / 0B,160
20250617_152329,82e8dc373feb,spark-master,2.31%,1.091GiB / 4GiB,27.28%,1.14GB / 2.96GB,0B / 0B,328
20250617_152336,8896faf2c28a,spark-worker-3,196.68%,2.992GiB / 10GiB,29.92%,19GB / 15.5GB,0B / 0B,173
20250617_152336,bd3eccc510a1,spark-worker-2,197.72%,2.661GiB / 10GiB,26.61%,16.7GB / 16.2GB,0B / 0B,172
20250617_152336,72ea5f833e39,spark-worker-1,196.84%,2.79GiB / 10GiB,27.90%,16.3GB / 15.9GB,0B / 0B,175
20250617_152336,d9db3658c991,spark-worker-4,0.44%,2.556GiB / 10GiB,25.56%,15.2GB / 16.5GB,0B / 0B,172
20250617_152336,ec39dfa29337,spark-worker-5,26.13%,2.543GiB / 10GiB,25.43%,15GB / 16.4GB,0B / 0B,172
20250617_152336,82e8dc373feb,spark-master,0.66%,1.091GiB / 4GiB,27.28%,1.14GB / 2.96GB,0B / 0B,341
20250617_152343,8896faf2c28a,spark-worker-3,7.58%,2.991GiB / 10GiB,29.91%,19GB / 15.5GB,0B / 0B,170
20250617_152343,bd3eccc510a1,spark-worker-2,80.95%,2.594GiB / 10GiB,25.94%,16.7GB / 16.2GB,0B / 0B,169
20250617_152343,72ea5f833e39,spark-worker-1,7.79%,2.739GiB / 10GiB,27.39%,16.3GB / 15.9GB,0B / 0B,169
20250617_152343,d9db3658c991,spark-worker-4,7.47%,2.555GiB / 10GiB,25.55%,15.2GB / 16.5GB,0B / 0B,168
20250617_152343,ec39dfa29337,spark-worker-5,13.19%,2.543GiB / 10GiB,25.43%,15GB / 16.4GB,0B / 0B,169
20250617_152343,82e8dc373feb,spark-master,2.82%,1.09GiB / 4GiB,27.26%,1.14GB / 2.96GB,0B / 0B,333
