timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_152706,8896faf2c28a,spark-worker-3,89.36%,2.92GiB / 10GiB,29.20%,22.1GB / 16.8GB,0B / 0B,176
20250617_152706,bd3eccc510a1,spark-worker-2,91.31%,2.593GiB / 10GiB,25.93%,19.8GB / 17.6GB,0B / 0B,176
20250617_152706,72ea5f833e39,spark-worker-1,89.44%,2.705GiB / 10GiB,27.05%,17.6GB / 17.7GB,0B / 0B,176
20250617_152706,d9db3658c991,spark-worker-4,91.27%,2.559GiB / 10GiB,25.59%,15.6GB / 18.4GB,0B / 0B,176
20250617_152706,ec39dfa29337,spark-worker-5,92.64%,2.555GiB / 10GiB,25.55%,15.5GB / 18.3GB,0B / 0B,177
20250617_152706,82e8dc373feb,spark-master,20.28%,1.18GiB / 4GiB,29.49%,1.18GB / 3.04GB,0B / 0B,344
20250617_152713,8896faf2c28a,spark-worker-3,59.51%,2.919GiB / 10GiB,29.19%,22.1GB / 16.8GB,0B / 0B,176
20250617_152713,bd3eccc510a1,spark-worker-2,51.61%,2.596GiB / 10GiB,25.96%,19.9GB / 17.6GB,0B / 0B,176
20250617_152713,72ea5f833e39,spark-worker-1,42.95%,2.709GiB / 10GiB,27.09%,17.6GB / 17.7GB,0B / 0B,176
20250617_152713,d9db3658c991,spark-worker-4,39.22%,2.559GiB / 10GiB,25.59%,15.6GB / 18.4GB,0B / 0B,176
20250617_152713,ec39dfa29337,spark-worker-5,56.44%,2.555GiB / 10GiB,25.55%,15.5GB / 18.3GB,0B / 0B,177
20250617_152713,82e8dc373feb,spark-master,24.83%,1.188GiB / 4GiB,29.69%,1.18GB / 3.04GB,0B / 0B,344
20250617_152721,8896faf2c28a,spark-worker-3,7.67%,2.937GiB / 10GiB,29.37%,22.2GB / 16.9GB,0B / 0B,176
20250617_152721,bd3eccc510a1,spark-worker-2,7.65%,2.591GiB / 10GiB,25.91%,20GB / 17.6GB,0B / 0B,176
20250617_152721,72ea5f833e39,spark-worker-1,7.34%,2.71GiB / 10GiB,27.10%,17.6GB / 17.7GB,0B / 0B,176
20250617_152721,d9db3658c991,spark-worker-4,7.48%,2.561GiB / 10GiB,25.61%,15.6GB / 18.5GB,0B / 0B,176
20250617_152721,ec39dfa29337,spark-worker-5,7.53%,2.557GiB / 10GiB,25.57%,15.5GB / 18.4GB,0B / 0B,177
20250617_152721,82e8dc373feb,spark-master,0.47%,1.189GiB / 4GiB,29.72%,1.18GB / 3.05GB,0B / 0B,344
20250617_152729,8896faf2c28a,spark-worker-3,23.74%,2.937GiB / 10GiB,29.37%,22.2GB / 16.9GB,0B / 0B,173
20250617_152729,bd3eccc510a1,spark-worker-2,12.82%,2.591GiB / 10GiB,25.91%,20GB / 17.6GB,0B / 0B,172
20250617_152729,72ea5f833e39,spark-worker-1,10.98%,2.71GiB / 10GiB,27.10%,17.6GB / 17.7GB,0B / 0B,174
20250617_152729,d9db3658c991,spark-worker-4,10.18%,2.56GiB / 10GiB,25.60%,15.6GB / 18.5GB,0B / 0B,174
20250617_152729,ec39dfa29337,spark-worker-5,14.45%,2.557GiB / 10GiB,25.57%,15.5GB / 18.4GB,0B / 0B,175
20250617_152729,82e8dc373feb,spark-master,0.48%,1.189GiB / 4GiB,29.71%,1.18GB / 3.05GB,0B / 0B,342
20250617_152736,8896faf2c28a,spark-worker-3,8.36%,2.942GiB / 10GiB,29.42%,22.2GB / 16.9GB,0B / 0B,167
20250617_152736,bd3eccc510a1,spark-worker-2,8.09%,2.595GiB / 10GiB,25.95%,20GB / 17.6GB,0B / 0B,164
20250617_152736,72ea5f833e39,spark-worker-1,8.16%,2.715GiB / 10GiB,27.15%,17.6GB / 17.7GB,0B / 0B,168
20250617_152736,d9db3658c991,spark-worker-4,7.73%,2.565GiB / 10GiB,25.65%,15.6GB / 18.5GB,0B / 0B,167
20250617_152736,ec39dfa29337,spark-worker-5,8.19%,2.562GiB / 10GiB,25.62%,15.5GB / 18.4GB,0B / 0B,168
20250617_152736,82e8dc373feb,spark-master,0.35%,1.188GiB / 4GiB,29.71%,1.18GB / 3.05GB,0B / 0B,336
20250617_152743,8896faf2c28a,spark-worker-3,1.02%,2.936GiB / 10GiB,29.36%,22.3GB / 17GB,0B / 0B,162
20250617_152743,bd3eccc510a1,spark-worker-2,198.02%,2.642GiB / 10GiB,26.42%,20.4GB / 17.7GB,0B / 0B,157
20250617_152743,72ea5f833e39,spark-worker-1,2.10%,2.72GiB / 10GiB,27.20%,17.6GB / 17.8GB,0B / 0B,161
