timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_131731,8896faf2c28a,spark-worker-3,153.89%,361.6MiB / 10GiB,3.53%,4.14GB / 4.34GB,0B / 0B,58
20250618_131731,bd3eccc510a1,spark-worker-2,155.82%,358.8MiB / 10GiB,3.50%,4.27GB / 4.15GB,0B / 0B,58
20250618_131731,72ea5f833e39,spark-worker-1,144.02%,373.8MiB / 10GiB,3.65%,4.29GB / 4.35GB,0B / 0B,58
20250618_131731,d9db3658c991,spark-worker-4,160.95%,381.7MiB / 10GiB,3.73%,4.26GB / 4.26GB,0B / 0B,58
20250618_131731,ec39dfa29337,spark-worker-5,146.98%,391.9MiB / 10GiB,3.83%,4.29GB / 4.13GB,0B / 0B,58
20250618_131731,82e8dc373feb,spark-master,143.83%,548.9MiB / 4GiB,13.40%,33.4MB / 50.3MB,0B / 0B,105
20250618_131739,8896faf2c28a,spark-worker-3,25.25%,607.9MiB / 10GiB,5.94%,4.14GB / 4.34GB,0B / 0B,75
20250618_131739,bd3eccc510a1,spark-worker-2,26.23%,629.8MiB / 10GiB,6.15%,4.27GB / 4.15GB,0B / 0B,78
20250618_131739,72ea5f833e39,spark-worker-1,10.74%,615.2MiB / 10GiB,6.01%,4.29GB / 4.35GB,0B / 0B,75
20250618_131739,d9db3658c991,spark-worker-4,4.52%,624.2MiB / 10GiB,6.10%,4.26GB / 4.26GB,0B / 0B,75
20250618_131739,ec39dfa29337,spark-worker-5,3.63%,692.1MiB / 10GiB,6.76%,4.29GB / 4.13GB,0B / 0B,75
20250618_131739,82e8dc373feb,spark-master,10.67%,668.4MiB / 4GiB,16.32%,33.4MB / 50.4MB,0B / 0B,109
20250618_131747,8896faf2c28a,spark-worker-3,0.15%,695.5MiB / 10GiB,6.79%,4.14GB / 4.34GB,0B / 0B,84
20250618_131747,bd3eccc510a1,spark-worker-2,0.94%,630.8MiB / 10GiB,6.16%,4.27GB / 4.15GB,0B / 0B,84
20250618_131747,72ea5f833e39,spark-worker-1,0.17%,611.4MiB / 10GiB,5.97%,4.29GB / 4.35GB,0B / 0B,81
20250618_131747,d9db3658c991,spark-worker-4,8.15%,624.3MiB / 10GiB,6.10%,4.26GB / 4.26GB,0B / 0B,82
20250618_131747,ec39dfa29337,spark-worker-5,0.15%,679.7MiB / 10GiB,6.64%,4.29GB / 4.13GB,0B / 0B,81
20250618_131747,82e8dc373feb,spark-master,37.74%,734.2MiB / 4GiB,17.93%,33.5MB / 50.6MB,0B / 0B,158
20250618_131754,8896faf2c28a,spark-worker-3,6.00%,697.7MiB / 10GiB,6.81%,4.14GB / 4.34GB,0B / 0B,96
20250618_131754,bd3eccc510a1,spark-worker-2,1.85%,653.5MiB / 10GiB,6.38%,4.27GB / 4.15GB,0B / 0B,96
20250618_131754,72ea5f833e39,spark-worker-1,1.51%,618.8MiB / 10GiB,6.04%,4.29GB / 4.35GB,0B / 0B,93
20250618_131754,d9db3658c991,spark-worker-4,1.26%,693MiB / 10GiB,6.77%,4.26GB / 4.26GB,0B / 0B,96
20250618_131754,ec39dfa29337,spark-worker-5,0.14%,735.4MiB / 10GiB,7.18%,4.29GB / 4.13GB,0B / 0B,90
20250618_131754,82e8dc373feb,spark-master,18.22%,741.8MiB / 4GiB,18.11%,33.5MB / 50.7MB,0B / 0B,188
20250618_131802,8896faf2c28a,spark-worker-3,198.55%,784.7MiB / 10GiB,7.66%,4.14GB / 4.34GB,0B / 0B,107
20250618_131802,bd3eccc510a1,spark-worker-2,190.30%,750.4MiB / 10GiB,7.33%,4.27GB / 4.15GB,0B / 0B,107
20250618_131802,72ea5f833e39,spark-worker-1,169.98%,755.7MiB / 10GiB,7.38%,4.29GB / 4.35GB,0B / 0B,107
20250618_131802,d9db3658c991,spark-worker-4,180.48%,790.8MiB / 10GiB,7.72%,4.26GB / 4.26GB,0B / 0B,107
20250618_131802,ec39dfa29337,spark-worker-5,194.40%,850.5MiB / 10GiB,8.31%,4.29GB / 4.13GB,0B / 0B,108
