timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_130948,e6578bb8d7d9,spark-worker-1,0.13%,402.9MiB / 10GiB,3.93%,549MB / 772MB,0B / 0B,78
20250620_130948,603c6b1fb4e3,spark-worker-5,2.54%,502.1MiB / 10GiB,4.90%,564MB / 496MB,0B / 0B,75
20250620_130948,381d141cf156,spark-worker-4,2.70%,468.4MiB / 10GiB,4.57%,726MB / 432MB,0B / 0B,75
20250620_130948,a3f20584717a,spark-worker-2,0.14%,472.5MiB / 10GiB,4.61%,601MB / 438MB,0B / 0B,75
20250620_130948,cb949928432f,spark-worker-3,0.13%,468.6MiB / 10GiB,4.58%,445MB / 453MB,0B / 0B,75
20250620_130948,6315073af7b1,spark-master,166.21%,998MiB / 4GiB,24.37%,363MB / 661MB,0B / 0B,154
20250620_130956,e6578bb8d7d9,spark-worker-1,113.83%,525.3MiB / 10GiB,5.13%,549MB / 773MB,0B / 0B,94
20250620_130956,603c6b1fb4e3,spark-worker-5,164.03%,699.5MiB / 10GiB,6.83%,564MB / 496MB,0B / 0B,94
20250620_130956,381d141cf156,spark-worker-4,172.95%,649MiB / 10GiB,6.34%,726MB / 433MB,0B / 0B,93
20250620_130956,a3f20584717a,spark-worker-2,158.42%,690.1MiB / 10GiB,6.74%,602MB / 438MB,0B / 0B,93
20250620_130956,cb949928432f,spark-worker-3,150.64%,640.2MiB / 10GiB,6.25%,445MB / 453MB,0B / 0B,94
20250620_130956,6315073af7b1,spark-master,8.52%,1.049GiB / 4GiB,26.23%,363MB / 661MB,0B / 0B,219
20250620_131002,e6578bb8d7d9,spark-worker-1,196.92%,1.769GiB / 10GiB,17.69%,549MB / 773MB,0B / 0B,94
20250620_131002,603c6b1fb4e3,spark-worker-5,203.26%,1.529GiB / 10GiB,15.29%,564MB / 496MB,0B / 0B,94
20250620_131002,381d141cf156,spark-worker-4,196.51%,1.577GiB / 10GiB,15.77%,726MB / 433MB,0B / 0B,93
20250620_131002,a3f20584717a,spark-worker-2,197.08%,2.126GiB / 10GiB,21.26%,602MB / 438MB,0B / 0B,93
20250620_131002,cb949928432f,spark-worker-3,206.66%,1.68GiB / 10GiB,16.80%,445MB / 453MB,0B / 0B,94
20250620_131002,6315073af7b1,spark-master,1.31%,1.05GiB / 4GiB,26.24%,363MB / 661MB,0B / 0B,218
20250620_131010,e6578bb8d7d9,spark-worker-1,208.90%,3.695GiB / 10GiB,36.95%,549MB / 773MB,0B / 0B,94
20250620_131010,603c6b1fb4e3,spark-worker-5,201.08%,2.653GiB / 10GiB,26.53%,564MB / 496MB,0B / 0B,94
20250620_131010,381d141cf156,spark-worker-4,199.58%,2.843GiB / 10GiB,28.43%,726MB / 433MB,0B / 0B,93
20250620_131010,a3f20584717a,spark-worker-2,197.68%,3.071GiB / 10GiB,30.71%,602MB / 438MB,0B / 0B,93
20250620_131010,cb949928432f,spark-worker-3,195.40%,3.077GiB / 10GiB,30.77%,445MB / 453MB,0B / 0B,94
20250620_131010,6315073af7b1,spark-master,1.04%,1.05GiB / 4GiB,26.25%,363MB / 661MB,0B / 0B,218
20250620_131018,e6578bb8d7d9,spark-worker-1,195.11%,3.828GiB / 10GiB,38.28%,549MB / 773MB,0B / 0B,94
20250620_131018,603c6b1fb4e3,spark-worker-5,198.65%,3.933GiB / 10GiB,39.33%,564MB / 496MB,0B / 0B,94
20250620_131018,381d141cf156,spark-worker-4,199.54%,3.995GiB / 10GiB,39.95%,726MB / 433MB,0B / 0B,93
20250620_131018,a3f20584717a,spark-worker-2,202.10%,4.06GiB / 10GiB,40.60%,602MB / 438MB,0B / 0B,93
20250620_131018,cb949928432f,spark-worker-3,201.06%,3.902GiB / 10GiB,39.02%,445MB / 453MB,0B / 0B,94
20250620_131018,6315073af7b1,spark-master,1.61%,1.05GiB / 4GiB,26.25%,363MB / 661MB,0B / 0B,218
20250620_131026,e6578bb8d7d9,spark-worker-1,198.52%,4.542GiB / 10GiB,45.42%,549MB / 773MB,0B / 0B,94
20250620_131026,603c6b1fb4e3,spark-worker-5,198.86%,4.674GiB / 10GiB,46.74%,564MB / 496MB,0B / 0B,94
20250620_131026,381d141cf156,spark-worker-4,200.07%,4.749GiB / 10GiB,47.49%,726MB / 433MB,0B / 0B,93
20250620_131026,a3f20584717a,spark-worker-2,201.08%,4.904GiB / 10GiB,49.04%,602MB / 438MB,0B / 0B,93
20250620_131026,cb949928432f,spark-worker-3,195.46%,4.876GiB / 10GiB,48.76%,445MB / 453MB,0B / 0B,94
20250620_131026,6315073af7b1,spark-master,1.03%,1.055GiB / 4GiB,26.37%,363MB / 661MB,0B / 0B,218
20250620_131033,e6578bb8d7d9,spark-worker-1,199.89%,4.868GiB / 10GiB,48.68%,549MB / 773MB,0B / 0B,94
20250620_131033,603c6b1fb4e3,spark-worker-5,199.22%,5.457GiB / 10GiB,54.57%,564MB / 496MB,0B / 0B,94
20250620_131033,381d141cf156,spark-worker-4,194.93%,5.095GiB / 10GiB,50.95%,726MB / 433MB,0B / 0B,93
20250620_131033,a3f20584717a,spark-worker-2,198.31%,5.164GiB / 10GiB,51.64%,602MB / 438MB,0B / 0B,93
20250620_131033,cb949928432f,spark-worker-3,200.46%,5.404GiB / 10GiB,54.04%,445MB / 453MB,0B / 0B,94
20250620_131033,6315073af7b1,spark-master,0.58%,1.049GiB / 4GiB,26.23%,363MB / 661MB,0B / 0B,218
20250620_131040,e6578bb8d7d9,spark-worker-1,198.72%,4.868GiB / 10GiB,48.68%,549MB / 773MB,0B / 0B,94
20250620_131040,603c6b1fb4e3,spark-worker-5,196.05%,5.457GiB / 10GiB,54.57%,564MB / 496MB,0B / 0B,94
20250620_131040,381d141cf156,spark-worker-4,197.74%,5.095GiB / 10GiB,50.95%,726MB / 433MB,0B / 0B,93
20250620_131040,a3f20584717a,spark-worker-2,198.18%,5.164GiB / 10GiB,51.64%,602MB / 438MB,0B / 0B,93
20250620_131040,cb949928432f,spark-worker-3,197.15%,5.396GiB / 10GiB,53.96%,445MB / 453MB,0B / 0B,94
20250620_131040,6315073af7b1,spark-master,1.44%,1.049GiB / 4GiB,26.23%,363MB / 661MB,0B / 0B,217
20250620_131048,e6578bb8d7d9,spark-worker-1,197.46%,4.867GiB / 10GiB,48.67%,549MB / 773MB,0B / 0B,89
20250620_131048,603c6b1fb4e3,spark-worker-5,205.48%,5.457GiB / 10GiB,54.57%,564MB / 496MB,0B / 0B,89
20250620_131048,381d141cf156,spark-worker-4,199.74%,5.094GiB / 10GiB,50.94%,726MB / 433MB,0B / 0B,88
20250620_131048,a3f20584717a,spark-worker-2,193.41%,5.165GiB / 10GiB,51.65%,602MB / 438MB,0B / 0B,88
20250620_131048,cb949928432f,spark-worker-3,197.43%,5.395GiB / 10GiB,53.95%,445MB / 453MB,0B / 0B,89
20250620_131048,6315073af7b1,spark-master,0.75%,1.053GiB / 4GiB,26.33%,363MB / 661MB,0B / 0B,202
20250620_131056,e6578bb8d7d9,spark-worker-1,202.54%,5.026GiB / 10GiB,50.26%,549MB / 773MB,0B / 0B,77
20250620_131056,603c6b1fb4e3,spark-worker-5,173.97%,5.973GiB / 10GiB,59.73%,564MB / 496MB,0B / 0B,77
20250620_131056,381d141cf156,spark-worker-4,199.12%,5.093GiB / 10GiB,50.93%,726MB / 433MB,0B / 0B,76
20250620_131056,a3f20584717a,spark-worker-2,204.25%,5.167GiB / 10GiB,51.67%,602MB / 438MB,0B / 0B,76
20250620_131056,cb949928432f,spark-worker-3,202.22%,5.397GiB / 10GiB,53.97%,445MB / 453MB,0B / 0B,77
20250620_131056,6315073af7b1,spark-master,1.20%,1.047GiB / 4GiB,26.18%,363MB / 661MB,0B / 0B,141
