timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_123748,e6578bb8d7d9,spark-worker-1,0.09%,133.1MiB / 10GiB,1.30%,545MB / 621MB,0B / 0B,36
20250620_123748,603c6b1fb4e3,spark-worker-5,0.09%,133.5MiB / 10GiB,1.30%,560MB / 494MB,0B / 0B,36
20250620_123748,381d141cf156,spark-worker-4,0.08%,139.6MiB / 10GiB,1.36%,723MB / 431MB,0B / 0B,36
20250620_123748,a3f20584717a,spark-worker-2,0.11%,137.5MiB / 10GiB,1.34%,489MB / 435MB,0B / 0B,36
20250620_123748,cb949928432f,spark-worker-3,0.08%,141.6MiB / 10GiB,1.38%,401MB / 451MB,0B / 0B,36
20250620_123748,6315073af7b1,spark-master,0.14%,481.3MiB / 4GiB,11.75%,356MB / 647MB,0B / 0B,66
20250620_123756,e6578bb8d7d9,spark-worker-1,0.08%,133.1MiB / 10GiB,1.30%,545MB / 621MB,0B / 0B,36
20250620_123756,603c6b1fb4e3,spark-worker-5,0.06%,133.6MiB / 10GiB,1.30%,560MB / 494MB,0B / 0B,36
20250620_123756,381d141cf156,spark-worker-4,0.06%,139.6MiB / 10GiB,1.36%,723MB / 431MB,0B / 0B,36
20250620_123756,a3f20584717a,spark-worker-2,0.06%,137.5MiB / 10GiB,1.34%,489MB / 435MB,0B / 0B,36
20250620_123756,cb949928432f,spark-worker-3,0.06%,141.8MiB / 10GiB,1.38%,401MB / 451MB,0B / 0B,36
20250620_123756,6315073af7b1,spark-master,0.13%,481.3MiB / 4GiB,11.75%,356MB / 647MB,0B / 0B,66
20250620_123804,e6578bb8d7d9,spark-worker-1,0.07%,133.1MiB / 10GiB,1.30%,545MB / 621MB,0B / 0B,36
20250620_123804,603c6b1fb4e3,spark-worker-5,0.08%,133.6MiB / 10GiB,1.30%,560MB / 494MB,0B / 0B,36
20250620_123804,381d141cf156,spark-worker-4,0.08%,139.6MiB / 10GiB,1.36%,723MB / 431MB,0B / 0B,36
20250620_123804,a3f20584717a,spark-worker-2,0.07%,137.5MiB / 10GiB,1.34%,489MB / 435MB,0B / 0B,36
20250620_123804,cb949928432f,spark-worker-3,0.06%,141.8MiB / 10GiB,1.38%,401MB / 451MB,0B / 0B,36
20250620_123804,6315073af7b1,spark-master,0.15%,481.3MiB / 4GiB,11.75%,356MB / 647MB,0B / 0B,66
20250620_123811,e6578bb8d7d9,spark-worker-1,173.67%,268.4MiB / 10GiB,2.62%,545MB / 621MB,0B / 0B,58
20250620_123811,603c6b1fb4e3,spark-worker-5,178.46%,259.9MiB / 10GiB,2.54%,560MB / 494MB,0B / 0B,58
20250620_123811,381d141cf156,spark-worker-4,185.03%,272.2MiB / 10GiB,2.66%,723MB / 431MB,0B / 0B,58
20250620_123811,a3f20584717a,spark-worker-2,187.33%,283.5MiB / 10GiB,2.77%,489MB / 435MB,0B / 0B,58
20250620_123811,cb949928432f,spark-worker-3,185.81%,266MiB / 10GiB,2.60%,401MB / 451MB,0B / 0B,58
20250620_123811,6315073af7b1,spark-master,114.72%,820.4MiB / 4GiB,20.03%,356MB / 647MB,0B / 0B,134
