timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_110836,e6578bb8d7d9,spark-worker-1,0.13%,441.8MiB / 10GiB,4.31%,470MB / 575MB,0B / 0B,72
20250620_110836,603c6b1fb4e3,spark-worker-5,163.99%,524MiB / 10GiB,5.12%,506MB / 454MB,0B / 0B,75
20250620_110836,381d141cf156,spark-worker-4,0.11%,465.4MiB / 10GiB,4.54%,648MB / 387MB,0B / 0B,72
20250620_110836,a3f20584717a,spark-worker-2,0.12%,465.5MiB / 10GiB,4.55%,433MB / 378MB,0B / 0B,72
20250620_110836,cb949928432f,spark-worker-3,0.13%,445.8MiB / 10GiB,4.35%,328MB / 389MB,0B / 0B,72
20250620_110836,6315073af7b1,spark-master,16.77%,896.9MiB / 4GiB,21.90%,248MB / 454MB,0B / 0B,115
20250620_110844,e6578bb8d7d9,spark-worker-1,166.32%,805.3MiB / 10GiB,7.86%,470MB / 575MB,0B / 0B,77
20250620_110844,603c6b1fb4e3,spark-worker-5,150.31%,1.13GiB / 10GiB,11.30%,506MB / 454MB,0B / 0B,78
20250620_110844,381d141cf156,spark-worker-4,164.31%,865MiB / 10GiB,8.45%,648MB / 387MB,0B / 0B,77
20250620_110844,a3f20584717a,spark-worker-2,185.78%,677.1MiB / 10GiB,6.61%,434MB / 378MB,0B / 0B,76
20250620_110844,cb949928432f,spark-worker-3,175.59%,733.7MiB / 10GiB,7.16%,329MB / 389MB,0B / 0B,76
20250620_110844,6315073af7b1,spark-master,2.79%,903.5MiB / 4GiB,22.06%,248MB / 455MB,0B / 0B,116
20250620_110852,e6578bb8d7d9,spark-worker-1,149.89%,1.248GiB / 10GiB,12.48%,470MB / 575MB,0B / 0B,77
20250620_110852,603c6b1fb4e3,spark-worker-5,153.93%,1.139GiB / 10GiB,11.39%,506MB / 454MB,0B / 0B,78
20250620_110852,381d141cf156,spark-worker-4,156.56%,1.364GiB / 10GiB,13.64%,648MB / 387MB,0B / 0B,77
20250620_110852,a3f20584717a,spark-worker-2,183.60%,976.9MiB / 10GiB,9.54%,434MB / 378MB,0B / 0B,76
