timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250619_092518,51a9f1b7c4c2,spark-worker-4,0.06%,235.9MiB / 10GiB,2.30%,2.02GB / 2.06GB,0B / 0B,37
20250619_092518,a944cfc63a89,spark-worker-5,0.06%,271.9MiB / 10GiB,2.65%,2.21GB / 2.16GB,0B / 0B,37
20250619_092518,c5586aed1f99,spark-worker-1,0.06%,311.9MiB / 10GiB,3.05%,2.18GB / 2.11GB,0B / 0B,37
20250619_092518,e8d428256f65,spark-worker-2,0.09%,301.5MiB / 10GiB,2.94%,2.2GB / 2.19GB,0B / 0B,37
20250619_092518,fbcc1ff79ee1,spark-worker-3,0.07%,260.8MiB / 10GiB,2.55%,2.02GB / 2.1GB,0B / 0B,37
20250619_092518,2566b68295c7,spark-master,179.18%,522.5MiB / 4GiB,12.76%,26.7MB / 41.8MB,0B / 0B,58
20250619_092526,51a9f1b7c4c2,spark-worker-4,188.69%,376.3MiB / 10GiB,3.68%,2.02GB / 2.06GB,0B / 0B,58
20250619_092526,a944cfc63a89,spark-worker-5,183.98%,431.1MiB / 10GiB,4.21%,2.21GB / 2.16GB,0B / 0B,58
20250619_092526,c5586aed1f99,spark-worker-1,171.81%,454.5MiB / 10GiB,4.44%,2.18GB / 2.11GB,0B / 0B,58
20250619_092526,e8d428256f65,spark-worker-2,198.40%,465.5MiB / 10GiB,4.55%,2.2GB / 2.19GB,0B / 0B,58
20250619_092526,fbcc1ff79ee1,spark-worker-3,185.60%,418.6MiB / 10GiB,4.09%,2.02GB / 2.1GB,0B / 0B,58
20250619_092526,2566b68295c7,spark-master,103.99%,670.5MiB / 4GiB,16.37%,26.7MB / 41.8MB,0B / 0B,107
20250619_092534,51a9f1b7c4c2,spark-worker-4,0.18%,495.6MiB / 10GiB,4.84%,2.02GB / 2.06GB,0B / 0B,72
20250619_092534,a944cfc63a89,spark-worker-5,6.04%,594.6MiB / 10GiB,5.81%,2.21GB / 2.16GB,0B / 0B,75
20250619_092534,c5586aed1f99,spark-worker-1,4.41%,574.4MiB / 10GiB,5.61%,2.18GB / 2.11GB,0B / 0B,75
20250619_092534,e8d428256f65,spark-worker-2,4.46%,676.8MiB / 10GiB,6.61%,2.2GB / 2.19GB,0B / 0B,78
20250619_092534,fbcc1ff79ee1,spark-worker-3,22.35%,583.8MiB / 10GiB,5.70%,2.02GB / 2.1GB,0B / 0B,75
20250619_092534,2566b68295c7,spark-master,147.35%,784.1MiB / 4GiB,19.14%,26.8MB / 41.9MB,0B / 0B,126
20250619_092541,51a9f1b7c4c2,spark-worker-4,196.92%,618.5MiB / 10GiB,6.04%,2.02GB / 2.06GB,0B / 0B,81
20250619_092541,a944cfc63a89,spark-worker-5,194.96%,681.4MiB / 10GiB,6.65%,2.21GB / 2.16GB,0B / 0B,80
20250619_092541,c5586aed1f99,spark-worker-1,173.58%,675.3MiB / 10GiB,6.59%,2.18GB / 2.11GB,0B / 0B,80
20250619_092541,e8d428256f65,spark-worker-2,0.26%,764.1MiB / 10GiB,7.46%,2.2GB / 2.19GB,0B / 0B,81
20250619_092541,fbcc1ff79ee1,spark-worker-3,164.32%,746.6MiB / 10GiB,7.29%,2.02GB / 2.1GB,0B / 0B,80
20250619_092541,2566b68295c7,spark-master,6.44%,821MiB / 4GiB,20.04%,26.8MB / 42.2MB,0B / 0B,130
20250619_092548,51a9f1b7c4c2,spark-worker-4,162.61%,700.4MiB / 10GiB,6.84%,2.02GB / 2.06GB,0B / 0B,94
20250619_092548,a944cfc63a89,spark-worker-5,148.74%,781MiB / 10GiB,7.63%,2.21GB / 2.16GB,0B / 0B,93
20250619_092548,c5586aed1f99,spark-worker-1,168.46%,769.7MiB / 10GiB,7.52%,2.18GB / 2.11GB,0B / 0B,93
20250619_092548,e8d428256f65,spark-worker-2,174.23%,820.1MiB / 10GiB,8.01%,2.2GB / 2.19GB,0B / 0B,94
20250619_092548,fbcc1ff79ee1,spark-worker-3,153.21%,797.9MiB / 10GiB,7.79%,2.02GB / 2.1GB,0B / 0B,93
20250619_092548,2566b68295c7,spark-master,0.88%,889.9MiB / 4GiB,21.72%,26.9MB / 42.6MB,0B / 0B,190
20250619_092556,51a9f1b7c4c2,spark-worker-4,197.01%,1.499GiB / 10GiB,14.99%,2.02GB / 2.06GB,0B / 0B,94
20250619_092556,a944cfc63a89,spark-worker-5,197.13%,1.346GiB / 10GiB,13.46%,2.21GB / 2.16GB,0B / 0B,93
20250619_092556,c5586aed1f99,spark-worker-1,192.92%,1.199GiB / 10GiB,11.99%,2.18GB / 2.11GB,0B / 0B,93
20250619_092556,e8d428256f65,spark-worker-2,202.05%,1.005GiB / 10GiB,10.05%,2.2GB / 2.19GB,0B / 0B,94
20250619_092556,fbcc1ff79ee1,spark-worker-3,195.35%,1.313GiB / 10GiB,13.13%,2.02GB / 2.1GB,0B / 0B,93
20250619_092556,2566b68295c7,spark-master,2.23%,890.2MiB / 4GiB,21.73%,26.9MB / 42.6MB,0B / 0B,190
20250619_092604,51a9f1b7c4c2,spark-worker-4,196.22%,1.492GiB / 10GiB,14.92%,2.02GB / 2.06GB,0B / 0B,94
20250619_092604,a944cfc63a89,spark-worker-5,196.82%,1.519GiB / 10GiB,15.19%,2.21GB / 2.16GB,0B / 0B,93
20250619_092604,c5586aed1f99,spark-worker-1,194.88%,1.341GiB / 10GiB,13.41%,2.18GB / 2.11GB,0B / 0B,93
20250619_092604,e8d428256f65,spark-worker-2,194.26%,1.346GiB / 10GiB,13.46%,2.2GB / 2.19GB,0B / 0B,94
20250619_092604,fbcc1ff79ee1,spark-worker-3,200.29%,1.314GiB / 10GiB,13.14%,2.02GB / 2.1GB,0B / 0B,93
20250619_092604,2566b68295c7,spark-master,2.46%,890.5MiB / 4GiB,21.74%,27MB / 42.6MB,0B / 0B,190
20250619_092611,51a9f1b7c4c2,spark-worker-4,198.11%,1.505GiB / 10GiB,15.05%,2.02GB / 2.06GB,0B / 0B,94
20250619_092611,a944cfc63a89,spark-worker-5,168.29%,1.528GiB / 10GiB,15.28%,2.21GB / 2.16GB,0B / 0B,93
20250619_092611,c5586aed1f99,spark-worker-1,196.67%,1.509GiB / 10GiB,15.09%,2.18GB / 2.11GB,0B / 0B,93
20250619_092611,e8d428256f65,spark-worker-2,191.48%,1.655GiB / 10GiB,16.55%,2.2GB / 2.19GB,0B / 0B,94
20250619_092611,fbcc1ff79ee1,spark-worker-3,194.75%,1.483GiB / 10GiB,14.83%,2.02GB / 2.1GB,0B / 0B,93
20250619_092611,2566b68295c7,spark-master,0.92%,890.6MiB / 4GiB,21.74%,27MB / 42.6MB,0B / 0B,190
20250619_092618,51a9f1b7c4c2,spark-worker-4,194.59%,1.505GiB / 10GiB,15.05%,2.02GB / 2.06GB,0B / 0B,94
20250619_092618,a944cfc63a89,spark-worker-5,197.15%,1.522GiB / 10GiB,15.22%,2.21GB / 2.16GB,0B / 0B,93
20250619_092618,c5586aed1f99,spark-worker-1,196.79%,1.547GiB / 10GiB,15.47%,2.18GB / 2.11GB,0B / 0B,93
20250619_092618,e8d428256f65,spark-worker-2,197.25%,1.656GiB / 10GiB,16.56%,2.2GB / 2.19GB,0B / 0B,94
20250619_092618,fbcc1ff79ee1,spark-worker-3,196.80%,1.484GiB / 10GiB,14.84%,2.02GB / 2.1GB,0B / 0B,93
20250619_092618,2566b68295c7,spark-master,0.79%,890.9MiB / 4GiB,21.75%,27MB / 42.6MB,0B / 0B,190
20250619_092626,51a9f1b7c4c2,spark-worker-4,192.44%,1.509GiB / 10GiB,15.09%,2.02GB / 2.06GB,0B / 0B,94
20250619_092626,a944cfc63a89,spark-worker-5,198.66%,1.522GiB / 10GiB,15.22%,2.21GB / 2.16GB,0B / 0B,93
20250619_092626,c5586aed1f99,spark-worker-1,197.71%,1.547GiB / 10GiB,15.47%,2.18GB / 2.11GB,0B / 0B,93
20250619_092626,e8d428256f65,spark-worker-2,196.74%,1.656GiB / 10GiB,16.56%,2.2GB / 2.19GB,0B / 0B,94
20250619_092626,fbcc1ff79ee1,spark-worker-3,198.80%,1.484GiB / 10GiB,14.84%,2.02GB / 2.1GB,0B / 0B,93
20250619_092626,2566b68295c7,spark-master,1.30%,890.8MiB / 4GiB,21.75%,27MB / 42.6MB,0B / 0B,189
20250619_092634,51a9f1b7c4c2,spark-worker-4,184.91%,1.505GiB / 10GiB,15.05%,2.02GB / 2.06GB,0B / 0B,89
20250619_092634,a944cfc63a89,spark-worker-5,195.31%,1.531GiB / 10GiB,15.31%,2.21GB / 2.16GB,0B / 0B,88
20250619_092634,c5586aed1f99,spark-worker-1,98.42%,1.55GiB / 10GiB,15.50%,2.18GB / 2.11GB,0B / 0B,88
20250619_092634,e8d428256f65,spark-worker-2,197.85%,1.655GiB / 10GiB,16.55%,2.2GB / 2.19GB,0B / 0B,89
20250619_092634,fbcc1ff79ee1,spark-worker-3,195.10%,1.484GiB / 10GiB,14.84%,2.02GB / 2.1GB,0B / 0B,88
20250619_092634,2566b68295c7,spark-master,4.12%,898.6MiB / 4GiB,21.94%,27MB / 42.6MB,0B / 0B,189
20250619_092641,51a9f1b7c4c2,spark-worker-4,197.38%,1.506GiB / 10GiB,15.06%,2.02GB / 2.06GB,0B / 0B,89
