timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_182349,94aa7db5ad5a,spark-worker-2,34.04%,338.3MiB / 10GiB,3.30%,10.2MB / 132MB,0B / 0B,58
20250620_182349,8b6f45117c49,spark-worker-5,36.86%,319.1MiB / 10GiB,3.12%,129MB / 761MB,0B / 0B,57
20250620_182349,a283686ce84c,spark-worker-3,35.32%,318.3MiB / 10GiB,3.11%,769MB / 11.4MB,0B / 0B,57
20250620_182349,c3c4f9aaad2a,spark-worker-4,34.40%,320.8MiB / 10GiB,3.13%,13.5MB / 131MB,0B / 0B,57
20250620_182349,cbbc889656e3,spark-worker-1,33.26%,351.9MiB / 10GiB,3.44%,136MB / 10MB,0B / 0B,57
20250620_182349,c665f28b3383,spark-master,163.89%,616.9MiB / 4GiB,15.06%,12MB / 23.7MB,0B / 0B,105
20250620_182357,94aa7db5ad5a,spark-worker-2,170.67%,674.2MiB / 10GiB,6.58%,10.2MB / 132MB,0B / 0B,75
20250620_182357,8b6f45117c49,spark-worker-5,148.50%,575.3MiB / 10GiB,5.62%,129MB / 761MB,0B / 0B,74
20250620_182357,a283686ce84c,spark-worker-3,176.84%,527.7MiB / 10GiB,5.15%,769MB / 11.4MB,0B / 0B,66
20250620_182357,c3c4f9aaad2a,spark-worker-4,140.86%,628.4MiB / 10GiB,6.14%,13.6MB / 131MB,0B / 0B,74
20250620_182357,cbbc889656e3,spark-worker-1,149.39%,704.6MiB / 10GiB,6.88%,136MB / 10MB,0B / 0B,74
20250620_182357,c665f28b3383,spark-master,139.23%,718.5MiB / 4GiB,17.54%,12MB / 23.7MB,0B / 0B,114
20250620_182405,94aa7db5ad5a,spark-worker-2,187.06%,759.9MiB / 10GiB,7.42%,10.3MB / 132MB,0B / 0B,80
20250620_182405,8b6f45117c49,spark-worker-5,175.31%,638.4MiB / 10GiB,6.23%,129MB / 761MB,0B / 0B,80
20250620_182405,a283686ce84c,spark-worker-3,179.69%,637MiB / 10GiB,6.22%,769MB / 11.4MB,0B / 0B,80
20250620_182405,c3c4f9aaad2a,spark-worker-4,194.11%,696.6MiB / 10GiB,6.80%,13.7MB / 131MB,0B / 0B,81
20250620_182405,cbbc889656e3,spark-worker-1,179.86%,778.7MiB / 10GiB,7.60%,136MB / 10MB,0B / 0B,80
20250620_182405,c665f28b3383,spark-master,2.50%,803.6MiB / 4GiB,19.62%,12.1MB / 24MB,0B / 0B,132
20250620_182412,94aa7db5ad5a,spark-worker-2,186.56%,1.118GiB / 10GiB,11.18%,10.4MB / 132MB,0B / 0B,94
20250620_182412,8b6f45117c49,spark-worker-5,107.59%,843.1MiB / 10GiB,8.23%,130MB / 761MB,0B / 0B,93
20250620_182412,a283686ce84c,spark-worker-3,98.07%,977.2MiB / 10GiB,9.54%,769MB / 11.5MB,0B / 0B,95
20250620_182412,c3c4f9aaad2a,spark-worker-4,99.42%,1.545GiB / 10GiB,15.45%,13.8MB / 131MB,0B / 0B,94
20250620_182412,cbbc889656e3,spark-worker-1,189.34%,1.21GiB / 10GiB,12.10%,136MB / 10.1MB,0B / 0B,93
20250620_182412,c665f28b3383,spark-master,8.82%,820.1MiB / 4GiB,20.02%,12.2MB / 24.4MB,0B / 0B,195
20250620_182419,94aa7db5ad5a,spark-worker-2,134.32%,1.608GiB / 10GiB,16.08%,10.4MB / 132MB,0B / 0B,107
20250620_182419,8b6f45117c49,spark-worker-5,142.86%,1.067GiB / 10GiB,10.67%,130MB / 761MB,0B / 0B,106
20250620_182419,a283686ce84c,spark-worker-3,124.74%,1.147GiB / 10GiB,11.47%,769MB / 11.7MB,0B / 0B,107
20250620_182419,c3c4f9aaad2a,spark-worker-4,146.66%,1.686GiB / 10GiB,16.86%,13.9MB / 132MB,0B / 0B,106
20250620_182419,cbbc889656e3,spark-worker-1,166.94%,1.256GiB / 10GiB,12.56%,137MB / 10.1MB,0B / 0B,105
20250620_182419,c665f28b3383,spark-master,19.73%,885.2MiB / 4GiB,21.61%,12.3MB / 24.7MB,0B / 0B,247
20250620_182427,94aa7db5ad5a,spark-worker-2,160.70%,1.835GiB / 10GiB,18.35%,10.4MB / 132MB,0B / 0B,107
20250620_182427,8b6f45117c49,spark-worker-5,171.80%,1.8GiB / 10GiB,18.00%,130MB / 761MB,0B / 0B,106
20250620_182427,a283686ce84c,spark-worker-3,199.61%,1.488GiB / 10GiB,14.88%,769MB / 11.7MB,0B / 0B,107
20250620_182427,c3c4f9aaad2a,spark-worker-4,201.88%,1.825GiB / 10GiB,18.25%,13.9MB / 132MB,0B / 0B,106
20250620_182427,cbbc889656e3,spark-worker-1,158.38%,1.584GiB / 10GiB,15.84%,137MB / 10.1MB,0B / 0B,105
20250620_182427,c665f28b3383,spark-master,12.66%,879.6MiB / 4GiB,21.48%,12.4MB / 24.7MB,0B / 0B,247
20250620_182435,94aa7db5ad5a,spark-worker-2,137.21%,1.837GiB / 10GiB,18.37%,10.5MB / 132MB,0B / 0B,107
20250620_182435,8b6f45117c49,spark-worker-5,99.97%,2.397GiB / 10GiB,23.97%,130MB / 761MB,0B / 0B,106
20250620_182435,a283686ce84c,spark-worker-3,0.23%,1.482GiB / 10GiB,14.82%,769MB / 11.7MB,0B / 0B,107
20250620_182435,c3c4f9aaad2a,spark-worker-4,97.76%,1.827GiB / 10GiB,18.27%,13.9MB / 132MB,0B / 0B,106
20250620_182435,cbbc889656e3,spark-worker-1,0.24%,1.784GiB / 10GiB,17.84%,137MB / 10.1MB,0B / 0B,105
20250620_182435,c665f28b3383,spark-master,1.83%,880.1MiB / 4GiB,21.49%,12.4MB / 24.7MB,0B / 0B,247
20250620_182442,94aa7db5ad5a,spark-worker-2,186.28%,1.883GiB / 10GiB,18.83%,12.4MB / 133MB,0B / 0B,116
20250620_182442,8b6f45117c49,spark-worker-5,178.56%,4.097GiB / 10GiB,40.97%,130MB / 762MB,0B / 0B,115
20250620_182442,a283686ce84c,spark-worker-3,187.01%,1.486GiB / 10GiB,14.86%,769MB / 12.3MB,0B / 0B,116
20250620_182442,c3c4f9aaad2a,spark-worker-4,175.78%,1.828GiB / 10GiB,18.28%,14MB / 132MB,0B / 0B,115
20250620_182442,cbbc889656e3,spark-worker-1,164.99%,1.792GiB / 10GiB,17.92%,137MB / 10.5MB,0B / 0B,115
20250620_182442,c665f28b3383,spark-master,2.11%,889.1MiB / 4GiB,21.71%,12.5MB / 25.2MB,0B / 0B,256
20250620_182449,94aa7db5ad5a,spark-worker-2,85.36%,1.871GiB / 10GiB,18.71%,12.4MB / 133MB,0B / 0B,116
20250620_182449,8b6f45117c49,spark-worker-5,179.25%,4.099GiB / 10GiB,40.99%,130MB / 762MB,0B / 0B,115
20250620_182449,a283686ce84c,spark-worker-3,101.10%,1.49GiB / 10GiB,14.90%,769MB / 12.3MB,0B / 0B,116
20250620_182449,c3c4f9aaad2a,spark-worker-4,56.82%,1.825GiB / 10GiB,18.25%,14MB / 132MB,0B / 0B,115
20250620_182449,cbbc889656e3,spark-worker-1,47.77%,1.794GiB / 10GiB,17.94%,137MB / 10.6MB,0B / 0B,115
20250620_182449,c665f28b3383,spark-master,10.62%,889.3MiB / 4GiB,21.71%,12.6MB / 25.2MB,0B / 0B,255
20250620_182457,94aa7db5ad5a,spark-worker-2,170.62%,1.877GiB / 10GiB,18.77%,12.5MB / 133MB,0B / 0B,126
20250620_182457,8b6f45117c49,spark-worker-5,183.28%,4.11GiB / 10GiB,41.10%,130MB / 762MB,0B / 0B,126
20250620_182457,a283686ce84c,spark-worker-3,190.11%,1.488GiB / 10GiB,14.88%,769MB / 13MB,0B / 0B,126
20250620_182457,c3c4f9aaad2a,spark-worker-4,165.46%,1.827GiB / 10GiB,18.27%,14.1MB / 132MB,0B / 0B,125
20250620_182457,cbbc889656e3,spark-worker-1,165.22%,1.829GiB / 10GiB,18.29%,139MB / 10.6MB,0B / 0B,125
20250620_182457,c665f28b3383,spark-master,0.98%,893.4MiB / 4GiB,21.81%,12.6MB / 25.6MB,0B / 0B,267
20250620_182505,94aa7db5ad5a,spark-worker-2,119.62%,1.881GiB / 10GiB,18.81%,12.5MB / 133MB,0B / 0B,123
20250620_182505,8b6f45117c49,spark-worker-5,84.50%,4.099GiB / 10GiB,40.99%,130MB / 762MB,0B / 0B,122
20250620_182505,a283686ce84c,spark-worker-3,0.17%,1.493GiB / 10GiB,14.93%,769MB / 13MB,0B / 0B,123
20250620_182505,c3c4f9aaad2a,spark-worker-4,0.18%,1.827GiB / 10GiB,18.27%,14.1MB / 132MB,0B / 0B,122
20250620_182505,cbbc889656e3,spark-worker-1,52.59%,1.83GiB / 10GiB,18.30%,139MB / 10.6MB,0B / 0B,122
20250620_182505,c665f28b3383,spark-master,1.99%,896MiB / 4GiB,21.87%,12.7MB / 25.6MB,0B / 0B,257
20250620_182512,94aa7db5ad5a,spark-worker-2,9.81%,1.888GiB / 10GiB,18.88%,12.5MB / 134MB,0B / 0B,178
20250620_182512,8b6f45117c49,spark-worker-5,94.61%,4.164GiB / 10GiB,41.64%,134MB / 763MB,0B / 0B,176
20250620_182512,a283686ce84c,spark-worker-3,11.56%,1.497GiB / 10GiB,14.97%,769MB / 13.8MB,0B / 0B,176
20250620_182512,c3c4f9aaad2a,spark-worker-4,14.26%,1.836GiB / 10GiB,18.36%,14.1MB / 133MB,0B / 0B,177
20250620_182512,cbbc889656e3,spark-worker-1,12.43%,1.837GiB / 10GiB,18.37%,139MB / 11.5MB,0B / 0B,177
20250620_182512,c665f28b3383,spark-master,200.24%,949MiB / 4GiB,23.17%,13.2MB / 26.9MB,0B / 0B,317
20250620_182519,94aa7db5ad5a,spark-worker-2,178.48%,1.889GiB / 10GiB,18.89%,12.6MB / 134MB,0B / 0B,175
20250620_182519,8b6f45117c49,spark-worker-5,161.00%,4.166GiB / 10GiB,41.66%,135MB / 763MB,0B / 0B,176
20250620_182519,a283686ce84c,spark-worker-3,165.35%,1.507GiB / 10GiB,15.07%,770MB / 13.8MB,0B / 0B,173
20250620_182519,c3c4f9aaad2a,spark-worker-4,160.15%,1.837GiB / 10GiB,18.37%,14.2MB / 133MB,0B / 0B,175
20250620_182519,cbbc889656e3,spark-worker-1,185.78%,1.838GiB / 10GiB,18.38%,139MB / 11.5MB,0B / 0B,176
