timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_122125,8896faf2c28a,spark-worker-3,159.80%,613.5MiB / 10GiB,5.99%,6.21MB / 3.48MB,0B / 0B,64
20250617_122125,bd3eccc510a1,spark-worker-2,164.47%,621.5MiB / 10GiB,6.07%,6.17MB / 2.97MB,0B / 0B,66
20250617_122125,72ea5f833e39,spark-worker-1,155.97%,608.3MiB / 10GiB,5.94%,6.28MB / 3.11MB,0B / 0B,66
20250617_122125,d9db3658c991,spark-worker-4,171.44%,594.7MiB / 10GiB,5.81%,6.14MB / 2.97MB,0B / 0B,64
20250617_122125,ec39dfa29337,spark-worker-5,162.66%,584MiB / 10GiB,5.70%,6.02MB / 2.67MB,0B / 0B,67
20250617_122125,82e8dc373feb,spark-master,164.33%,792.2MiB / 4GiB,19.34%,13.5MB / 35.4MB,0B / 0B,111
20250617_122133,8896faf2c28a,spark-worker-3,59.10%,677.8MiB / 10GiB,6.62%,6.24MB / 3.49MB,0B / 0B,77
20250617_122133,bd3eccc510a1,spark-worker-2,58.98%,677.7MiB / 10GiB,6.62%,6.19MB / 2.98MB,0B / 0B,77
20250617_122133,72ea5f833e39,spark-worker-1,0.21%,657.1MiB / 10GiB,6.42%,6.28MB / 3.11MB,0B / 0B,75
20250617_122133,d9db3658c991,spark-worker-4,64.48%,628.6MiB / 10GiB,6.14%,6.17MB / 2.98MB,0B / 0B,77
20250617_122133,ec39dfa29337,spark-worker-5,64.75%,782.4MiB / 10GiB,7.64%,6.2MB / 2.69MB,0B / 0B,80
20250617_122133,82e8dc373feb,spark-master,146.07%,887.7MiB / 4GiB,21.67%,13.5MB / 35.7MB,0B / 0B,128
20250617_122141,8896faf2c28a,spark-worker-3,200.92%,970.3MiB / 10GiB,9.48%,6.38MB / 3.5MB,0B / 0B,80
20250617_122141,bd3eccc510a1,spark-worker-2,189.93%,921.8MiB / 10GiB,9.00%,6.34MB / 2.99MB,0B / 0B,80
20250617_122141,72ea5f833e39,spark-worker-1,186.47%,887.7MiB / 10GiB,8.67%,6.45MB / 3.12MB,0B / 0B,81
20250617_122141,d9db3658c991,spark-worker-4,165.06%,886.5MiB / 10GiB,8.66%,6.31MB / 2.99MB,0B / 0B,81
20250617_122141,ec39dfa29337,spark-worker-5,200.64%,1.032GiB / 10GiB,10.32%,6.24MB / 3.07MB,0B / 0B,84
20250617_122141,82e8dc373feb,spark-master,1.93%,890.9MiB / 4GiB,21.75%,13.5MB / 35.9MB,0B / 0B,128
20250617_122147,8896faf2c28a,spark-worker-3,199.52%,1.633GiB / 10GiB,16.33%,6.38MB / 3.5MB,0B / 0B,80
20250617_122147,bd3eccc510a1,spark-worker-2,200.54%,1.234GiB / 10GiB,12.34%,6.34MB / 2.99MB,0B / 0B,81
20250617_122147,72ea5f833e39,spark-worker-1,204.54%,1.181GiB / 10GiB,11.81%,6.45MB / 3.13MB,0B / 0B,82
20250617_122147,d9db3658c991,spark-worker-4,195.43%,1.269GiB / 10GiB,12.69%,6.31MB / 2.99MB,0B / 0B,82
20250617_122147,ec39dfa29337,spark-worker-5,198.22%,1.709GiB / 10GiB,17.09%,6.24MB / 3.08MB,0B / 0B,84
20250617_122147,82e8dc373feb,spark-master,3.10%,891.3MiB / 4GiB,21.76%,13.6MB / 35.9MB,0B / 0B,128
20250617_122155,8896faf2c28a,spark-worker-3,110.06%,2.428GiB / 10GiB,24.28%,6.38MB / 3.5MB,0B / 0B,80
20250617_122155,bd3eccc510a1,spark-worker-2,199.22%,2.072GiB / 10GiB,20.72%,6.34MB / 2.99MB,0B / 0B,81
20250617_122155,72ea5f833e39,spark-worker-1,199.58%,2.227GiB / 10GiB,22.27%,6.45MB / 3.13MB,0B / 0B,82
20250617_122155,d9db3658c991,spark-worker-4,180.54%,2.507GiB / 10GiB,25.07%,6.32MB / 2.99MB,0B / 0B,82
20250617_122155,ec39dfa29337,spark-worker-5,21.14%,2.416GiB / 10GiB,24.16%,6.25MB / 3.08MB,0B / 0B,84
20250617_122155,82e8dc373feb,spark-master,5.74%,891.3MiB / 4GiB,21.76%,13.6MB / 35.9MB,0B / 0B,128
20250617_122203,8896faf2c28a,spark-worker-3,14.93%,2.429GiB / 10GiB,24.29%,6.38MB / 3.5MB,0B / 0B,80
20250617_122203,bd3eccc510a1,spark-worker-2,16.85%,2.213GiB / 10GiB,22.13%,6.34MB / 3MB,0B / 0B,81
20250617_122203,72ea5f833e39,spark-worker-1,14.96%,2.321GiB / 10GiB,23.21%,6.45MB / 3.13MB,0B / 0B,82
20250617_122203,d9db3658c991,spark-worker-4,14.88%,2.507GiB / 10GiB,25.07%,6.32MB / 2.99MB,0B / 0B,82
20250617_122203,ec39dfa29337,spark-worker-5,14.59%,2.422GiB / 10GiB,24.22%,6.25MB / 3.08MB,0B / 0B,84
20250617_122203,82e8dc373feb,spark-master,0.63%,891.7MiB / 4GiB,21.77%,13.6MB / 35.9MB,0B / 0B,128
20250617_122211,8896faf2c28a,spark-worker-3,97.38%,2.429GiB / 10GiB,24.29%,6.38MB / 3.51MB,0B / 0B,80
20250617_122211,bd3eccc510a1,spark-worker-2,124.18%,2.388GiB / 10GiB,23.88%,6.34MB / 3MB,0B / 0B,81
20250617_122211,72ea5f833e39,spark-worker-1,86.91%,2.321GiB / 10GiB,23.21%,6.45MB / 3.13MB,0B / 0B,82
20250617_122211,d9db3658c991,spark-worker-4,123.45%,2.508GiB / 10GiB,25.08%,6.32MB / 3MB,0B / 0B,82
20250617_122211,ec39dfa29337,spark-worker-5,177.24%,2.451GiB / 10GiB,24.51%,6.25MB / 3.08MB,0B / 0B,84
20250617_122211,82e8dc373feb,spark-master,1.01%,891.8MiB / 4GiB,21.77%,13.6MB / 35.9MB,0B / 0B,128
20250617_122218,8896faf2c28a,spark-worker-3,14.04%,3.499GiB / 10GiB,34.99%,6.38MB / 3.51MB,0B / 0B,80
20250617_122218,bd3eccc510a1,spark-worker-2,14.43%,2.869GiB / 10GiB,28.69%,6.34MB / 3MB,0B / 0B,81
20250617_122218,72ea5f833e39,spark-worker-1,14.14%,2.323GiB / 10GiB,23.23%,6.45MB / 3.14MB,0B / 0B,82
20250617_122218,d9db3658c991,spark-worker-4,14.01%,2.651GiB / 10GiB,26.51%,6.32MB / 3MB,0B / 0B,82
20250617_122218,ec39dfa29337,spark-worker-5,14.37%,2.451GiB / 10GiB,24.51%,6.25MB / 3.09MB,0B / 0B,84
20250617_122218,82e8dc373feb,spark-master,2.06%,892.3MiB / 4GiB,21.78%,13.6MB / 35.9MB,0B / 0B,128
20250617_122225,8896faf2c28a,spark-worker-3,15.97%,3.499GiB / 10GiB,34.99%,6.38MB / 3.51MB,0B / 0B,79
20250617_122225,bd3eccc510a1,spark-worker-2,15.76%,2.869GiB / 10GiB,28.69%,6.34MB / 3.01MB,0B / 0B,80
20250617_122225,72ea5f833e39,spark-worker-1,15.35%,2.323GiB / 10GiB,23.23%,6.45MB / 3.14MB,0B / 0B,81
20250617_122225,d9db3658c991,spark-worker-4,15.33%,2.651GiB / 10GiB,26.51%,6.32MB / 3MB,0B / 0B,81
20250617_122225,ec39dfa29337,spark-worker-5,191.45%,2.495GiB / 10GiB,24.95%,6.27MB / 3.1MB,0B / 0B,83
20250617_122225,82e8dc373feb,spark-master,0.96%,893MiB / 4GiB,21.80%,13.6MB / 35.9MB,0B / 0B,129
20250617_122233,8896faf2c28a,spark-worker-3,189.53%,3.66GiB / 10GiB,36.60%,6.41MB / 3.53MB,0B / 0B,75
20250617_122233,bd3eccc510a1,spark-worker-2,189.00%,3.12GiB / 10GiB,31.20%,6.36MB / 3.02MB,0B / 0B,76
20250617_122233,72ea5f833e39,spark-worker-1,190.04%,2.384GiB / 10GiB,23.84%,6.47MB / 3.15MB,0B / 0B,77
20250617_122233,d9db3658c991,spark-worker-4,199.32%,2.73GiB / 10GiB,27.30%,6.34MB / 3.02MB,0B / 0B,77
20250617_122233,ec39dfa29337,spark-worker-5,17.51%,2.494GiB / 10GiB,24.94%,6.27MB / 3.11MB,0B / 0B,79
20250617_122233,82e8dc373feb,spark-master,0.52%,891.9MiB / 4GiB,21.77%,13.7MB / 36MB,0B / 0B,115
20250617_122241,8896faf2c28a,spark-worker-3,13.98%,3.662GiB / 10GiB,36.62%,6.41MB / 3.53MB,0B / 0B,75
20250617_122241,bd3eccc510a1,spark-worker-2,13.69%,3.193GiB / 10GiB,31.93%,6.36MB / 3.02MB,0B / 0B,76
20250617_122241,72ea5f833e39,spark-worker-1,13.81%,2.384GiB / 10GiB,23.84%,6.47MB / 3.16MB,0B / 0B,77
20250617_122241,d9db3658c991,spark-worker-4,13.54%,2.758GiB / 10GiB,27.58%,6.34MB / 3.02MB,0B / 0B,77
20250617_122241,ec39dfa29337,spark-worker-5,116.91%,2.495GiB / 10GiB,24.95%,6.27MB / 3.11MB,0B / 0B,78
20250617_122241,82e8dc373feb,spark-master,0.46%,892.2MiB / 4GiB,21.78%,13.7MB / 36MB,0B / 0B,114
20250617_122248,8896faf2c28a,spark-worker-3,13.44%,3.662GiB / 10GiB,36.62%,6.41MB / 3.53MB,0B / 0B,75
20250617_122248,bd3eccc510a1,spark-worker-2,13.54%,3.193GiB / 10GiB,31.93%,6.37MB / 3.03MB,0B / 0B,76
20250617_122248,72ea5f833e39,spark-worker-1,13.39%,2.385GiB / 10GiB,23.85%,6.47MB / 3.16MB,0B / 0B,76
20250617_122248,d9db3658c991,spark-worker-4,13.12%,2.757GiB / 10GiB,27.57%,6.34MB / 3.03MB,0B / 0B,76
20250617_122248,ec39dfa29337,spark-worker-5,14.10%,2.495GiB / 10GiB,24.95%,6.27MB / 3.11MB,0B / 0B,78
20250617_122248,82e8dc373feb,spark-master,1.25%,892.5MiB / 4GiB,21.79%,13.7MB / 36MB,0B / 0B,114
20250617_122255,8896faf2c28a,spark-worker-3,50.15%,3.706GiB / 10GiB,37.06%,6.41MB / 3.53MB,0B / 0B,75
20250617_122255,bd3eccc510a1,spark-worker-2,89.98%,3.232GiB / 10GiB,32.32%,6.37MB / 3.03MB,0B / 0B,76
20250617_122255,72ea5f833e39,spark-worker-1,62.66%,2.385GiB / 10GiB,23.85%,6.47MB / 3.16MB,0B / 0B,76
20250617_122255,d9db3658c991,spark-worker-4,105.04%,2.758GiB / 10GiB,27.58%,6.34MB / 3.03MB,0B / 0B,76
20250617_122255,ec39dfa29337,spark-worker-5,196.13%,2.521GiB / 10GiB,25.21%,6.3MB / 3.13MB,0B / 0B,79
20250617_122255,82e8dc373feb,spark-master,0.98%,892.3MiB / 4GiB,21.79%,13.8MB / 36.1MB,0B / 0B,114
20250617_122303,8896faf2c28a,spark-worker-3,13.73%,3.706GiB / 10GiB,37.06%,6.41MB / 3.54MB,0B / 0B,75
20250617_122303,bd3eccc510a1,spark-worker-2,13.52%,3.232GiB / 10GiB,32.32%,6.37MB / 3.03MB,0B / 0B,76
20250617_122303,72ea5f833e39,spark-worker-1,13.50%,2.385GiB / 10GiB,23.85%,6.47MB / 3.17MB,0B / 0B,76
20250617_122303,d9db3658c991,spark-worker-4,13.51%,2.758GiB / 10GiB,27.58%,6.34MB / 3.03MB,0B / 0B,76
20250617_122303,ec39dfa29337,spark-worker-5,13.66%,2.541GiB / 10GiB,25.41%,6.3MB / 3.13MB,0B / 0B,79
20250617_122303,82e8dc373feb,spark-master,0.36%,896.4MiB / 4GiB,21.89%,13.8MB / 36.1MB,0B / 0B,114
20250617_122311,8896faf2c28a,spark-worker-3,186.01%,3.713GiB / 10GiB,37.13%,6.44MB / 3.56MB,0B / 0B,75
20250617_122311,bd3eccc510a1,spark-worker-2,169.72%,3.234GiB / 10GiB,32.34%,6.39MB / 3.05MB,0B / 0B,76
