timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_122541,8896faf2c28a,spark-worker-3,0.18%,3.757GiB / 10GiB,37.57%,6.52MB / 3.66MB,0B / 0B,78
20250617_122541,bd3eccc510a1,spark-worker-2,30.13%,3.285GiB / 10GiB,32.85%,6.65MB / 3.16MB,0B / 0B,82
20250617_122541,72ea5f833e39,spark-worker-1,38.43%,2.982GiB / 10GiB,29.82%,6.74MB / 3.29MB,0B / 0B,82
20250617_122541,d9db3658c991,spark-worker-4,53.12%,3.495GiB / 10GiB,34.95%,6.67MB / 3.21MB,0B / 0B,83
20250617_122541,ec39dfa29337,spark-worker-5,41.08%,3.685GiB / 10GiB,36.85%,6.55MB / 3.25MB,0B / 0B,85
20250617_122541,82e8dc373feb,spark-master,41.89%,903.6MiB / 4GiB,22.06%,14.4MB / 37.4MB,0B / 0B,145
20250617_122548,8896faf2c28a,spark-worker-3,188.43%,3.759GiB / 10GiB,37.59%,6.69MB / 3.67MB,0B / 0B,82
20250617_122548,bd3eccc510a1,spark-worker-2,183.82%,3.275GiB / 10GiB,32.75%,6.65MB / 3.17MB,0B / 0B,82
20250617_122548,72ea5f833e39,spark-worker-1,174.06%,2.944GiB / 10GiB,29.44%,6.74MB / 3.29MB,0B / 0B,83
20250617_122548,d9db3658c991,spark-worker-4,183.11%,3.515GiB / 10GiB,35.15%,6.68MB / 3.21MB,0B / 0B,84
20250617_122548,ec39dfa29337,spark-worker-5,177.84%,3.854GiB / 10GiB,38.54%,6.55MB / 3.25MB,0B / 0B,86
20250617_122548,82e8dc373feb,spark-master,1.06%,903.7MiB / 4GiB,22.06%,14.4MB / 37.4MB,0B / 0B,145
20250617_122555,8896faf2c28a,spark-worker-3,13.88%,3.759GiB / 10GiB,37.59%,6.69MB / 3.67MB,0B / 0B,82
20250617_122555,bd3eccc510a1,spark-worker-2,14.16%,3.276GiB / 10GiB,32.76%,6.65MB / 3.17MB,0B / 0B,82
20250617_122555,72ea5f833e39,spark-worker-1,15.47%,2.944GiB / 10GiB,29.44%,6.74MB / 3.3MB,0B / 0B,83
20250617_122555,d9db3658c991,spark-worker-4,13.82%,3.515GiB / 10GiB,35.15%,6.68MB / 3.22MB,0B / 0B,84
20250617_122555,ec39dfa29337,spark-worker-5,14.31%,3.892GiB / 10GiB,38.92%,6.55MB / 3.25MB,0B / 0B,86
20250617_122555,82e8dc373feb,spark-master,1.00%,903.9MiB / 4GiB,22.07%,14.5MB / 37.4MB,0B / 0B,145
20250617_122603,8896faf2c28a,spark-worker-3,14.15%,3.759GiB / 10GiB,37.59%,6.69MB / 3.68MB,0B / 0B,82
20250617_122603,bd3eccc510a1,spark-worker-2,14.23%,3.275GiB / 10GiB,32.75%,6.65MB / 3.17MB,0B / 0B,82
20250617_122603,72ea5f833e39,spark-worker-1,13.96%,2.944GiB / 10GiB,29.44%,6.74MB / 3.3MB,0B / 0B,83
20250617_122603,d9db3658c991,spark-worker-4,14.07%,3.515GiB / 10GiB,35.15%,6.68MB / 3.22MB,0B / 0B,84
20250617_122603,ec39dfa29337,spark-worker-5,14.44%,3.892GiB / 10GiB,38.92%,6.55MB / 3.25MB,0B / 0B,86
20250617_122603,82e8dc373feb,spark-master,0.34%,903.9MiB / 4GiB,22.07%,14.5MB / 37.4MB,0B / 0B,145
20250617_122611,8896faf2c28a,spark-worker-3,183.13%,3.759GiB / 10GiB,37.59%,6.69MB / 3.68MB,0B / 0B,82
20250617_122611,bd3eccc510a1,spark-worker-2,174.10%,3.275GiB / 10GiB,32.75%,6.65MB / 3.18MB,0B / 0B,82
20250617_122611,72ea5f833e39,spark-worker-1,184.93%,2.944GiB / 10GiB,29.44%,6.74MB / 3.3MB,0B / 0B,83
20250617_122611,d9db3658c991,spark-worker-4,178.50%,3.515GiB / 10GiB,35.15%,6.68MB / 3.22MB,0B / 0B,84
20250617_122611,ec39dfa29337,spark-worker-5,178.69%,3.894GiB / 10GiB,38.94%,6.56MB / 3.26MB,0B / 0B,86
20250617_122611,82e8dc373feb,spark-master,0.51%,903.8MiB / 4GiB,22.07%,14.5MB / 37.4MB,0B / 0B,145
20250617_122619,8896faf2c28a,spark-worker-3,15.41%,3.759GiB / 10GiB,37.59%,6.69MB / 3.69MB,0B / 0B,82
20250617_122619,bd3eccc510a1,spark-worker-2,14.16%,3.276GiB / 10GiB,32.76%,6.65MB / 3.18MB,0B / 0B,82
20250617_122619,72ea5f833e39,spark-worker-1,14.08%,2.944GiB / 10GiB,29.44%,6.74MB / 3.3MB,0B / 0B,83
20250617_122619,d9db3658c991,spark-worker-4,14.00%,3.515GiB / 10GiB,35.15%,6.68MB / 3.22MB,0B / 0B,84
20250617_122619,ec39dfa29337,spark-worker-5,13.90%,3.894GiB / 10GiB,38.94%,6.56MB / 3.26MB,0B / 0B,86
20250617_122619,82e8dc373feb,spark-master,0.34%,904.1MiB / 4GiB,22.07%,14.5MB / 37.5MB,0B / 0B,145
20250617_122625,8896faf2c28a,spark-worker-3,178.31%,3.777GiB / 10GiB,37.77%,6.72MB / 3.7MB,0B / 0B,82
20250617_122625,bd3eccc510a1,spark-worker-2,184.06%,3.548GiB / 10GiB,35.48%,6.67MB / 3.2MB,0B / 0B,83
20250617_122625,72ea5f833e39,spark-worker-1,198.01%,2.961GiB / 10GiB,29.61%,6.77MB / 3.32MB,0B / 0B,83
20250617_122625,d9db3658c991,spark-worker-4,180.91%,3.516GiB / 10GiB,35.16%,6.7MB / 3.24MB,0B / 0B,84
20250617_122625,ec39dfa29337,spark-worker-5,190.32%,3.911GiB / 10GiB,39.11%,6.58MB / 3.28MB,0B / 0B,86
20250617_122625,82e8dc373feb,spark-master,1.23%,904MiB / 4GiB,22.07%,14.6MB / 37.6MB,0B / 0B,145
20250617_122633,8896faf2c28a,spark-worker-3,165.19%,3.777GiB / 10GiB,37.77%,6.72MB / 3.7MB,0B / 0B,82
20250617_122633,bd3eccc510a1,spark-worker-2,178.37%,4.517GiB / 10GiB,45.17%,6.67MB / 3.2MB,0B / 0B,83
20250617_122633,72ea5f833e39,spark-worker-1,174.35%,2.961GiB / 10GiB,29.61%,6.77MB / 3.32MB,0B / 0B,83
20250617_122633,d9db3658c991,spark-worker-4,175.32%,4.541GiB / 10GiB,45.41%,6.7MB / 3.24MB,0B / 0B,84
20250617_122633,ec39dfa29337,spark-worker-5,181.91%,3.911GiB / 10GiB,39.11%,6.58MB / 3.28MB,0B / 0B,86
20250617_122633,82e8dc373feb,spark-master,0.49%,904MiB / 4GiB,22.07%,14.6MB / 37.6MB,0B / 0B,145
