timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_121620,8896faf2c28a,spark-worker-3,175.49%,4.327GiB / 10GiB,43.27%,5.77MB / 3.3MB,0B / 0B,86
20250617_121620,bd3eccc510a1,spark-worker-2,182.42%,4.389GiB / 10GiB,43.89%,5.71MB / 2.79MB,0B / 0B,87
20250617_121620,72ea5f833e39,spark-worker-1,180.63%,7.677GiB / 10GiB,76.77%,5.8MB / 2.93MB,0B / 0B,87
20250617_121620,d9db3658c991,spark-worker-4,180.13%,3.688GiB / 10GiB,36.88%,5.67MB / 2.8MB,0B / 0B,85
20250617_121620,ec39dfa29337,spark-worker-5,176.78%,5.175GiB / 10GiB,51.75%,5.59MB / 2.5MB,0B / 0B,86
20250617_121620,82e8dc373feb,spark-master,2.78%,902.9MiB / 4GiB,22.04%,12.6MB / 33.1MB,0B / 0B,160
20250617_121627,8896faf2c28a,spark-worker-3,173.87%,4.327GiB / 10GiB,43.27%,5.77MB / 3.3MB,0B / 0B,86
20250617_121627,bd3eccc510a1,spark-worker-2,176.29%,4.389GiB / 10GiB,43.89%,5.71MB / 2.79MB,0B / 0B,87
20250617_121627,72ea5f833e39,spark-worker-1,174.14%,7.677GiB / 10GiB,76.77%,5.8MB / 2.93MB,0B / 0B,87
20250617_121627,d9db3658c991,spark-worker-4,169.31%,3.688GiB / 10GiB,36.88%,5.67MB / 2.8MB,0B / 0B,85
20250617_121627,ec39dfa29337,spark-worker-5,171.63%,5.175GiB / 10GiB,51.75%,5.59MB / 2.5MB,0B / 0B,86
20250617_121627,82e8dc373feb,spark-master,1.52%,902.9MiB / 4GiB,22.04%,12.6MB / 33.1MB,0B / 0B,160
20250617_121635,8896faf2c28a,spark-worker-3,15.01%,4.327GiB / 10GiB,43.27%,5.77MB / 3.3MB,0B / 0B,86
20250617_121635,bd3eccc510a1,spark-worker-2,14.14%,4.389GiB / 10GiB,43.89%,5.71MB / 2.79MB,0B / 0B,87
20250617_121635,72ea5f833e39,spark-worker-1,13.75%,7.677GiB / 10GiB,76.77%,5.8MB / 2.93MB,0B / 0B,87
20250617_121635,d9db3658c991,spark-worker-4,13.90%,3.688GiB / 10GiB,36.88%,5.67MB / 2.8MB,0B / 0B,85
20250617_121635,ec39dfa29337,spark-worker-5,13.90%,5.175GiB / 10GiB,51.75%,5.6MB / 2.51MB,0B / 0B,86
20250617_121635,82e8dc373feb,spark-master,0.36%,903.4MiB / 4GiB,22.06%,12.6MB / 33.1MB,0B / 0B,160
20250617_121642,8896faf2c28a,spark-worker-3,92.35%,4.328GiB / 10GiB,43.28%,5.77MB / 3.31MB,0B / 0B,86
20250617_121642,bd3eccc510a1,spark-worker-2,13.87%,4.389GiB / 10GiB,43.89%,5.72MB / 2.8MB,0B / 0B,87
20250617_121642,72ea5f833e39,spark-worker-1,14.92%,7.677GiB / 10GiB,76.77%,5.8MB / 2.94MB,0B / 0B,87
20250617_121642,d9db3658c991,spark-worker-4,42.31%,3.688GiB / 10GiB,36.88%,5.67MB / 2.8MB,0B / 0B,85
20250617_121642,ec39dfa29337,spark-worker-5,26.26%,5.175GiB / 10GiB,51.75%,5.6MB / 2.51MB,0B / 0B,86
20250617_121642,82e8dc373feb,spark-master,0.39%,903.2MiB / 4GiB,22.05%,12.6MB / 33.1MB,0B / 0B,160
20250617_121650,8896faf2c28a,spark-worker-3,15.01%,4.327GiB / 10GiB,43.27%,5.77MB / 3.31MB,0B / 0B,86
20250617_121650,bd3eccc510a1,spark-worker-2,14.99%,4.389GiB / 10GiB,43.89%,5.72MB / 2.8MB,0B / 0B,87
20250617_121650,72ea5f833e39,spark-worker-1,14.37%,7.677GiB / 10GiB,76.77%,5.8MB / 2.94MB,0B / 0B,87
20250617_121650,d9db3658c991,spark-worker-4,15.04%,3.688GiB / 10GiB,36.88%,5.67MB / 2.81MB,0B / 0B,85
20250617_121650,ec39dfa29337,spark-worker-5,15.79%,5.175GiB / 10GiB,51.75%,5.6MB / 2.52MB,0B / 0B,86
20250617_121650,82e8dc373feb,spark-master,0.86%,903.1MiB / 4GiB,22.05%,12.6MB / 33.1MB,0B / 0B,160
20250617_121657,8896faf2c28a,spark-worker-3,174.22%,4.328GiB / 10GiB,43.28%,5.8MB / 3.32MB,0B / 0B,86
20250617_121657,bd3eccc510a1,spark-worker-2,173.09%,4.39GiB / 10GiB,43.90%,5.74MB / 2.82MB,0B / 0B,87
20250617_121657,72ea5f833e39,spark-worker-1,0.34%,7.677GiB / 10GiB,76.77%,5.8MB / 2.95MB,0B / 0B,87
20250617_121657,d9db3658c991,spark-worker-4,0.25%,3.688GiB / 10GiB,36.88%,5.67MB / 2.82MB,0B / 0B,85
20250617_121657,ec39dfa29337,spark-worker-5,87.08%,5.176GiB / 10GiB,51.76%,5.61MB / 2.53MB,0B / 0B,86
20250617_121657,82e8dc373feb,spark-master,1.05%,903.3MiB / 4GiB,22.05%,12.7MB / 33.2MB,0B / 0B,160
20250617_121705,8896faf2c28a,spark-worker-3,18.16%,4.328GiB / 10GiB,43.28%,5.8MB / 3.33MB,0B / 0B,86
20250617_121705,bd3eccc510a1,spark-worker-2,18.00%,4.39GiB / 10GiB,43.90%,5.74MB / 2.82MB,0B / 0B,87
20250617_121705,72ea5f833e39,spark-worker-1,0.24%,7.677GiB / 10GiB,76.77%,5.8MB / 2.95MB,0B / 0B,87
20250617_121705,d9db3658c991,spark-worker-4,0.19%,3.688GiB / 10GiB,36.88%,5.67MB / 2.82MB,0B / 0B,85
20250617_121705,ec39dfa29337,spark-worker-5,9.01%,5.176GiB / 10GiB,51.76%,5.61MB / 2.53MB,0B / 0B,86
20250617_121705,82e8dc373feb,spark-master,0.35%,903.4MiB / 4GiB,22.06%,12.7MB / 33.2MB,0B / 0B,160
20250617_121712,8896faf2c28a,spark-worker-3,175.35%,4.328GiB / 10GiB,43.28%,5.8MB / 3.33MB,0B / 0B,86
20250617_121712,bd3eccc510a1,spark-worker-2,175.08%,4.39GiB / 10GiB,43.90%,5.74MB / 2.82MB,0B / 0B,87
20250617_121712,72ea5f833e39,spark-worker-1,0.35%,7.677GiB / 10GiB,76.77%,5.8MB / 2.95MB,0B / 0B,87
20250617_121712,d9db3658c991,spark-worker-4,0.23%,3.688GiB / 10GiB,36.88%,5.67MB / 2.82MB,0B / 0B,85
20250617_121712,ec39dfa29337,spark-worker-5,0.28%,5.176GiB / 10GiB,51.76%,5.61MB / 2.54MB,0B / 0B,86
20250617_121712,82e8dc373feb,spark-master,0.86%,903.3MiB / 4GiB,22.05%,12.7MB / 33.2MB,0B / 0B,160
20250617_121720,8896faf2c28a,spark-worker-3,26.67%,4.328GiB / 10GiB,43.28%,5.97MB / 3.35MB,0B / 0B,85
20250617_121720,bd3eccc510a1,spark-worker-2,26.89%,4.39GiB / 10GiB,43.90%,5.91MB / 2.84MB,0B / 0B,86
20250617_121720,72ea5f833e39,spark-worker-1,2.93%,7.677GiB / 10GiB,76.77%,5.81MB / 2.96MB,0B / 0B,85
20250617_121720,d9db3658c991,spark-worker-4,27.16%,3.704GiB / 10GiB,37.04%,5.89MB / 2.84MB,0B / 0B,83
20250617_121720,ec39dfa29337,spark-worker-5,29.78%,5.176GiB / 10GiB,51.76%,5.78MB / 2.55MB,0B / 0B,86
20250617_121720,82e8dc373feb,spark-master,104.86%,908.2MiB / 4GiB,22.17%,12.8MB / 34.1MB,0B / 0B,160
