timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_120605,8896faf2c28a,spark-worker-3,50.16%,5.884GiB / 10GiB,58.84%,4.77MB / 2.81MB,0B / 0B,89
20250617_120605,bd3eccc510a1,spark-worker-2,37.46%,4.246GiB / 10GiB,42.46%,4.58MB / 2.26MB,0B / 0B,90
20250617_120605,72ea5f833e39,spark-worker-1,41.47%,3.942GiB / 10GiB,39.42%,4.71MB / 2.15MB,0B / 0B,88
20250617_120605,d9db3658c991,spark-worker-4,46.91%,4.921GiB / 10GiB,49.21%,4.71MB / 2.38MB,0B / 0B,91
20250617_120605,ec39dfa29337,spark-worker-5,66.06%,4.408GiB / 10GiB,44.08%,4.62MB / 2.06MB,0B / 0B,89
20250617_120605,82e8dc373feb,spark-master,61.50%,934.3MiB / 4GiB,22.81%,10.1MB / 24.8MB,0B / 0B,176
20250617_120613,8896faf2c28a,spark-worker-3,174.23%,5.885GiB / 10GiB,58.85%,4.77MB / 2.81MB,0B / 0B,86
20250617_120613,bd3eccc510a1,spark-worker-2,163.47%,4.246GiB / 10GiB,42.46%,4.58MB / 2.27MB,0B / 0B,86
20250617_120613,72ea5f833e39,spark-worker-1,175.78%,3.943GiB / 10GiB,39.43%,4.71MB / 2.15MB,0B / 0B,85
20250617_120613,d9db3658c991,spark-worker-4,172.78%,4.921GiB / 10GiB,49.21%,4.71MB / 2.38MB,0B / 0B,88
20250617_120613,ec39dfa29337,spark-worker-5,167.93%,4.408GiB / 10GiB,44.08%,4.62MB / 2.07MB,0B / 0B,87
20250617_120613,82e8dc373feb,spark-master,0.94%,932.9MiB / 4GiB,22.78%,10.1MB / 24.8MB,0B / 0B,161
20250617_120621,8896faf2c28a,spark-worker-3,13.61%,5.885GiB / 10GiB,58.85%,4.77MB / 2.81MB,0B / 0B,86
20250617_120621,bd3eccc510a1,spark-worker-2,13.81%,4.246GiB / 10GiB,42.46%,4.58MB / 2.27MB,0B / 0B,86
20250617_120621,72ea5f833e39,spark-worker-1,14.43%,3.942GiB / 10GiB,39.42%,4.71MB / 2.16MB,0B / 0B,85
20250617_120621,d9db3658c991,spark-worker-4,13.37%,4.921GiB / 10GiB,49.21%,4.71MB / 2.38MB,0B / 0B,88
20250617_120621,ec39dfa29337,spark-worker-5,13.97%,4.408GiB / 10GiB,44.08%,4.62MB / 2.07MB,0B / 0B,87
20250617_120621,82e8dc373feb,spark-master,0.60%,934.5MiB / 4GiB,22.82%,10.2MB / 25.1MB,0B / 0B,160
20250617_120629,8896faf2c28a,spark-worker-3,13.43%,5.885GiB / 10GiB,58.85%,4.77MB / 2.81MB,0B / 0B,86
20250617_120629,bd3eccc510a1,spark-worker-2,13.62%,4.246GiB / 10GiB,42.46%,4.58MB / 2.27MB,0B / 0B,86
20250617_120629,72ea5f833e39,spark-worker-1,13.46%,3.942GiB / 10GiB,39.42%,4.71MB / 2.16MB,0B / 0B,85
20250617_120629,d9db3658c991,spark-worker-4,13.44%,4.921GiB / 10GiB,49.21%,4.71MB / 2.38MB,0B / 0B,88
20250617_120629,ec39dfa29337,spark-worker-5,13.93%,4.408GiB / 10GiB,44.08%,4.62MB / 2.07MB,0B / 0B,87
20250617_120629,82e8dc373feb,spark-master,1.87%,935.2MiB / 4GiB,22.83%,10.2MB / 25.4MB,0B / 0B,160
20250617_120636,8896faf2c28a,spark-worker-3,14.73%,5.885GiB / 10GiB,58.85%,4.77MB / 2.82MB,0B / 0B,86
20250617_120636,bd3eccc510a1,spark-worker-2,15.26%,4.246GiB / 10GiB,42.46%,4.58MB / 2.27MB,0B / 0B,86
20250617_120636,72ea5f833e39,spark-worker-1,14.99%,3.942GiB / 10GiB,39.42%,4.71MB / 2.16MB,0B / 0B,85
20250617_120636,d9db3658c991,spark-worker-4,15.21%,4.922GiB / 10GiB,49.22%,4.71MB / 2.39MB,0B / 0B,88
20250617_120636,ec39dfa29337,spark-worker-5,15.29%,4.408GiB / 10GiB,44.08%,4.62MB / 2.08MB,0B / 0B,87
20250617_120636,82e8dc373feb,spark-master,0.34%,934.4MiB / 4GiB,22.81%,10.2MB / 25.4MB,0B / 0B,160
20250617_120643,8896faf2c28a,spark-worker-3,171.34%,5.885GiB / 10GiB,58.85%,4.8MB / 2.83MB,0B / 0B,86
20250617_120643,bd3eccc510a1,spark-worker-2,175.86%,4.246GiB / 10GiB,42.46%,4.61MB / 2.29MB,0B / 0B,86
20250617_120643,72ea5f833e39,spark-worker-1,168.45%,3.943GiB / 10GiB,39.43%,4.74MB / 2.18MB,0B / 0B,85
20250617_120643,d9db3658c991,spark-worker-4,170.37%,4.922GiB / 10GiB,49.22%,4.74MB / 2.4MB,0B / 0B,88
20250617_120643,ec39dfa29337,spark-worker-5,166.65%,4.409GiB / 10GiB,44.09%,4.65MB / 2.09MB,0B / 0B,87
20250617_120643,82e8dc373feb,spark-master,0.99%,934.6MiB / 4GiB,22.82%,10.3MB / 25.6MB,0B / 0B,160
20250617_120651,8896faf2c28a,spark-worker-3,172.07%,5.886GiB / 10GiB,58.86%,4.8MB / 2.84MB,0B / 0B,86
20250617_120651,bd3eccc510a1,spark-worker-2,16.39%,4.247GiB / 10GiB,42.47%,4.61MB / 2.3MB,0B / 0B,86
20250617_120651,72ea5f833e39,spark-worker-1,16.00%,4.177GiB / 10GiB,41.77%,4.74MB / 2.18MB,0B / 0B,85
20250617_120651,d9db3658c991,spark-worker-4,155.17%,4.949GiB / 10GiB,49.49%,4.74MB / 2.4MB,0B / 0B,88
20250617_120651,ec39dfa29337,spark-worker-5,21.69%,4.408GiB / 10GiB,44.08%,4.65MB / 2.1MB,0B / 0B,87
20250617_120651,82e8dc373feb,spark-master,0.75%,934.9MiB / 4GiB,22.82%,10.3MB / 25.9MB,0B / 0B,161
20250617_120659,8896faf2c28a,spark-worker-3,13.92%,5.886GiB / 10GiB,58.86%,4.8MB / 2.84MB,0B / 0B,86
20250617_120659,bd3eccc510a1,spark-worker-2,13.98%,4.247GiB / 10GiB,42.47%,4.61MB / 2.3MB,0B / 0B,86
20250617_120659,72ea5f833e39,spark-worker-1,14.39%,4.177GiB / 10GiB,41.77%,4.74MB / 2.18MB,0B / 0B,85
20250617_120659,d9db3658c991,spark-worker-4,13.95%,4.949GiB / 10GiB,49.49%,4.74MB / 2.41MB,0B / 0B,88
20250617_120659,ec39dfa29337,spark-worker-5,14.63%,4.408GiB / 10GiB,44.08%,4.65MB / 2.1MB,0B / 0B,87
20250617_120659,82e8dc373feb,spark-master,0.32%,935.1MiB / 4GiB,22.83%,10.3MB / 25.9MB,0B / 0B,161
