timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_115625,8896faf2c28a,spark-worker-3,172.00%,4.625GiB / 10GiB,46.25%,3.78MB / 1.96MB,0B / 0B,86
20250617_115625,bd3eccc510a1,spark-worker-2,177.60%,4.412GiB / 10GiB,44.12%,3.62MB / 1.82MB,0B / 0B,89
20250617_115625,72ea5f833e39,spark-worker-1,179.00%,5.526GiB / 10GiB,55.26%,3.65MB / 1.73MB,0B / 0B,86
20250617_115625,d9db3658c991,spark-worker-4,177.08%,5.406GiB / 10GiB,54.06%,3.75MB / 1.92MB,0B / 0B,86
20250617_115625,ec39dfa29337,spark-worker-5,174.74%,5.212GiB / 10GiB,52.12%,3.67MB / 1.67MB,0B / 0B,87
20250617_115625,82e8dc373feb,spark-master,1.15%,905MiB / 4GiB,22.10%,8MB / 18.4MB,0B / 0B,160
20250617_115633,8896faf2c28a,spark-worker-3,13.80%,4.624GiB / 10GiB,46.24%,3.78MB / 1.97MB,0B / 0B,86
20250617_115633,bd3eccc510a1,spark-worker-2,14.50%,4.412GiB / 10GiB,44.12%,3.62MB / 1.82MB,0B / 0B,89
20250617_115633,72ea5f833e39,spark-worker-1,13.63%,5.525GiB / 10GiB,55.25%,3.65MB / 1.73MB,0B / 0B,86
20250617_115633,d9db3658c991,spark-worker-4,14.18%,5.406GiB / 10GiB,54.06%,3.75MB / 1.93MB,0B / 0B,86
20250617_115633,ec39dfa29337,spark-worker-5,14.19%,5.212GiB / 10GiB,52.12%,3.67MB / 1.67MB,0B / 0B,87
20250617_115633,82e8dc373feb,spark-master,0.49%,905.1MiB / 4GiB,22.10%,8.02MB / 18.4MB,0B / 0B,159
20250617_115640,8896faf2c28a,spark-worker-3,13.32%,4.624GiB / 10GiB,46.24%,3.78MB / 1.97MB,0B / 0B,86
20250617_115640,bd3eccc510a1,spark-worker-2,14.11%,4.412GiB / 10GiB,44.12%,3.62MB / 1.83MB,0B / 0B,89
20250617_115640,72ea5f833e39,spark-worker-1,13.64%,5.526GiB / 10GiB,55.26%,3.65MB / 1.74MB,0B / 0B,86
20250617_115640,d9db3658c991,spark-worker-4,14.32%,5.406GiB / 10GiB,54.06%,3.75MB / 1.93MB,0B / 0B,86
20250617_115640,ec39dfa29337,spark-worker-5,13.27%,5.212GiB / 10GiB,52.12%,3.67MB / 1.67MB,0B / 0B,87
20250617_115640,82e8dc373feb,spark-master,0.53%,905.2MiB / 4GiB,22.10%,8.03MB / 18.4MB,0B / 0B,159
20250617_115648,8896faf2c28a,spark-worker-3,26.11%,316.1MiB / 10GiB,3.09%,3.79MB / 1.98MB,0B / 0B,37
20250617_115648,bd3eccc510a1,spark-worker-2,0.06%,316.8MiB / 10GiB,3.09%,3.63MB / 1.84MB,0B / 0B,37
20250617_115648,72ea5f833e39,spark-worker-1,22.14%,289.5MiB / 10GiB,2.83%,3.65MB / 1.75MB,0B / 0B,37
20250617_115648,d9db3658c991,spark-worker-4,0.05%,294.4MiB / 10GiB,2.87%,3.75MB / 1.95MB,0B / 0B,37
20250617_115648,ec39dfa29337,spark-worker-5,0.07%,286.2MiB / 10GiB,2.80%,3.67MB / 1.69MB,0B / 0B,38
20250617_115648,82e8dc373feb,spark-master,2.31%,396.3MiB / 4GiB,9.68%,8.1MB / 18.4MB,0B / 0B,39
