timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_130131,8896faf2c28a,spark-worker-3,120.46%,787.1MiB / 10GiB,7.69%,10.6MB / 5.9MB,0B / 0B,77
20250617_130131,bd3eccc510a1,spark-worker-2,20.44%,482.9MiB / 10GiB,4.72%,10.3MB / 5.2MB,0B / 0B,72
20250617_130131,72ea5f833e39,spark-worker-1,0.78%,494.7MiB / 10GiB,4.83%,10.3MB / 5.06MB,0B / 0B,73
20250617_130131,d9db3658c991,spark-worker-4,169.04%,483.9MiB / 10GiB,4.73%,10.3MB / 4.98MB,0B / 0B,74
20250617_130131,ec39dfa29337,spark-worker-5,26.13%,579MiB / 10GiB,5.65%,10.3MB / 5.21MB,0B / 0B,74
20250617_130131,82e8dc373feb,spark-master,5.56%,779MiB / 4GiB,19.02%,23.4MB / 56.5MB,0B / 0B,115
20250617_130138,8896faf2c28a,spark-worker-3,181.67%,783.2MiB / 10GiB,7.65%,10.7MB / 5.99MB,0B / 0B,80
20250617_130138,bd3eccc510a1,spark-worker-2,174.18%,517.3MiB / 10GiB,5.05%,10.4MB / 5.21MB,0B / 0B,78
20250617_130138,72ea5f833e39,spark-worker-1,191.85%,521.4MiB / 10GiB,5.09%,10.4MB / 5.06MB,0B / 0B,78
20250617_130138,d9db3658c991,spark-worker-4,190.50%,525.2MiB / 10GiB,5.13%,10.4MB / 4.99MB,0B / 0B,78
20250617_130138,ec39dfa29337,spark-worker-5,183.56%,588.4MiB / 10GiB,5.75%,10.4MB / 5.22MB,0B / 0B,79
20250617_130138,82e8dc373feb,spark-master,4.09%,863.3MiB / 4GiB,21.08%,23.4MB / 56.9MB,0B / 0B,132
20250617_130146,8896faf2c28a,spark-worker-3,161.38%,1.517GiB / 10GiB,15.17%,10.7MB / 6.07MB,0B / 0B,82
20250617_130146,bd3eccc510a1,spark-worker-2,201.24%,1.024GiB / 10GiB,10.24%,10.5MB / 5.21MB,0B / 0B,81
20250617_130146,72ea5f833e39,spark-worker-1,197.42%,1.128GiB / 10GiB,11.28%,10.4MB / 5.07MB,0B / 0B,81
20250617_130146,d9db3658c991,spark-worker-4,205.10%,1.067GiB / 10GiB,10.67%,10.5MB / 5.03MB,0B / 0B,81
20250617_130146,ec39dfa29337,spark-worker-5,200.51%,951.2MiB / 10GiB,9.29%,10.5MB / 5.22MB,0B / 0B,81
20250617_130146,82e8dc373feb,spark-master,0.73%,866.5MiB / 4GiB,21.15%,23.5MB / 57MB,0B / 0B,131
20250617_130153,8896faf2c28a,spark-worker-3,185.74%,2.831GiB / 10GiB,28.31%,10.7MB / 6.08MB,0B / 0B,83
20250617_130153,bd3eccc510a1,spark-worker-2,196.19%,2.101GiB / 10GiB,21.01%,10.5MB / 5.21MB,0B / 0B,81
20250617_130153,72ea5f833e39,spark-worker-1,195.61%,1.726GiB / 10GiB,17.26%,10.4MB / 5.07MB,0B / 0B,82
20250617_130153,d9db3658c991,spark-worker-4,195.34%,1.642GiB / 10GiB,16.42%,10.5MB / 5.03MB,0B / 0B,82
20250617_130153,ec39dfa29337,spark-worker-5,195.81%,1.609GiB / 10GiB,16.09%,10.5MB / 5.23MB,0B / 0B,82
20250617_130153,82e8dc373feb,spark-master,6.26%,866.9MiB / 4GiB,21.16%,23.5MB / 57MB,0B / 0B,131
20250617_130201,8896faf2c28a,spark-worker-3,91.75%,3.32GiB / 10GiB,33.20%,10.7MB / 6.08MB,0B / 0B,83
20250617_130201,bd3eccc510a1,spark-worker-2,196.78%,2.453GiB / 10GiB,24.53%,10.5MB / 5.22MB,0B / 0B,81
20250617_130201,72ea5f833e39,spark-worker-1,170.57%,3.003GiB / 10GiB,30.03%,10.4MB / 5.07MB,0B / 0B,82
20250617_130201,d9db3658c991,spark-worker-4,201.30%,2.411GiB / 10GiB,24.11%,10.5MB / 5.04MB,0B / 0B,82
20250617_130201,ec39dfa29337,spark-worker-5,182.39%,2.663GiB / 10GiB,26.63%,10.5MB / 5.23MB,0B / 0B,82
