timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250619_184352,51a9f1b7c4c2,spark-worker-4,6.64%,6.357GiB / 10GiB,63.57%,3.31MB / 1.85MB,0B / 0B,82
20250619_184352,a944cfc63a89,spark-worker-5,7.03%,5.857GiB / 10GiB,58.57%,3.23MB / 1.89MB,0B / 0B,83
20250619_184352,c5586aed1f99,spark-worker-1,6.70%,6.592GiB / 10GiB,65.92%,2.78MB / 1.55MB,0B / 0B,82
20250619_184352,e8d428256f65,spark-worker-2,6.70%,6.048GiB / 10GiB,60.48%,2.71MB / 1.45MB,0B / 0B,82
20250619_184352,fbcc1ff79ee1,spark-worker-3,6.78%,6.298GiB / 10GiB,62.98%,2.72MB / 1.67MB,0B / 0B,84
20250619_184352,2566b68295c7,spark-master,0.36%,812MiB / 4GiB,19.82%,7.38MB / 13.7MB,0B / 0B,143
20250619_184400,51a9f1b7c4c2,spark-worker-4,150.88%,6.11GiB / 10GiB,61.10%,3.31MB / 1.85MB,0B / 0B,83
20250619_184400,a944cfc63a89,spark-worker-5,180.69%,5.604GiB / 10GiB,56.04%,3.23MB / 1.89MB,0B / 0B,83
20250619_184400,c5586aed1f99,spark-worker-1,182.81%,6.34GiB / 10GiB,63.40%,2.78MB / 1.55MB,0B / 0B,83
20250619_184400,e8d428256f65,spark-worker-2,178.17%,5.825GiB / 10GiB,58.25%,2.71MB / 1.45MB,0B / 0B,82
20250619_184400,fbcc1ff79ee1,spark-worker-3,159.15%,6.046GiB / 10GiB,60.46%,2.72MB / 1.68MB,0B / 0B,84
20250619_184400,2566b68295c7,spark-master,0.87%,807.3MiB / 4GiB,19.71%,7.4MB / 13.7MB,0B / 0B,143
20250619_184408,51a9f1b7c4c2,spark-worker-4,71.04%,6.11GiB / 10GiB,61.10%,3.31MB / 1.85MB,0B / 0B,83
20250619_184408,a944cfc63a89,spark-worker-5,153.06%,5.604GiB / 10GiB,56.04%,3.23MB / 1.9MB,0B / 0B,83
20250619_184408,c5586aed1f99,spark-worker-1,77.13%,6.339GiB / 10GiB,63.39%,2.78MB / 1.55MB,0B / 0B,83
20250619_184408,e8d428256f65,spark-worker-2,42.92%,5.825GiB / 10GiB,58.25%,2.71MB / 1.45MB,0B / 0B,82
20250619_184408,fbcc1ff79ee1,spark-worker-3,62.35%,6.778GiB / 10GiB,67.78%,2.72MB / 1.68MB,0B / 0B,83
20250619_184408,2566b68295c7,spark-master,1.21%,807.4MiB / 4GiB,19.71%,7.41MB / 13.7MB,0B / 0B,143
20250619_184415,51a9f1b7c4c2,spark-worker-4,12.98%,6.114GiB / 10GiB,61.14%,3.31MB / 1.86MB,0B / 0B,83
20250619_184415,a944cfc63a89,spark-worker-5,13.05%,5.609GiB / 10GiB,56.09%,3.23MB / 1.9MB,0B / 0B,83
20250619_184415,c5586aed1f99,spark-worker-1,13.72%,6.346GiB / 10GiB,63.46%,2.78MB / 1.56MB,0B / 0B,83
20250619_184415,e8d428256f65,spark-worker-2,12.93%,5.831GiB / 10GiB,58.31%,2.71MB / 1.45MB,0B / 0B,82
20250619_184415,fbcc1ff79ee1,spark-worker-3,13.12%,6.785GiB / 10GiB,67.85%,2.72MB / 1.68MB,0B / 0B,83
20250619_184415,2566b68295c7,spark-master,0.32%,807.6MiB / 4GiB,19.72%,7.42MB / 13.7MB,0B / 0B,143
20250619_184422,51a9f1b7c4c2,spark-worker-4,7.00%,6.253GiB / 10GiB,62.53%,3.33MB / 1.87MB,0B / 0B,83
20250619_184422,a944cfc63a89,spark-worker-5,13.93%,5.619GiB / 10GiB,56.19%,3.25MB / 1.91MB,0B / 0B,83
20250619_184422,c5586aed1f99,spark-worker-1,16.37%,6.471GiB / 10GiB,64.71%,2.81MB / 1.57MB,0B / 0B,83
20250619_184422,e8d428256f65,spark-worker-2,74.84%,5.902GiB / 10GiB,59.02%,2.74MB / 1.47MB,0B / 0B,82
20250619_184422,fbcc1ff79ee1,spark-worker-3,17.02%,6.944GiB / 10GiB,69.44%,2.74MB / 1.7MB,0B / 0B,83
20250619_184422,2566b68295c7,spark-master,1.86%,807.6MiB / 4GiB,19.72%,7.5MB / 13.8MB,0B / 0B,143
20250619_184430,51a9f1b7c4c2,spark-worker-4,187.07%,6.297GiB / 10GiB,62.97%,3.33MB / 1.88MB,0B / 0B,83
20250619_184430,a944cfc63a89,spark-worker-5,195.14%,5.615GiB / 10GiB,56.15%,3.26MB / 1.92MB,0B / 0B,83
20250619_184430,c5586aed1f99,spark-worker-1,203.26%,6.619GiB / 10GiB,66.19%,2.81MB / 1.58MB,0B / 0B,83
20250619_184430,e8d428256f65,spark-worker-2,169.55%,5.832GiB / 10GiB,58.32%,2.74MB / 1.47MB,0B / 0B,82
20250619_184430,fbcc1ff79ee1,spark-worker-3,197.68%,6.883GiB / 10GiB,68.83%,2.74MB / 1.7MB,0B / 0B,83
20250619_184430,2566b68295c7,spark-master,3.29%,808.2MiB / 4GiB,19.73%,7.52MB / 13.8MB,0B / 0B,143
20250619_184438,51a9f1b7c4c2,spark-worker-4,158.70%,6.297GiB / 10GiB,62.97%,3.33MB / 1.88MB,0B / 0B,83
20250619_184438,a944cfc63a89,spark-worker-5,155.10%,6.45GiB / 10GiB,64.50%,3.26MB / 1.92MB,0B / 0B,83
20250619_184438,c5586aed1f99,spark-worker-1,146.86%,7.097GiB / 10GiB,70.97%,2.81MB / 1.58MB,0B / 0B,83
20250619_184438,e8d428256f65,spark-worker-2,84.56%,6.522GiB / 10GiB,65.22%,2.74MB / 1.47MB,0B / 0B,82
20250619_184438,fbcc1ff79ee1,spark-worker-3,170.43%,7.481GiB / 10GiB,74.81%,2.74MB / 1.7MB,0B / 0B,83
20250619_184438,2566b68295c7,spark-master,0.95%,808.3MiB / 4GiB,19.73%,7.53MB / 13.8MB,0B / 0B,143
20250619_184445,51a9f1b7c4c2,spark-worker-4,13.78%,6.297GiB / 10GiB,62.97%,3.34MB / 1.88MB,0B / 0B,83
