timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_130931,8896faf2c28a,spark-worker-3,191.47%,7.753GiB / 10GiB,77.53%,11.4MB / 6.46MB,0B / 0B,90
20250617_130931,bd3eccc510a1,spark-worker-2,192.35%,8.741GiB / 10GiB,87.41%,11.1MB / 5.59MB,0B / 0B,89
20250617_130931,72ea5f833e39,spark-worker-1,178.14%,7.485GiB / 10GiB,74.85%,11.1MB / 5.52MB,0B / 0B,90
20250617_130931,d9db3658c991,spark-worker-4,181.42%,7.677GiB / 10GiB,76.77%,11.2MB / 5.42MB,0B / 0B,89
20250617_130931,ec39dfa29337,spark-worker-5,198.95%,8.324GiB / 10GiB,83.24%,11.1MB / 5.59MB,0B / 0B,89
20250617_130931,82e8dc373feb,spark-master,2.38%,897.4MiB / 4GiB,21.91%,25.4MB / 60.4MB,0B / 0B,178
20250617_130939,8896faf2c28a,spark-worker-3,136.58%,7.753GiB / 10GiB,77.53%,11.4MB / 6.46MB,0B / 0B,90
20250617_130939,bd3eccc510a1,spark-worker-2,142.69%,8.743GiB / 10GiB,87.43%,11.1MB / 5.59MB,0B / 0B,89
20250617_130939,72ea5f833e39,spark-worker-1,130.16%,7.486GiB / 10GiB,74.86%,11.1MB / 5.52MB,0B / 0B,90
20250617_130939,d9db3658c991,spark-worker-4,139.52%,7.682GiB / 10GiB,76.82%,11.2MB / 5.42MB,0B / 0B,89
20250617_130939,ec39dfa29337,spark-worker-5,146.77%,8.327GiB / 10GiB,83.27%,11.1MB / 5.59MB,0B / 0B,89
20250617_130939,82e8dc373feb,spark-master,6.98%,897.7MiB / 4GiB,21.92%,25.4MB / 60.4MB,0B / 0B,178
20250617_130946,8896faf2c28a,spark-worker-3,14.41%,7.753GiB / 10GiB,77.53%,11.4MB / 6.46MB,0B / 0B,90
20250617_130946,bd3eccc510a1,spark-worker-2,13.24%,8.743GiB / 10GiB,87.43%,11.1MB / 5.59MB,0B / 0B,89
20250617_130946,72ea5f833e39,spark-worker-1,14.31%,7.486GiB / 10GiB,74.86%,11.1MB / 5.52MB,0B / 0B,90
20250617_130946,d9db3658c991,spark-worker-4,14.07%,7.682GiB / 10GiB,76.82%,11.2MB / 5.42MB,0B / 0B,89
20250617_130946,ec39dfa29337,spark-worker-5,14.35%,8.327GiB / 10GiB,83.27%,11.1MB / 5.6MB,0B / 0B,89
20250617_130946,82e8dc373feb,spark-master,0.66%,897.6MiB / 4GiB,21.91%,25.4MB / 60.4MB,0B / 0B,178
20250617_130954,8896faf2c28a,spark-worker-3,16.41%,7.766GiB / 10GiB,77.66%,11.5MB / 6.47MB,0B / 0B,90
20250617_130954,bd3eccc510a1,spark-worker-2,13.04%,8.742GiB / 10GiB,87.42%,11.1MB / 5.6MB,0B / 0B,89
20250617_130954,72ea5f833e39,spark-worker-1,65.72%,7.543GiB / 10GiB,75.43%,11.1MB / 5.54MB,0B / 0B,90
20250617_130954,d9db3658c991,spark-worker-4,16.67%,7.692GiB / 10GiB,76.92%,11.2MB / 5.43MB,0B / 0B,89
20250617_130954,ec39dfa29337,spark-worker-5,11.93%,8.327GiB / 10GiB,83.27%,11.1MB / 5.6MB,0B / 0B,89
20250617_130954,82e8dc373feb,spark-master,2.53%,897.5MiB / 4GiB,21.91%,25.4MB / 60.4MB,0B / 0B,178
20250617_131002,8896faf2c28a,spark-worker-3,201.23%,7.754GiB / 10GiB,77.54%,11.5MB / 6.48MB,0B / 0B,90
20250617_131002,bd3eccc510a1,spark-worker-2,164.37%,8.743GiB / 10GiB,87.43%,11.2MB / 5.62MB,0B / 0B,89
20250617_131002,72ea5f833e39,spark-worker-1,173.25%,7.488GiB / 10GiB,74.88%,11.1MB / 5.54MB,0B / 0B,90
20250617_131002,d9db3658c991,spark-worker-4,160.72%,7.683GiB / 10GiB,76.83%,11.2MB / 5.44MB,0B / 0B,89
20250617_131002,ec39dfa29337,spark-worker-5,193.81%,8.327GiB / 10GiB,83.27%,11.1MB / 5.61MB,0B / 0B,89
20250617_131002,82e8dc373feb,spark-master,1.03%,897.5MiB / 4GiB,21.91%,25.5MB / 60.5MB,0B / 0B,178
20250617_131009,8896faf2c28a,spark-worker-3,81.07%,7.762GiB / 10GiB,77.62%,11.5MB / 6.48MB,0B / 0B,90
20250617_131009,bd3eccc510a1,spark-worker-2,144.54%,8.743GiB / 10GiB,87.43%,11.2MB / 5.62MB,0B / 0B,89
20250617_131009,72ea5f833e39,spark-worker-1,16.02%,7.488GiB / 10GiB,74.88%,11.1MB / 5.54MB,0B / 0B,90
20250617_131009,d9db3658c991,spark-worker-4,50.01%,7.683GiB / 10GiB,76.83%,11.2MB / 5.44MB,0B / 0B,89
20250617_131009,ec39dfa29337,spark-worker-5,137.20%,8.328GiB / 10GiB,83.28%,11.1MB / 5.62MB,0B / 0B,89
20250617_131009,82e8dc373feb,spark-master,0.64%,897.6MiB / 4GiB,21.91%,25.5MB / 60.5MB,0B / 0B,178
20250617_131016,8896faf2c28a,spark-worker-3,12.25%,7.762GiB / 10GiB,77.62%,11.5MB / 6.49MB,0B / 0B,90
20250617_131016,bd3eccc510a1,spark-worker-2,13.94%,8.743GiB / 10GiB,87.43%,11.2MB / 5.62MB,0B / 0B,89
