timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250619_191220,51a9f1b7c4c2,spark-worker-4,99.85%,8.896GiB / 10GiB,88.96%,5.65MB / 3.09MB,0B / 0B,85
20250619_191220,a944cfc63a89,spark-worker-5,114.30%,8.092GiB / 10GiB,80.92%,5.49MB / 3.44MB,0B / 0B,86
20250619_191220,c5586aed1f99,spark-worker-1,6.74%,8.847GiB / 10GiB,88.47%,5.11MB / 2.87MB,0B / 0B,85
20250619_191220,e8d428256f65,spark-worker-2,112.20%,8.257GiB / 10GiB,82.57%,4.97MB / 2.81MB,0B / 0B,87
20250619_191220,fbcc1ff79ee1,spark-worker-3,116.00%,7.412GiB / 10GiB,74.12%,4.95MB / 2.91MB,0B / 0B,85
20250619_191220,2566b68295c7,spark-master,0.47%,812.9MiB / 4GiB,19.85%,13.6MB / 24.6MB,0B / 0B,159
20250619_191227,51a9f1b7c4c2,spark-worker-4,152.42%,8.976GiB / 10GiB,89.76%,5.65MB / 3.09MB,0B / 0B,85
20250619_191227,a944cfc63a89,spark-worker-5,204.51%,8.092GiB / 10GiB,80.92%,5.49MB / 3.44MB,0B / 0B,86
20250619_191227,c5586aed1f99,spark-worker-1,202.53%,8.668GiB / 10GiB,86.68%,5.11MB / 2.87MB,0B / 0B,85
20250619_191227,e8d428256f65,spark-worker-2,141.43%,8.257GiB / 10GiB,82.57%,4.97MB / 2.81MB,0B / 0B,88
20250619_191227,fbcc1ff79ee1,spark-worker-3,199.86%,7.414GiB / 10GiB,74.14%,4.95MB / 2.91MB,0B / 0B,87
20250619_191227,2566b68295c7,spark-master,3.35%,812.9MiB / 4GiB,19.85%,13.6MB / 24.6MB,0B / 0B,159
20250619_191235,51a9f1b7c4c2,spark-worker-4,155.25%,8.976GiB / 10GiB,89.76%,5.65MB / 3.09MB,0B / 0B,85
20250619_191235,a944cfc63a89,spark-worker-5,149.12%,8.298GiB / 10GiB,82.98%,5.49MB / 3.44MB,0B / 0B,87
20250619_191235,c5586aed1f99,spark-worker-1,145.65%,8.669GiB / 10GiB,86.69%,5.11MB / 2.87MB,0B / 0B,85
20250619_191235,e8d428256f65,spark-worker-2,151.48%,8.257GiB / 10GiB,82.57%,4.97MB / 2.82MB,0B / 0B,88
20250619_191235,fbcc1ff79ee1,spark-worker-3,161.21%,7.78GiB / 10GiB,77.80%,4.95MB / 2.91MB,0B / 0B,85
20250619_191235,2566b68295c7,spark-master,0.86%,812.9MiB / 4GiB,19.85%,13.6MB / 24.6MB,0B / 0B,159
20250619_191242,51a9f1b7c4c2,spark-worker-4,14.45%,8.976GiB / 10GiB,89.76%,5.65MB / 3.09MB,0B / 0B,85
20250619_191242,a944cfc63a89,spark-worker-5,12.72%,8.417GiB / 10GiB,84.17%,5.49MB / 3.44MB,0B / 0B,87
20250619_191242,c5586aed1f99,spark-worker-1,13.35%,8.669GiB / 10GiB,86.69%,5.11MB / 2.87MB,0B / 0B,85
20250619_191242,e8d428256f65,spark-worker-2,13.20%,8.257GiB / 10GiB,82.57%,4.97MB / 2.82MB,0B / 0B,88
20250619_191242,fbcc1ff79ee1,spark-worker-3,13.20%,7.829GiB / 10GiB,78.29%,4.95MB / 2.92MB,0B / 0B,85
20250619_191242,2566b68295c7,spark-master,0.57%,813.4MiB / 4GiB,19.86%,13.6MB / 24.6MB,0B / 0B,159
20250619_191250,51a9f1b7c4c2,spark-worker-4,27.08%,9.105GiB / 10GiB,91.05%,5.68MB / 3.11MB,0B / 0B,85
20250619_191250,a944cfc63a89,spark-worker-5,11.29%,8.417GiB / 10GiB,84.17%,5.49MB / 3.45MB,0B / 0B,87
20250619_191250,c5586aed1f99,spark-worker-1,11.18%,8.669GiB / 10GiB,86.69%,5.11MB / 2.88MB,0B / 0B,85
20250619_191250,e8d428256f65,spark-worker-2,19.69%,8.293GiB / 10GiB,82.93%,4.99MB / 2.83MB,0B / 0B,88
20250619_191250,fbcc1ff79ee1,spark-worker-3,11.23%,7.829GiB / 10GiB,78.29%,4.95MB / 2.92MB,0B / 0B,85
20250619_191250,2566b68295c7,spark-master,1.79%,813.1MiB / 4GiB,19.85%,13.6MB / 24.6MB,0B / 0B,159
20250619_191258,51a9f1b7c4c2,spark-worker-4,183.74%,8.977GiB / 10GiB,89.77%,5.68MB / 3.11MB,0B / 0B,85
20250619_191258,a944cfc63a89,spark-worker-5,196.12%,8.417GiB / 10GiB,84.17%,5.52MB / 3.46MB,0B / 0B,87
20250619_191258,c5586aed1f99,spark-worker-1,199.31%,8.669GiB / 10GiB,86.69%,5.14MB / 2.9MB,0B / 0B,85
20250619_191258,e8d428256f65,spark-worker-2,188.71%,8.257GiB / 10GiB,82.57%,5MB / 2.84MB,0B / 0B,88
20250619_191258,fbcc1ff79ee1,spark-worker-3,197.00%,7.829GiB / 10GiB,78.29%,4.98MB / 2.93MB,0B / 0B,85
20250619_191258,2566b68295c7,spark-master,1.27%,813MiB / 4GiB,19.85%,13.7MB / 24.7MB,0B / 0B,159
20250619_191305,51a9f1b7c4c2,spark-worker-4,155.56%,9.163GiB / 10GiB,91.63%,5.68MB / 3.12MB,0B / 0B,82
20250619_191305,a944cfc63a89,spark-worker-5,152.78%,8.684GiB / 10GiB,86.84%,5.52MB / 3.46MB,0B / 0B,84
20250619_191305,c5586aed1f99,spark-worker-1,155.86%,8.669GiB / 10GiB,86.69%,5.14MB / 2.9MB,0B / 0B,82
20250619_191305,e8d428256f65,spark-worker-2,160.43%,8.585GiB / 10GiB,85.85%,5MB / 2.84MB,0B / 0B,85
20250619_191305,fbcc1ff79ee1,spark-worker-3,191.17%,8.125GiB / 10GiB,81.25%,4.98MB / 2.94MB,0B / 0B,82
20250619_191305,2566b68295c7,spark-master,6.67%,811.8MiB / 4GiB,19.82%,13.7MB / 24.8MB,0B / 0B,144
20250619_191312,51a9f1b7c4c2,spark-worker-4,15.81%,9.163GiB / 10GiB,91.63%,5.68MB / 3.12MB,0B / 0B,82
20250619_191312,a944cfc63a89,spark-worker-5,15.16%,8.684GiB / 10GiB,86.84%,5.52MB / 3.47MB,0B / 0B,81
20250619_191312,c5586aed1f99,spark-worker-1,32.04%,8.795GiB / 10GiB,87.95%,5.14MB / 2.9MB,0B / 0B,79
20250619_191312,e8d428256f65,spark-worker-2,16.50%,8.585GiB / 10GiB,85.85%,5MB / 2.84MB,0B / 0B,85
