timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250617_131746,8896faf2c28a,spark-worker-3,161.41%,9.363GiB / 10GiB,93.63%,12.2MB / 6.86MB,0B / 0B,85
20250617_131746,bd3eccc510a1,spark-worker-2,172.95%,9.581GiB / 10GiB,95.81%,11.8MB / 6.03MB,0B / 0B,83
20250617_131746,72ea5f833e39,spark-worker-1,168.49%,8.714GiB / 10GiB,87.14%,11.8MB / 6.01MB,0B / 0B,85
20250617_131746,d9db3658c991,spark-worker-4,175.05%,8.615GiB / 10GiB,86.15%,11.9MB / 5.82MB,0B / 0B,82
20250617_131746,ec39dfa29337,spark-worker-5,166.77%,9.459GiB / 10GiB,94.59%,11.8MB / 5.99MB,0B / 0B,83
20250617_131746,82e8dc373feb,spark-master,1.53%,918MiB / 4GiB,22.41%,27.5MB / 64.9MB,0B / 0B,148
20250617_131754,8896faf2c28a,spark-worker-3,95.69%,9.363GiB / 10GiB,93.63%,12.2MB / 6.87MB,0B / 0B,85
20250617_131754,bd3eccc510a1,spark-worker-2,148.59%,9.581GiB / 10GiB,95.81%,11.8MB / 6.03MB,0B / 0B,83
20250617_131754,72ea5f833e39,spark-worker-1,160.96%,8.714GiB / 10GiB,87.14%,11.8MB / 6.02MB,0B / 0B,85
20250617_131754,d9db3658c991,spark-worker-4,139.22%,8.615GiB / 10GiB,86.15%,11.9MB / 5.83MB,0B / 0B,82
20250617_131754,ec39dfa29337,spark-worker-5,159.48%,9.459GiB / 10GiB,94.59%,11.8MB / 5.99MB,0B / 0B,83
20250617_131754,82e8dc373feb,spark-master,0.46%,917.9MiB / 4GiB,22.41%,27.5MB / 64.9MB,0B / 0B,148
20250617_131802,8896faf2c28a,spark-worker-3,13.54%,9.363GiB / 10GiB,93.63%,12.2MB / 6.87MB,0B / 0B,85
20250617_131802,bd3eccc510a1,spark-worker-2,13.51%,9.581GiB / 10GiB,95.81%,11.8MB / 6.04MB,0B / 0B,83
20250617_131802,72ea5f833e39,spark-worker-1,13.37%,8.714GiB / 10GiB,87.14%,11.8MB / 6.02MB,0B / 0B,85
20250617_131802,d9db3658c991,spark-worker-4,13.39%,8.615GiB / 10GiB,86.15%,11.9MB / 5.83MB,0B / 0B,82
20250617_131802,ec39dfa29337,spark-worker-5,13.81%,9.459GiB / 10GiB,94.59%,11.8MB / 5.99MB,0B / 0B,83
20250617_131802,82e8dc373feb,spark-master,1.58%,918MiB / 4GiB,22.41%,27.5MB / 64.9MB,0B / 0B,148
20250617_131809,8896faf2c28a,spark-worker-3,182.74%,9.363GiB / 10GiB,93.63%,12.2MB / 6.89MB,0B / 0B,85
20250617_131809,bd3eccc510a1,spark-worker-2,44.84%,9.581GiB / 10GiB,95.81%,11.9MB / 6.05MB,0B / 0B,83
20250617_131809,72ea5f833e39,spark-worker-1,171.36%,8.714GiB / 10GiB,87.14%,11.9MB / 6.03MB,0B / 0B,85
20250617_131809,d9db3658c991,spark-worker-4,154.26%,8.615GiB / 10GiB,86.15%,11.9MB / 5.85MB,0B / 0B,82
