timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_134010,8896faf2c28a,spark-worker-3,166.67%,381MiB / 10GiB,3.72%,5.08GB / 5.42GB,0B / 0B,58
20250618_134010,bd3eccc510a1,spark-worker-2,167.94%,386.6MiB / 10GiB,3.78%,5.36GB / 5.17GB,0B / 0B,58
20250618_134010,72ea5f833e39,spark-worker-1,186.22%,437.2MiB / 10GiB,4.27%,5.3GB / 5.41GB,0B / 0B,58
20250618_134010,d9db3658c991,spark-worker-4,187.16%,447.2MiB / 10GiB,4.37%,5.41GB / 5.32GB,0B / 0B,58
20250618_134010,ec39dfa29337,spark-worker-5,195.19%,459.3MiB / 10GiB,4.49%,5.4GB / 5.21GB,0B / 0B,58
20250618_134010,82e8dc373feb,spark-master,94.21%,564.2MiB / 4GiB,13.78%,44.7MB / 69.7MB,0B / 0B,108
20250618_134018,8896faf2c28a,spark-worker-3,4.20%,606.7MiB / 10GiB,5.92%,5.08GB / 5.42GB,0B / 0B,75
20250618_134018,bd3eccc510a1,spark-worker-2,8.22%,608MiB / 10GiB,5.94%,5.36GB / 5.17GB,0B / 0B,78
20250618_134018,72ea5f833e39,spark-worker-1,4.72%,659.1MiB / 10GiB,6.44%,5.3GB / 5.41GB,0B / 0B,75
20250618_134018,d9db3658c991,spark-worker-4,0.14%,637MiB / 10GiB,6.22%,5.41GB / 5.32GB,0B / 0B,72
20250618_134018,ec39dfa29337,spark-worker-5,2.92%,665.2MiB / 10GiB,6.50%,5.4GB / 5.21GB,0B / 0B,75
20250618_134018,82e8dc373feb,spark-master,152.05%,680.4MiB / 4GiB,16.61%,44.7MB / 69.8MB,0B / 0B,127
20250618_134026,8896faf2c28a,spark-worker-3,180.74%,791.7MiB / 10GiB,7.73%,5.08GB / 5.42GB,0B / 0B,80
20250618_134026,bd3eccc510a1,spark-worker-2,152.44%,712.4MiB / 10GiB,6.96%,5.36GB / 5.17GB,0B / 0B,81
20250618_134026,72ea5f833e39,spark-worker-1,132.61%,811MiB / 10GiB,7.92%,5.3GB / 5.41GB,0B / 0B,79
20250618_134026,d9db3658c991,spark-worker-4,160.00%,765.8MiB / 10GiB,7.48%,5.41GB / 5.32GB,0B / 0B,80
20250618_134026,ec39dfa29337,spark-worker-5,139.27%,809.4MiB / 10GiB,7.90%,5.4GB / 5.21GB,0B / 0B,80
20250618_134026,82e8dc373feb,spark-master,121.14%,731.8MiB / 4GiB,17.87%,45.1MB / 70.6MB,0B / 0B,131
20250618_134032,8896faf2c28a,spark-worker-3,126.50%,847.2MiB / 10GiB,8.27%,5.08GB / 5.42GB,0B / 0B,97
20250618_134032,bd3eccc510a1,spark-worker-2,140.03%,811.7MiB / 10GiB,7.93%,5.36GB / 5.17GB,0B / 0B,98
20250618_134032,72ea5f833e39,spark-worker-1,143.58%,909.4MiB / 10GiB,8.88%,5.3GB / 5.41GB,0B / 0B,97
20250618_134032,d9db3658c991,spark-worker-4,131.94%,797.2MiB / 10GiB,7.79%,5.41GB / 5.32GB,0B / 0B,97
20250618_134032,ec39dfa29337,spark-worker-5,122.17%,897MiB / 10GiB,8.76%,5.4GB / 5.21GB,0B / 0B,98
20250618_134032,82e8dc373feb,spark-master,101.89%,762.6MiB / 4GiB,18.62%,45.9MB / 73.1MB,0B / 0B,208
20250618_134040,8896faf2c28a,spark-worker-3,84.11%,921.3MiB / 10GiB,9.00%,5.08GB / 5.42GB,0B / 0B,122
20250618_134040,bd3eccc510a1,spark-worker-2,93.21%,851.3MiB / 10GiB,8.31%,5.36GB / 5.17GB,0B / 0B,122
20250618_134040,72ea5f833e39,spark-worker-1,97.73%,927.3MiB / 10GiB,9.06%,5.3GB / 5.41GB,0B / 0B,121
20250618_134040,d9db3658c991,spark-worker-4,79.03%,867.3MiB / 10GiB,8.47%,5.41GB / 5.32GB,0B / 0B,121
20250618_134040,ec39dfa29337,spark-worker-5,109.82%,924MiB / 10GiB,9.02%,5.4GB / 5.21GB,0B / 0B,122
20250618_134040,82e8dc373feb,spark-master,86.58%,775.7MiB / 4GiB,18.94%,46.8MB / 75.3MB,0B / 0B,263
20250618_134048,8896faf2c28a,spark-worker-3,201.07%,1015MiB / 10GiB,9.91%,5.08GB / 5.42GB,0B / 0B,123
20250618_134048,bd3eccc510a1,spark-worker-2,203.15%,891.8MiB / 10GiB,8.71%,5.36GB / 5.17GB,0B / 0B,123
20250618_134048,72ea5f833e39,spark-worker-1,197.27%,934.8MiB / 10GiB,9.13%,5.3GB / 5.41GB,0B / 0B,122
20250618_134048,d9db3658c991,spark-worker-4,199.47%,885.6MiB / 10GiB,8.65%,5.41GB / 5.32GB,0B / 0B,122
20250618_134048,ec39dfa29337,spark-worker-5,199.54%,937.1MiB / 10GiB,9.15%,5.4GB / 5.21GB,0B / 0B,122
20250618_134048,82e8dc373feb,spark-master,1.30%,771.5MiB / 4GiB,18.83%,46.8MB / 76MB,0B / 0B,263
20250618_134056,8896faf2c28a,spark-worker-3,197.40%,1011MiB / 10GiB,9.87%,5.08GB / 5.42GB,0B / 0B,123
20250618_134056,bd3eccc510a1,spark-worker-2,197.74%,970.6MiB / 10GiB,9.48%,5.36GB / 5.17GB,0B / 0B,123
20250618_134056,72ea5f833e39,spark-worker-1,195.99%,1017MiB / 10GiB,9.94%,5.3GB / 5.41GB,0B / 0B,122
20250618_134056,d9db3658c991,spark-worker-4,198.34%,1.011GiB / 10GiB,10.11%,5.41GB / 5.32GB,0B / 0B,122
20250618_134056,ec39dfa29337,spark-worker-5,196.42%,927.4MiB / 10GiB,9.06%,5.4GB / 5.21GB,0B / 0B,122
