timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_190531,94aa7db5ad5a,spark-worker-2,0.14%,580.9MiB / 10GiB,5.67%,22.5MB / 138MB,0B / 0B,76
20250620_190531,8b6f45117c49,spark-worker-5,0.16%,616.8MiB / 10GiB,6.02%,140MB / 769MB,0B / 0B,75
20250620_190531,a283686ce84c,spark-worker-3,0.15%,692.7MiB / 10GiB,6.76%,774MB / 770MB,0B / 0B,78
20250620_190531,c3c4f9aaad2a,spark-worker-4,0.15%,620MiB / 10GiB,6.05%,895MB / 139MB,0B / 0B,75
20250620_190531,cbbc889656e3,spark-worker-1,0.16%,672.7MiB / 10GiB,6.57%,143MB / 138MB,0B / 0B,75
20250620_190531,c665f28b3383,spark-master,127.42%,747.2MiB / 4GiB,18.24%,20.1MB / 41.8MB,0B / 0B,138
20250620_190539,94aa7db5ad5a,spark-worker-2,163.25%,741.9MiB / 10GiB,7.25%,22.7MB / 138MB,0B / 0B,95
20250620_190539,8b6f45117c49,spark-worker-5,159.13%,778.8MiB / 10GiB,7.61%,140MB / 769MB,0B / 0B,94
20250620_190539,a283686ce84c,spark-worker-3,144.57%,757.7MiB / 10GiB,7.40%,775MB / 770MB,0B / 0B,94
20250620_190539,c3c4f9aaad2a,spark-worker-4,157.99%,762.3MiB / 10GiB,7.44%,896MB / 139MB,0B / 0B,93
20250620_190539,cbbc889656e3,spark-worker-1,175.15%,746.5MiB / 10GiB,7.29%,143MB / 138MB,0B / 0B,94
20250620_190539,c665f28b3383,spark-master,31.48%,791.8MiB / 4GiB,19.33%,20.3MB / 42.3MB,0B / 0B,203
20250620_190547,94aa7db5ad5a,spark-worker-2,197.32%,959.8MiB / 10GiB,9.37%,22.7MB / 138MB,0B / 0B,107
20250620_190547,8b6f45117c49,spark-worker-5,202.18%,961MiB / 10GiB,9.38%,140MB / 769MB,0B / 0B,106
20250620_190547,a283686ce84c,spark-worker-3,192.21%,1.004GiB / 10GiB,10.04%,775MB / 770MB,0B / 0B,106
20250620_190547,c3c4f9aaad2a,spark-worker-4,172.31%,1.06GiB / 10GiB,10.60%,896MB / 139MB,0B / 0B,106
20250620_190547,cbbc889656e3,spark-worker-1,189.86%,1.152GiB / 10GiB,11.52%,144MB / 138MB,0B / 0B,106
20250620_190547,c665f28b3383,spark-master,3.95%,816.7MiB / 4GiB,19.94%,20.4MB / 42.7MB,0B / 0B,255
20250620_190554,94aa7db5ad5a,spark-worker-2,107.77%,1.139GiB / 10GiB,11.39%,22.9MB / 138MB,0B / 0B,125
20250620_190554,8b6f45117c49,spark-worker-5,198.02%,1.348GiB / 10GiB,13.48%,140MB / 769MB,0B / 0B,124
20250620_190554,a283686ce84c,spark-worker-3,196.61%,1.352GiB / 10GiB,13.52%,775MB / 770MB,0B / 0B,124
20250620_190554,c3c4f9aaad2a,spark-worker-4,104.60%,1.354GiB / 10GiB,13.54%,896MB / 139MB,0B / 0B,124
20250620_190554,cbbc889656e3,spark-worker-1,116.97%,1.309GiB / 10GiB,13.09%,144MB / 138MB,0B / 0B,124
20250620_190554,c665f28b3383,spark-master,1.94%,819.6MiB / 4GiB,20.01%,20.6MB / 43.1MB,0B / 0B,275
20250620_190601,94aa7db5ad5a,spark-worker-2,94.13%,1.156GiB / 10GiB,11.56%,23MB / 138MB,0B / 0B,137
20250620_190601,8b6f45117c49,spark-worker-5,119.37%,1.351GiB / 10GiB,13.51%,140MB / 769MB,0B / 0B,136
20250620_190601,a283686ce84c,spark-worker-3,110.68%,1.363GiB / 10GiB,13.63%,775MB / 770MB,0B / 0B,136
20250620_190601,c3c4f9aaad2a,spark-worker-4,66.65%,1.362GiB / 10GiB,13.62%,896MB / 139MB,0B / 0B,136
20250620_190601,cbbc889656e3,spark-worker-1,134.13%,1.312GiB / 10GiB,13.12%,144MB / 138MB,0B / 0B,136
20250620_190601,c665f28b3383,spark-master,6.72%,825MiB / 4GiB,20.14%,20.7MB / 43.7MB,0B / 0B,288
