timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_194222,b24e001d5c68,spark-worker-2,87.93%,581.7MiB / 10GiB,5.68%,183kB / 69.3kB,0B / 0B,74
20250620_194222,e1b960765cd9,spark-worker-3,101.89%,570.7MiB / 10GiB,5.57%,184kB / 107kB,0B / 0B,74
20250620_194222,258b10e30de6,spark-worker-5,150.08%,629.5MiB / 10GiB,6.15%,326kB / 308kB,0B / 0B,74
20250620_194222,f4bcea567504,spark-worker-4,133.27%,650MiB / 10GiB,6.35%,184kB / 105kB,0B / 0B,74
20250620_194222,81b6a3a8112c,spark-worker-1,104.22%,591.2MiB / 10GiB,5.77%,197kB / 75.2kB,0B / 0B,74
20250620_194222,a4aa5dba3d89,spark-master,172.68%,609.6MiB / 4GiB,14.88%,383kB / 780kB,0B / 0B,105
20250620_194229,b24e001d5c68,spark-worker-2,105.37%,687.8MiB / 10GiB,6.72%,259kB / 86.5kB,0B / 0B,80
20250620_194229,e1b960765cd9,spark-worker-3,112.23%,646.4MiB / 10GiB,6.31%,261kB / 124kB,0B / 0B,81
20250620_194229,258b10e30de6,spark-worker-5,40.16%,768.9MiB / 10GiB,7.51%,505kB / 403kB,0B / 0B,82
20250620_194229,f4bcea567504,spark-worker-4,86.28%,778.4MiB / 10GiB,7.60%,260kB / 123kB,0B / 0B,81
20250620_194229,81b6a3a8112c,spark-worker-1,76.63%,733.3MiB / 10GiB,7.16%,275kB / 166kB,0B / 0B,82
20250620_194229,a4aa5dba3d89,spark-master,5.01%,657.7MiB / 4GiB,16.06%,451kB / 1.12MB,0B / 0B,126
