timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_235948,42c55abb1696,dask-worker-4,4.83%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250620_235948,ce7f0b48274e,dask-worker-3,9.10%,119.3MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250620_235948,01cf5d2b270d,dask-worker-5,4.79%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250620_235948,b716fcb2dffe,dask-worker-2,4.79%,281.7MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250620_235948,7dbd0776c6fb,dask-worker-1,4.65%,109.1MiB / 10GiB,1.07%,2.02GB / 5.2GB,0B / 0B,13
20250620_235948,72ce1ac59689,dask-scheduler,2.23%,114.3MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250620_235948,22466015deda,dask-notebook,0.00%,93.56MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250620_235956,42c55abb1696,dask-worker-4,6.26%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250620_235956,ce7f0b48274e,dask-worker-3,5.86%,119.2MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250620_235956,01cf5d2b270d,dask-worker-5,6.08%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250620_235956,b716fcb2dffe,dask-worker-2,5.94%,281.6MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250620_235956,7dbd0776c6fb,dask-worker-1,5.28%,109.1MiB / 10GiB,1.07%,2.02GB / 5.2GB,0B / 0B,13
20250620_235956,72ce1ac59689,dask-scheduler,2.69%,114.2MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250620_235956,22466015deda,dask-notebook,0.00%,93.57MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000004,42c55abb1696,dask-worker-4,5.05%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000004,ce7f0b48274e,dask-worker-3,5.14%,119MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250621_000004,01cf5d2b270d,dask-worker-5,5.15%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000004,b716fcb2dffe,dask-worker-2,6.73%,281.7MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000004,7dbd0776c6fb,dask-worker-1,6.51%,109.3MiB / 10GiB,1.07%,2.02GB / 5.2GB,0B / 0B,13
20250621_000004,72ce1ac59689,dask-scheduler,2.38%,114.3MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250621_000004,22466015deda,dask-notebook,0.02%,93.57MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000011,42c55abb1696,dask-worker-4,7.03%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000011,ce7f0b48274e,dask-worker-3,6.69%,119.1MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250621_000011,01cf5d2b270d,dask-worker-5,6.94%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000011,b716fcb2dffe,dask-worker-2,7.11%,281.7MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000011,7dbd0776c6fb,dask-worker-1,7.34%,109.3MiB / 10GiB,1.07%,2.02GB / 5.2GB,0B / 0B,13
20250621_000011,72ce1ac59689,dask-scheduler,3.30%,114.2MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250621_000011,22466015deda,dask-notebook,0.00%,93.55MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000018,42c55abb1696,dask-worker-4,5.42%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000018,ce7f0b48274e,dask-worker-3,5.89%,119.1MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250621_000018,01cf5d2b270d,dask-worker-5,5.60%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000018,b716fcb2dffe,dask-worker-2,5.58%,281.6MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000018,7dbd0776c6fb,dask-worker-1,5.77%,109.3MiB / 10GiB,1.07%,2.02GB / 5.2GB,0B / 0B,13
20250621_000018,72ce1ac59689,dask-scheduler,2.50%,114.3MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250621_000018,22466015deda,dask-notebook,0.00%,93.55MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000026,42c55abb1696,dask-worker-4,5.02%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000026,ce7f0b48274e,dask-worker-3,5.65%,119.3MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250621_000026,01cf5d2b270d,dask-worker-5,5.83%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000026,b716fcb2dffe,dask-worker-2,5.55%,281.8MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000026,7dbd0776c6fb,dask-worker-1,5.00%,109.3MiB / 10GiB,1.07%,2.02GB / 5.2GB,0B / 0B,13
