timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250621_002023,42c55abb1696,dask-worker-4,193.24%,4.408GiB / 10GiB,44.08%,10.3GB / 11.1GB,0B / 0B,32
20250621_002023,ce7f0b48274e,dask-worker-3,193.83%,3.261GiB / 10GiB,32.61%,4.24GB / 8.08GB,0B / 0B,27
20250621_002023,01cf5d2b270d,dask-worker-5,110.65%,3.137GiB / 10GiB,31.37%,2.22GB / 3.44GB,0B / 0B,31
20250621_002023,b716fcb2dffe,dask-worker-2,110.36%,2.486GiB / 10GiB,24.86%,2.98GB / 2.86GB,0B / 0B,26
20250621_002023,7dbd0776c6fb,dask-worker-1,109.26%,3.296GiB / 10GiB,32.96%,2.02GB / 5.2GB,0B / 0B,26
20250621_002023,72ce1ac59689,dask-scheduler,4.85%,268.8MiB / 4GiB,6.56%,12.9GB / 3.95GB,0B / 0B,20
20250621_002023,22466015deda,dask-notebook,0.01%,93.56MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_002030,42c55abb1696,dask-worker-4,196.74%,4.575GiB / 10GiB,45.75%,10.3GB / 11.1GB,0B / 0B,32
20250621_002030,ce7f0b48274e,dask-worker-3,195.98%,4.804GiB / 10GiB,48.04%,4.24GB / 8.08GB,0B / 0B,27
20250621_002030,01cf5d2b270d,dask-worker-5,110.28%,3.804GiB / 10GiB,38.04%,2.22GB / 3.44GB,0B / 0B,31
20250621_002030,b716fcb2dffe,dask-worker-2,111.19%,2.917GiB / 10GiB,29.17%,2.98GB / 2.86GB,0B / 0B,26
20250621_002030,7dbd0776c6fb,dask-worker-1,113.30%,2.676GiB / 10GiB,26.76%,2.02GB / 5.2GB,0B / 0B,26
20250621_002030,72ce1ac59689,dask-scheduler,5.88%,268.9MiB / 4GiB,6.57%,12.9GB / 3.95GB,0B / 0B,20
20250621_002030,22466015deda,dask-notebook,0.01%,93.56MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
