timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250621_001444,42c55abb1696,dask-worker-4,199.90%,4.749GiB / 10GiB,47.49%,10.3GB / 11.1GB,0B / 0B,32
20250621_001444,ce7f0b48274e,dask-worker-3,196.77%,5.293GiB / 10GiB,52.93%,4.24GB / 8.08GB,0B / 0B,27
20250621_001444,01cf5d2b270d,dask-worker-5,39.05%,2.363GiB / 10GiB,23.63%,2.22GB / 3.44GB,0B / 0B,31
20250621_001444,b716fcb2dffe,dask-worker-2,111.44%,3.104GiB / 10GiB,31.04%,2.98GB / 2.86GB,0B / 0B,26
20250621_001444,7dbd0776c6fb,dask-worker-1,112.02%,3.257GiB / 10GiB,32.57%,2.02GB / 5.2GB,0B / 0B,26
20250621_001444,72ce1ac59689,dask-scheduler,5.87%,265.9MiB / 4GiB,6.49%,12.9GB / 3.95GB,0B / 0B,20
20250621_001444,22466015deda,dask-notebook,0.00%,93.56MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_001451,42c55abb1696,dask-worker-4,137.30%,3.297GiB / 10GiB,32.97%,10.3GB / 11.1GB,0B / 0B,32
20250621_001451,ce7f0b48274e,dask-worker-3,190.34%,5.454GiB / 10GiB,54.54%,4.24GB / 8.08GB,0B / 0B,27
20250621_001451,01cf5d2b270d,dask-worker-5,109.03%,4.481GiB / 10GiB,44.81%,2.22GB / 3.44GB,0B / 0B,31
20250621_001451,b716fcb2dffe,dask-worker-2,108.85%,3.647GiB / 10GiB,36.47%,2.98GB / 2.86GB,0B / 0B,26
20250621_001451,7dbd0776c6fb,dask-worker-1,107.84%,3.437GiB / 10GiB,34.37%,2.02GB / 5.2GB,0B / 0B,26
20250621_001451,72ce1ac59689,dask-scheduler,4.84%,266.2MiB / 4GiB,6.50%,12.9GB / 3.95GB,0B / 0B,20
20250621_001451,22466015deda,dask-notebook,1.64%,94.05MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_001459,42c55abb1696,dask-worker-4,112.85%,3.639GiB / 10GiB,36.39%,10.3GB / 11.1GB,0B / 0B,32
20250621_001459,ce7f0b48274e,dask-worker-3,196.41%,7.354GiB / 10GiB,73.54%,4.24GB / 8.08GB,0B / 0B,27
20250621_001459,01cf5d2b270d,dask-worker-5,115.06%,4.436GiB / 10GiB,44.36%,2.22GB / 3.44GB,0B / 0B,31
20250621_001459,b716fcb2dffe,dask-worker-2,111.82%,3.132GiB / 10GiB,31.32%,2.98GB / 2.86GB,0B / 0B,26
20250621_001459,7dbd0776c6fb,dask-worker-1,111.88%,4.269GiB / 10GiB,42.69%,2.02GB / 5.2GB,0B / 0B,26
20250621_001459,72ce1ac59689,dask-scheduler,5.22%,266.4MiB / 4GiB,6.50%,12.9GB / 3.95GB,0B / 0B,20
20250621_001459,22466015deda,dask-notebook,0.00%,93.56MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
