timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_230826,ccd15f6ab56b,ray-worker-3,7.19%,3.175GiB / 9GiB,35.28%,45.6GB / 54.7GB,0B / 0B,230
20250618_230826,0ff3047b62e9,ray-worker-2,6.23%,2.959GiB / 9GiB,32.87%,46.9GB / 51.3GB,0B / 0B,231
20250618_230826,b9386d52b1c5,ray-worker-5,6.77%,2.996GiB / 9GiB,33.28%,47.3GB / 55.7GB,0B / 0B,229
20250618_230826,bc50c6e9823a,ray-client,48.66%,1.706GiB / 3GiB,56.87%,7.63GB / 122MB,0B / 0B,342
20250618_230826,5f35d11232ae,ray-worker-4,7.77%,2.985GiB / 9GiB,33.17%,53.6GB / 49.1GB,0B / 0B,225
20250618_230826,664f7a205b35,ray-worker-1,7.20%,3.074GiB / 9GiB,34.15%,63.3GB / 53.5GB,0B / 0B,224
20250618_230826,d3768b98fb21,ray-head,3.91%,1.528GiB / 4GiB,38.19%,224MB / 160MB,0B / 0B,353
20250618_230833,ccd15f6ab56b,ray-worker-3,35.64%,3.87GiB / 9GiB,43.00%,45.6GB / 54.9GB,0B / 0B,240
20250618_230833,0ff3047b62e9,ray-worker-2,47.42%,3.147GiB / 9GiB,34.97%,46.9GB / 51.3GB,0B / 0B,239
20250618_230833,b9386d52b1c5,ray-worker-5,96.46%,3.631GiB / 9GiB,40.34%,47.3GB / 55.8GB,0B / 0B,239
20250618_230833,bc50c6e9823a,ray-client,48.19%,1.843GiB / 3GiB,61.44%,7.9GB / 122MB,0B / 0B,308
20250618_230833,5f35d11232ae,ray-worker-4,56.67%,3.888GiB / 9GiB,43.20%,53.6GB / 49.1GB,0B / 0B,240
20250618_230833,664f7a205b35,ray-worker-1,64.08%,4.07GiB / 9GiB,45.22%,63.3GB / 53.5GB,0B / 0B,239
20250618_230833,d3768b98fb21,ray-head,8.19%,1.527GiB / 4GiB,38.17%,224MB / 160MB,0B / 0B,353
20250618_230841,ccd15f6ab56b,ray-worker-3,109.56%,3.897GiB / 9GiB,43.30%,45.6GB / 54.9GB,0B / 0B,240
20250618_230841,0ff3047b62e9,ray-worker-2,109.00%,3.689GiB / 9GiB,40.99%,46.9GB / 51.3GB,0B / 0B,239
20250618_230841,b9386d52b1c5,ray-worker-5,9.24%,3.031GiB / 9GiB,33.68%,47.3GB / 55.8GB,0B / 0B,233
20250618_230841,bc50c6e9823a,ray-client,6.83%,1.832GiB / 3GiB,61.05%,7.9GB / 123MB,0B / 0B,309
20250618_230841,5f35d11232ae,ray-worker-4,106.83%,3.767GiB / 9GiB,41.86%,53.6GB / 49.1GB,0B / 0B,234
20250618_230841,664f7a205b35,ray-worker-1,110.77%,3.803GiB / 9GiB,42.26%,63.3GB / 53.5GB,0B / 0B,239
20250618_230841,d3768b98fb21,ray-head,6.37%,1.527GiB / 4GiB,38.17%,224MB / 161MB,0B / 0B,353
20250618_230848,ccd15f6ab56b,ray-worker-3,104.45%,4.034GiB / 9GiB,44.83%,45.6GB / 54.9GB,0B / 0B,240
20250618_230848,0ff3047b62e9,ray-worker-2,105.90%,3.795GiB / 9GiB,42.17%,46.9GB / 51.3GB,0B / 0B,239
20250618_230848,b9386d52b1c5,ray-worker-5,7.34%,3.016GiB / 9GiB,33.51%,47.3GB / 55.8GB,0B / 0B,233
20250618_230848,bc50c6e9823a,ray-client,7.96%,1.832GiB / 3GiB,61.05%,7.9GB / 123MB,0B / 0B,309
20250618_230848,5f35d11232ae,ray-worker-4,108.58%,3.887GiB / 9GiB,43.19%,53.6GB / 49.1GB,0B / 0B,234
20250618_230848,664f7a205b35,ray-worker-1,107.82%,3.933GiB / 9GiB,43.71%,63.3GB / 53.5GB,0B / 0B,239
20250618_230848,d3768b98fb21,ray-head,5.62%,1.527GiB / 4GiB,38.17%,224MB / 161MB,0B / 0B,353
20250618_230856,ccd15f6ab56b,ray-worker-3,107.79%,4.152GiB / 9GiB,46.13%,45.6GB / 55GB,0B / 0B,240
20250618_230856,0ff3047b62e9,ray-worker-2,106.76%,3.918GiB / 9GiB,43.53%,46.9GB / 51.5GB,0B / 0B,239
20250618_230856,b9386d52b1c5,ray-worker-5,157.61%,3.237GiB / 9GiB,35.97%,47.6GB / 55.8GB,0B / 0B,235
20250618_230856,bc50c6e9823a,ray-client,9.81%,1.832GiB / 3GiB,61.06%,7.9GB / 123MB,0B / 0B,309
20250618_230856,5f35d11232ae,ray-worker-4,204.25%,4.22GiB / 9GiB,46.89%,53.7GB / 49.4GB,0B / 0B,236
20250618_230856,664f7a205b35,ray-worker-1,144.76%,4.118GiB / 9GiB,45.76%,63.5GB / 53.5GB,0B / 0B,239
20250618_230856,d3768b98fb21,ray-head,10.05%,1.526GiB / 4GiB,38.15%,224MB / 161MB,0B / 0B,353
20250618_230903,ccd15f6ab56b,ray-worker-3,112.83%,4.177GiB / 9GiB,46.41%,45.6GB / 55GB,0B / 0B,240
20250618_230903,0ff3047b62e9,ray-worker-2,105.90%,3.92GiB / 9GiB,43.56%,46.9GB / 51.5GB,0B / 0B,239
20250618_230903,b9386d52b1c5,ray-worker-5,87.46%,3.226GiB / 9GiB,35.84%,47.7GB / 55.9GB,0B / 0B,235
20250618_230903,bc50c6e9823a,ray-client,15.46%,1.813GiB / 3GiB,60.44%,7.9GB / 123MB,0B / 0B,309
20250618_230903,5f35d11232ae,ray-worker-4,127.00%,4.223GiB / 9GiB,46.92%,53.7GB / 49.6GB,0B / 0B,236
20250618_230903,664f7a205b35,ray-worker-1,189.44%,4.174GiB / 9GiB,46.37%,63.6GB / 53.6GB,0B / 0B,239
20250618_230903,d3768b98fb21,ray-head,6.63%,1.527GiB / 4GiB,38.16%,224MB / 161MB,0B / 0B,353
20250618_230911,ccd15f6ab56b,ray-worker-3,108.49%,4.15GiB / 9GiB,46.11%,45.6GB / 55.1GB,0B / 0B,240
20250618_230911,0ff3047b62e9,ray-worker-2,107.77%,3.922GiB / 9GiB,43.58%,46.9GB / 51.6GB,0B / 0B,239
20250618_230911,b9386d52b1c5,ray-worker-5,108.43%,3.235GiB / 9GiB,35.94%,47.9GB / 55.9GB,0B / 0B,235
20250618_230911,bc50c6e9823a,ray-client,11.22%,1.813GiB / 3GiB,60.44%,7.9GB / 123MB,0B / 0B,309
20250618_230911,5f35d11232ae,ray-worker-4,200.10%,4.254GiB / 9GiB,47.27%,53.8GB / 49.6GB,0B / 0B,236
20250618_230911,664f7a205b35,ray-worker-1,110.01%,4.162GiB / 9GiB,46.24%,63.6GB / 53.6GB,0B / 0B,239
20250618_230911,d3768b98fb21,ray-head,6.77%,1.527GiB / 4GiB,38.16%,224MB / 161MB,0B / 0B,353
20250618_230918,ccd15f6ab56b,ray-worker-3,96.20%,3.477GiB / 9GiB,38.64%,45.8GB / 55.2GB,0B / 0B,240
20250618_230918,0ff3047b62e9,ray-worker-2,169.25%,3.654GiB / 9GiB,40.60%,47.1GB / 51.7GB,0B / 0B,239
20250618_230918,b9386d52b1c5,ray-worker-5,204.03%,3.811GiB / 9GiB,42.34%,48.1GB / 56GB,0B / 0B,235
20250618_230918,bc50c6e9823a,ray-client,23.23%,1.813GiB / 3GiB,60.44%,7.9GB / 123MB,0B / 0B,309
20250618_230918,5f35d11232ae,ray-worker-4,202.02%,4.173GiB / 9GiB,46.37%,54GB / 50GB,0B / 0B,236
20250618_230918,664f7a205b35,ray-worker-1,108.78%,4.118GiB / 9GiB,45.76%,63.7GB / 53.7GB,0B / 0B,239
20250618_230918,d3768b98fb21,ray-head,9.81%,1.529GiB / 4GiB,38.21%,224MB / 161MB,0B / 0B,353
20250618_230926,ccd15f6ab56b,ray-worker-3,16.75%,3.442GiB / 9GiB,38.25%,46GB / 55.2GB,0B / 0B,240
20250618_230926,0ff3047b62e9,ray-worker-2,116.14%,3.749GiB / 9GiB,41.66%,47.1GB / 51.7GB,0B / 0B,239
20250618_230926,b9386d52b1c5,ray-worker-5,200.44%,3.944GiB / 9GiB,43.82%,48.2GB / 56.1GB,0B / 0B,235
20250618_230926,bc50c6e9823a,ray-client,19.05%,1.785GiB / 3GiB,59.50%,7.9GB / 123MB,0B / 0B,309
20250618_230926,5f35d11232ae,ray-worker-4,206.26%,4.114GiB / 9GiB,45.71%,54.1GB / 50GB,0B / 0B,236
20250618_230926,664f7a205b35,ray-worker-1,110.48%,4.185GiB / 9GiB,46.49%,63.8GB / 53.8GB,0B / 0B,239
20250618_230926,d3768b98fb21,ray-head,8.39%,1.529GiB / 4GiB,38.21%,225MB / 161MB,0B / 0B,353
20250618_230934,ccd15f6ab56b,ray-worker-3,9.98%,3.409GiB / 9GiB,37.88%,46.2GB / 55.2GB,0B / 0B,241
20250618_230934,0ff3047b62e9,ray-worker-2,108.77%,3.755GiB / 9GiB,41.72%,47.1GB / 51.7GB,0B / 0B,239
20250618_230934,b9386d52b1c5,ray-worker-5,110.10%,4.044GiB / 9GiB,44.93%,48.2GB / 56.2GB,0B / 0B,235
20250618_230934,bc50c6e9823a,ray-client,8.34%,1.773GiB / 3GiB,59.10%,7.9GB / 123MB,0B / 0B,309
