timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250623_080701,8d645c834cfe,ray-worker-2,3.09%,476.2MiB / 10GiB,4.65%,196kB / 408kB,0B / 0B,133
20250623_080701,273f1437db92,ray-client,2.94%,470.6MiB / 1GiB,45.96%,218kB / 427kB,0B / 0B,131
20250623_080701,e8cda8c0b9fb,ray-worker-1,1.49%,474.9MiB / 9GiB,5.15%,193kB / 410kB,0B / 0B,133
20250623_080701,0f071136a947,ray-worker-3,3.00%,467.6MiB / 10GiB,4.57%,195kB / 408kB,0B / 0B,133
20250623_080701,2a2d98789317,ray-worker-4,3.16%,475MiB / 10GiB,4.64%,195kB / 407kB,0B / 0B,133
20250623_080701,fbf6fcd333d8,ray-worker-5,3.03%,471.1MiB / 10GiB,4.60%,196kB / 408kB,0B / 0B,132
20250623_080701,ee2a6eb1c7d5,ray-head,5.50%,1.417GiB / 3GiB,47.23%,2.48MB / 1.18MB,0B / 0B,278
20250623_080709,8d645c834cfe,ray-worker-2,1.69%,476.4MiB / 10GiB,4.65%,204kB / 427kB,0B / 0B,133
20250623_080709,273f1437db92,ray-client,1.95%,470.7MiB / 1GiB,45.97%,228kB / 446kB,0B / 0B,131
20250623_080709,e8cda8c0b9fb,ray-worker-1,1.70%,475.3MiB / 9GiB,5.16%,202kB / 429kB,0B / 0B,133
20250623_080709,0f071136a947,ray-worker-3,2.03%,467.9MiB / 10GiB,4.57%,205kB / 427kB,0B / 0B,133
20250623_080709,2a2d98789317,ray-worker-4,1.93%,475.2MiB / 10GiB,4.64%,204kB / 427kB,0B / 0B,133
20250623_080709,fbf6fcd333d8,ray-worker-5,2.01%,471.5MiB / 10GiB,4.60%,205kB / 428kB,0B / 0B,132
20250623_080709,ee2a6eb1c7d5,ray-head,4.95%,1.417GiB / 3GiB,47.23%,2.59MB / 1.24MB,0B / 0B,278
20250623_080717,8d645c834cfe,ray-worker-2,1.38%,476.9MiB / 10GiB,4.66%,213kB / 446kB,0B / 0B,133
20250623_080717,273f1437db92,ray-client,3.21%,470.8MiB / 1GiB,45.97%,242kB / 479kB,0B / 0B,131
20250623_080717,e8cda8c0b9fb,ray-worker-1,3.35%,475.3MiB / 9GiB,5.16%,216kB / 462kB,0B / 0B,133
20250623_080717,0f071136a947,ray-worker-3,2.98%,468MiB / 10GiB,4.57%,219kB / 461kB,0B / 0B,133
