timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_192516,cc34677a11f4,ray-worker-3,2.55%,565.8MiB / 10GiB,5.53%,1.96MB / 6.11MB,0B / 0B,217
20250620_192516,a11581c1e468,ray-worker-4,5.21%,623.8MiB / 10GiB,6.09%,2.17MB / 7.21MB,0B / 0B,257
20250620_192516,6d281bc7c057,ray-worker-5,3.43%,636.4MiB / 10GiB,6.21%,1.99MB / 6.21MB,0B / 0B,255
20250620_192516,542e2e51f233,ray-worker-2,3.36%,627.2MiB / 10GiB,6.13%,2.2MB / 7.21MB,0B / 0B,255
20250620_192516,a8097ab77105,ray-worker-1,5.50%,639.6MiB / 9GiB,6.94%,2.09MB / 6.71MB,0B / 0B,256
20250620_192516,5b8c3cedb3c8,ray-client,3.29%,740.8MiB / 1GiB,72.35%,2.81MB / 4.97MB,0B / 0B,264
20250620_192516,0977cfc09df4,ray-head,39.01%,2.131GiB / 3GiB,71.05%,37.2MB / 12MB,0B / 0B,767
20250620_192524,cc34677a11f4,ray-worker-3,2.61%,569.2MiB / 10GiB,5.56%,2.01MB / 6.19MB,0B / 0B,215
20250620_192524,a11581c1e468,ray-worker-4,2.96%,578.3MiB / 10GiB,5.65%,2.22MB / 7.29MB,0B / 0B,217
20250620_192524,6d281bc7c057,ray-worker-5,4.67%,587.3MiB / 10GiB,5.74%,2.05MB / 6.3MB,0B / 0B,215
20250620_192524,542e2e51f233,ray-worker-2,3.22%,578.1MiB / 10GiB,5.65%,2.26MB / 7.31MB,0B / 0B,215
20250620_192524,a8097ab77105,ray-worker-1,2.14%,548.8MiB / 9GiB,5.96%,2.15MB / 6.82MB,0B / 0B,175
20250620_192524,5b8c3cedb3c8,ray-client,2.37%,636.6MiB / 1GiB,62.17%,3.18MB / 5.36MB,0B / 0B,222
20250620_192524,0977cfc09df4,ray-head,24.05%,2.191GiB / 3GiB,73.03%,38.1MB / 12.7MB,0B / 0B,711
20250620_192531,cc34677a11f4,ray-worker-3,4.98%,569.6MiB / 10GiB,5.56%,2.02MB / 6.24MB,0B / 0B,216
20250620_192531,a11581c1e468,ray-worker-4,4.91%,578.3MiB / 10GiB,5.65%,2.24MB / 7.34MB,0B / 0B,217
20250620_192531,6d281bc7c057,ray-worker-5,2.96%,587.4MiB / 10GiB,5.74%,2.06MB / 6.33MB,0B / 0B,215
20250620_192531,542e2e51f233,ray-worker-2,3.23%,578.5MiB / 10GiB,5.65%,2.28MB / 7.34MB,0B / 0B,215
20250620_192531,a8097ab77105,ray-worker-1,4.16%,548.9MiB / 9GiB,5.96%,2.17MB / 6.86MB,0B / 0B,175
20250620_192531,5b8c3cedb3c8,ray-client,2.56%,636.6MiB / 1GiB,62.17%,3.19MB / 5.39MB,0B / 0B,222
20250620_192531,0977cfc09df4,ray-head,11.81%,2.191GiB / 3GiB,73.03%,38.3MB / 12.8MB,0B / 0B,711
20250620_192539,cc34677a11f4,ray-worker-3,3.68%,569.8MiB / 10GiB,5.56%,2.04MB / 6.27MB,0B / 0B,216
20250620_192539,a11581c1e468,ray-worker-4,3.54%,578.3MiB / 10GiB,5.65%,2.25MB / 7.37MB,0B / 0B,217
20250620_192539,6d281bc7c057,ray-worker-5,4.77%,587.2MiB / 10GiB,5.73%,2.07MB / 6.39MB,0B / 0B,215
20250620_192539,542e2e51f233,ray-worker-2,2.90%,578.3MiB / 10GiB,5.65%,2.29MB / 7.39MB,0B / 0B,215
20250620_192539,a8097ab77105,ray-worker-1,2.90%,549MiB / 9GiB,5.96%,2.18MB / 6.88MB,0B / 0B,175
20250620_192539,5b8c3cedb3c8,ray-client,2.59%,636.5MiB / 1GiB,62.16%,3.2MB / 5.44MB,0B / 0B,222
20250620_192539,0977cfc09df4,ray-head,12.30%,2.191GiB / 3GiB,73.04%,38.6MB / 12.8MB,0B / 0B,711
20250620_192546,cc34677a11f4,ray-worker-3,5.02%,569.6MiB / 10GiB,5.56%,2.05MB / 6.32MB,0B / 0B,216
20250620_192546,a11581c1e468,ray-worker-4,4.91%,578.4MiB / 10GiB,5.65%,2.27MB / 7.42MB,0B / 0B,217
20250620_192546,6d281bc7c057,ray-worker-5,3.17%,587.1MiB / 10GiB,5.73%,2.08MB / 6.42MB,0B / 0B,215
20250620_192546,542e2e51f233,ray-worker-2,3.03%,578.5MiB / 10GiB,5.65%,2.3MB / 7.42MB,0B / 0B,215
20250620_192546,a8097ab77105,ray-worker-1,4.14%,548.9MiB / 9GiB,5.96%,2.19MB / 6.93MB,0B / 0B,175
20250620_192546,5b8c3cedb3c8,ray-client,3.29%,636.7MiB / 1GiB,62.18%,3.21MB / 5.47MB,0B / 0B,222
20250620_192546,0977cfc09df4,ray-head,13.97%,2.19GiB / 3GiB,73.01%,38.8MB / 12.9MB,0B / 0B,711
20250620_192554,cc34677a11f4,ray-worker-3,3.24%,570.1MiB / 10GiB,5.57%,2.06MB / 6.35MB,0B / 0B,216
20250620_192554,a11581c1e468,ray-worker-4,3.18%,578.5MiB / 10GiB,5.65%,2.28MB / 7.46MB,0B / 0B,217
20250620_192554,6d281bc7c057,ray-worker-5,4.85%,587.3MiB / 10GiB,5.74%,2.1MB / 6.47MB,0B / 0B,215
20250620_192554,542e2e51f233,ray-worker-2,3.56%,578.3MiB / 10GiB,5.65%,2.32MB / 7.48MB,0B / 0B,215
20250620_192554,a8097ab77105,ray-worker-1,2.31%,548.9MiB / 9GiB,5.96%,2.2MB / 6.95MB,0B / 0B,175
20250620_192554,5b8c3cedb3c8,ray-client,2.62%,636.8MiB / 1GiB,62.19%,3.23MB / 5.52MB,0B / 0B,222
20250620_192554,0977cfc09df4,ray-head,15.11%,1.85GiB / 3GiB,61.68%,39.1MB / 13MB,0B / 0B,652
20250620_192601,cc34677a11f4,ray-worker-3,3.32%,570MiB / 10GiB,5.57%,2.08MB / 6.41MB,0B / 0B,216
20250620_192601,a11581c1e468,ray-worker-4,2.66%,578.5MiB / 10GiB,5.65%,2.29MB / 7.48MB,0B / 0B,217
20250620_192601,6d281bc7c057,ray-worker-5,3.46%,587.7MiB / 10GiB,5.74%,2.11MB / 6.5MB,0B / 0B,215
20250620_192601,542e2e51f233,ray-worker-2,3.38%,578.6MiB / 10GiB,5.65%,2.33MB / 7.51MB,0B / 0B,215
20250620_192601,a8097ab77105,ray-worker-1,4.40%,549.1MiB / 9GiB,5.96%,2.22MB / 6.99MB,0B / 0B,175
20250620_192601,5b8c3cedb3c8,ray-client,3.12%,636.7MiB / 1GiB,62.18%,3.24MB / 5.55MB,0B / 0B,222
20250620_192601,0977cfc09df4,ray-head,13.88%,1.851GiB / 3GiB,61.69%,39.3MB / 13.1MB,0B / 0B,651
20250620_192609,cc34677a11f4,ray-worker-3,3.40%,570.1MiB / 10GiB,5.57%,2.09MB / 6.44MB,0B / 0B,216
20250620_192609,a11581c1e468,ray-worker-4,3.41%,578.5MiB / 10GiB,5.65%,2.3MB / 7.54MB,0B / 0B,217
20250620_192609,6d281bc7c057,ray-worker-5,4.67%,587.3MiB / 10GiB,5.74%,2.13MB / 6.55MB,0B / 0B,215
20250620_192609,542e2e51f233,ray-worker-2,2.89%,578.4MiB / 10GiB,5.65%,2.35MB / 7.56MB,0B / 0B,215
20250620_192609,a8097ab77105,ray-worker-1,2.80%,549.1MiB / 9GiB,5.96%,2.23MB / 7.02MB,0B / 0B,175
20250620_192609,5b8c3cedb3c8,ray-client,2.66%,636.5MiB / 1GiB,62.16%,3.26MB / 5.6MB,0B / 0B,222
20250620_192609,0977cfc09df4,ray-head,15.77%,1.851GiB / 3GiB,61.70%,39.5MB / 13.2MB,0B / 0B,651
20250620_192616,cc34677a11f4,ray-worker-3,5.09%,569.9MiB / 10GiB,5.57%,2.11MB / 6.49MB,0B / 0B,216
20250620_192616,a11581c1e468,ray-worker-4,4.89%,578.4MiB / 10GiB,5.65%,2.32MB / 7.59MB,0B / 0B,217
20250620_192616,6d281bc7c057,ray-worker-5,3.25%,587.3MiB / 10GiB,5.74%,2.14MB / 6.58MB,0B / 0B,215
20250620_192616,542e2e51f233,ray-worker-2,2.97%,578.7MiB / 10GiB,5.65%,2.36MB / 7.59MB,0B / 0B,215
20250620_192616,a8097ab77105,ray-worker-1,2.46%,549MiB / 9GiB,5.96%,2.24MB / 7.04MB,0B / 0B,175
20250620_192616,5b8c3cedb3c8,ray-client,158.13%,636.8MiB / 1GiB,62.19%,3.27MB / 5.63MB,0B / 0B,222
20250620_192616,0977cfc09df4,ray-head,13.86%,1.85GiB / 3GiB,61.67%,39.8MB / 13.2MB,0B / 0B,651
20250620_192624,cc34677a11f4,ray-worker-3,2.62%,570MiB / 10GiB,5.57%,2.12MB / 6.52MB,0B / 0B,216
20250620_192624,a11581c1e468,ray-worker-4,2.80%,578.6MiB / 10GiB,5.65%,2.33MB / 7.62MB,0B / 0B,217
20250620_192624,6d281bc7c057,ray-worker-5,5.59%,587.9MiB / 10GiB,5.74%,2.16MB / 6.63MB,0B / 0B,215
20250620_192624,542e2e51f233,ray-worker-2,5.81%,578.7MiB / 10GiB,5.65%,2.37MB / 7.64MB,0B / 0B,215
20250620_192624,a8097ab77105,ray-worker-1,2.21%,549MiB / 9GiB,5.96%,2.25MB / 7.08MB,0B / 0B,175
20250620_192624,5b8c3cedb3c8,ray-client,2.43%,636.6MiB / 1GiB,62.17%,3.28MB / 5.68MB,0B / 0B,222
20250620_192624,0977cfc09df4,ray-head,13.02%,1.85GiB / 3GiB,61.67%,40MB / 13.3MB,0B / 0B,651
20250620_192631,cc34677a11f4,ray-worker-3,4.83%,570.1MiB / 10GiB,5.57%,2.14MB / 6.57MB,0B / 0B,216
20250620_192631,a11581c1e468,ray-worker-4,5.44%,578.6MiB / 10GiB,5.65%,2.35MB / 7.67MB,0B / 0B,217
20250620_192631,6d281bc7c057,ray-worker-5,3.24%,587.8MiB / 10GiB,5.74%,2.17MB / 6.66MB,0B / 0B,215
20250620_192631,542e2e51f233,ray-worker-2,3.18%,578.7MiB / 10GiB,5.65%,2.38MB / 7.67MB,0B / 0B,215
20250620_192631,a8097ab77105,ray-worker-1,4.23%,548.9MiB / 9GiB,5.96%,2.27MB / 7.13MB,0B / 0B,175
20250620_192631,5b8c3cedb3c8,ray-client,2.84%,636.8MiB / 1GiB,62.19%,3.29MB / 5.71MB,0B / 0B,222
20250620_192631,0977cfc09df4,ray-head,12.65%,1.851GiB / 3GiB,61.69%,40.2MB / 13.4MB,0B / 0B,651
20250620_192639,cc34677a11f4,ray-worker-3,3.86%,570MiB / 10GiB,5.57%,2.15MB / 6.61MB,0B / 0B,216
20250620_192639,a11581c1e468,ray-worker-4,3.86%,578.7MiB / 10GiB,5.65%,2.36MB / 7.7MB,0B / 0B,217
20250620_192639,6d281bc7c057,ray-worker-5,2.94%,587.5MiB / 10GiB,5.74%,2.18MB / 6.69MB,0B / 0B,215
20250620_192639,542e2e51f233,ray-worker-2,4.02%,578.7MiB / 10GiB,5.65%,2.4MB / 7.72MB,0B / 0B,215
20250620_192639,a8097ab77105,ray-worker-1,3.38%,549MiB / 9GiB,5.96%,2.28MB / 7.15MB,0B / 0B,175
